causality,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.
name,T_wall_out,T_0_out,T_CCA_out,T_CCA_0,T_air,T_wall,T_v,T_ahu,mDot,mDot_ahu,d,T_amb,Q_rad,T_set,T_upper,T_lower,cp,c_BKA,cw,cl,hw,hBKA,hFenster,Aw,ABKA,AFenster,mRoom,q_T,s_T
type,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
0,290.15,299.15,299.15,294.15,294.0,294.16,294.15,295.0,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
60,294.1600928903403,294.0735269546816,294.14997301424563,294.1499730142456,294.0735269546816,294.1600928903403,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
120,294.1601871113537,294.1357069074177,294.14702401773565,294.14702401773565,294.1357069074177,294.16018711135365,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
180,294.1602824833437,294.19094205130193,294.14409355138304,294.1440935513831,294.190942051302,294.1602824833437,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
240,294.1603788770673,294.2399848850475,294.1411800136058,294.1411800136058,294.2399848850475,294.1603788770673,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
300,294.1604761772862,294.2835064013146,294.1382819757454,294.1382819757454,294.2835064013146,294.16047617728617,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
360,294.160574281248,294.32210491490764,294.13539816334264,294.13539816334264,294.3221049149076,294.160574281248,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
420,294.1606730973367,294.3563139347588,294.1325274394341,294.13252743943406,294.3563139347589,294.1606730973367,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
