Koordinatensystem : Lambert konform konisch
Rechtswert        : 4201500 Meter
Hochwert          : 2847500 Meter
Hoehenlage        : 34 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4201500 2847500  1  1  1   2.1 1022 256  3.7 6  4.0  91    0    0 282 -310  1
4201500 2847500  1  1  2   1.1 1022 266  3.2 6  3.8  95    0    0 278 -311  1
4201500 2847500  1  1  3   0.3 1022 277  3.0 6  3.7  98    0    0 278 -311  1
4201500 2847500  1  1  4   0.4 1022 281  2.9 6  3.8  98    0    0 274 -312  1
4201500 2847500  1  1  5   0.4 1021 286  2.7 7  3.8  98    0    0 279 -312  1
4201500 2847500  1  1  6   0.4 1021 292  2.8 6  3.8  98    0    0 284 -313  1
4201500 2847500  1  1  7   0.5 1021 300  2.0 8  3.8  97    0    0 283 -313  1
4201500 2847500  1  1  8   0.5 1021 304  2.2 7  3.8  98    0    0 288 -312  1
4201500 2847500  1  1  9   0.4 1021 300  2.2 7  3.8  98    0    7 283 -312  1
4201500 2847500  1  1 10   0.5 1021 281  2.7 7  3.8  97    5   47 282 -312  1
4201500 2847500  1  1 11   0.7 1021 293  3.1 6  3.8  97    4   75 278 -314  1
4201500 2847500  1  1 12   0.5 1022 288  2.7 8  3.8  98    0   29 282 -315  1
4201500 2847500  1  1 13   0.5 1021 290  2.6 7  3.8  98    0   53 286 -315  1
4201500 2847500  1  1 14   0.3 1021 280  2.6 8  3.8  98    0   18 287 -316  1
4201500 2847500  1  1 15   0.2 1021 270  2.3 8  3.8  99    0   10 291 -316  1
4201500 2847500  1  1 16   0.3 1021 270  2.0 8  3.8  99    0    1 290 -316  1
4201500 2847500  1  1 17   0.4 1021 280  1.4 8  3.8  98    0    0 289 -316  1
4201500 2847500  1  1 18   0.4 1021 280  0.7 8  3.8  98    0    0 287 -316  1
4201500 2847500  1  1 19   0.5 1022 292  0.2 8  3.8  98    0    0 287 -316  1
4201500 2847500  1  1 20   0.4 1022   5  0.1 7  3.8  98    0    0 284 -316  1
4201500 2847500  1  1 21   0.5 1022 130  0.7 8  3.8  98    0    0 284 -316  1
4201500 2847500  1  1 22   0.6 1022 110  0.7 6  3.8  97    0    0 281 -316  1
4201500 2847500  1  1 23   0.4 1023 120  1.8 6  3.8  97    0    0 276 -316  1
4201500 2847500  1  1 24   0.3 1023 121  1.7 7  3.8  98    0    0 281 -316  1
4201500 2847500  1  2  1   0.1 1023 108  2.5 8  3.7  97    0    0 288 -316  1
