Koordinatensystem : Lambert konform konisch
Rechtswert        : 4201500 Meter
Hochwert          : 2847500 Meter
Hoehenlage        : 34 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4201500 2847500  1  1  1   4.6  996 210  4.0 8  4.7  88    0    0 318 -314  0
4201500 2847500  1  1  2   3.5  996 207  3.6 7  4.6  92    0    0 319 -315  0
4201500 2847500  1  1  3   2.6  996 207  3.3 7  4.5  96    0    0 309 -315  0
4201500 2847500  1  1  4   2.4  997 203  3.1 6  4.5  97    0    0 283 -315  0
4201500 2847500  1  1  5   2.3  997 199  2.9 6  4.4  97    0    0 267 -315  0
4201500 2847500  1  1  6   2.2  997 187  2.9 7  4.4  98    0    0 283 -314  0
4201500 2847500  1  1  7   2.2  998 187  2.8 7  4.3  96    0    0 299 -314  0
4201500 2847500  1  1  8   2.2  998 198  3.6 7  4.3  96    0    0 298 -314  0
4201500 2847500  1  1  9   2.1  999 197  2.9 7  4.4  97    0    0 298 -314  0
4201500 2847500  1  1 10   2.5 1000 190  2.8 5  4.4  96    1   39 281 -313  0
4201500 2847500  1  1 11   3.0 1000 207  2.1 6  4.4  94    5   66 274 -313  0
4201500 2847500  1  1 12   3.7 1001 205  2.4 6  4.4  91    0   69 283 -314  0
4201500 2847500  1  1 13   4.3 1001 198  2.1 6  4.5  88   11  100 287 -315  0
4201500 2847500  1  1 14   4.5 1002 196  2.2 6  4.5  86   10   88 290 -315  0
4201500 2847500  1  1 15   3.8 1002 170  2.0 5  4.5  87   14   63 282 -315  0
4201500 2847500  1  1 16   3.1 1002 182  1.3 4  4.5  92    0    2 266 -313  0
4201500 2847500  1  1 17   1.7 1003 198  2.5 4  4.4  97    0    0 255 -310  0
4201500 2847500  1  1 18   1.6 1004 182  2.8 2  4.3  99    0    0 236 -307  0
4201500 2847500  1  1 19   1.0 1004 185  2.2 3  4.1  99    0    0 227 -305  0
4201500 2847500  1  1 20   0.3 1005 188  2.8 3  3.9  98    0    0 234 -304  0
4201500 2847500  1  1 21  -0.1 1006 187  2.8 3  3.8  98    0    0 231 -302  0
4201500 2847500  1  1 22  -0.2 1007 203  2.7 2  3.7  98    0    0 223 -300  0
4201500 2847500  1  1 23   0.6 1007 233  2.4 3  3.7  97    0    0 224 -298  0
4201500 2847500  1  1 24  -0.2 1008 250  1.5 5  3.7  96    0    0 245 -296  0
4201500 2847500  1  2  1  -0.3 1009 281  1.0 6  3.6  96    0    0 265 -291  0
4201500 2847500  1  2  2   0.0 1009 341  1.2 5  3.6  96    0    0 262 -284  0
4201500 2847500  1  2  3  -0.1 1009 326  1.3 5  3.7  97    0    0 249 -286  0
4201500 2847500  1  2  4  -0.2 1010 322  1.6 7  3.7  98    0    0 264 -292  0
4201500 2847500  1  2  5  -0.2 1011 351  1.6 7  3.7  98    0    0 284 -294  0
4201500 2847500  1  2  6  -0.3 1011 354  1.2 7  3.7  99    0    0 285 -295  0
