Koordinatensystem : Lambert konform konisch
Rechtswert        : 4201500 Meter
Hochwert          : 2847500 Meter
Hoehenlage        : 34 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4201500 2847500  1  1  1   1.2 1013 249  4.7 8  3.7  90    0    0 301 -304  0
4201500 2847500  1  1  2   1.3 1013 249  5.5 8  3.8  91    0    0 301 -304  0
4201500 2847500  1  1  3   1.5 1012 260  5.2 8  3.8  89    0    0 299 -305  0
4201500 2847500  1  1  4   1.5 1011 260  5.9 8  3.7  88    0    0 298 -307  0
4201500 2847500  1  1  5   1.8 1011 249  6.2 8  3.7  86    0    0 297 -307  0
4201500 2847500  1  1  6   2.0 1009 250  6.6 8  3.7  85    0    0 296 -308  0
4201500 2847500  1  1  7   2.2 1008 250  6.7 7  3.8  85    0    0 294 -309  0
4201500 2847500  1  1  8   2.2 1007 260  6.5 7  3.9  87    0    0 292 -310  0
4201500 2847500  1  1  9   2.3 1007 260  6.1 8  4.0  90    0    5 298 -311  0
4201500 2847500  1  1 10   3.0 1007 260  7.4 7  4.1  90    0   23 301 -312  0
4201500 2847500  1  1 11   3.0 1007 270  6.6 8  4.1  87    0   34 302 -314  0
4201500 2847500  1  1 12   3.4 1007 263  7.0 6  3.9  82   10   86 297 -316  0
4201500 2847500  1  1 13   3.4 1007 280  6.7 6  3.8  78    0   67 285 -315  0
4201500 2847500  1  1 14   3.5 1007 280  6.0 6  3.7  76    0   38 285 -313  0
4201500 2847500  1  1 15   3.2 1007 279  5.2 7  3.6  74    0   19 291 -312  0
4201500 2847500  1  1 16   3.0 1007 279  5.0 7  3.5  74    0    2 296 -310  0
4201500 2847500  1  1 17   2.9 1008 269  4.6 7  3.4  73    0    0 296 -307  0
4201500 2847500  1  1 18   2.7 1008 269  4.0 8  3.4  73    0    0 303 -304  0
4201500 2847500  1  1 19   2.6 1009 259  4.4 8  3.4  75    0    0 309 -302  0
4201500 2847500  1  1 20   2.4 1009 258  3.7 8  3.4  75    0    0 308 -300  0
4201500 2847500  1  1 21   2.2 1009 269  3.7 8  3.4  76    0    0 305 -298  0
4201500 2847500  1  1 22   2.0 1009 279  4.8 7  3.4  77    0    0 299 -295  0
4201500 2847500  1  1 23   1.8 1010 280  4.2 7  3.3  76    0    0 291 -294  0
4201500 2847500  1  1 24   1.6 1010 280  4.4 7  3.2  75    0    0 289 -293  0
4201500 2847500  1  2  1   1.4 1010 289  4.9 8  3.2  77    0    0 291 -291  0
4201500 2847500  1  2  2   1.4 1010 289  3.7 8  3.3  78    0    0 295 -290  0
4201500 2847500  1  2  3   1.1 1010 279  3.1 7  3.3  80    0    0 286 -288  0
4201500 2847500  1  2  4   0.9 1010 269  3.7 8  3.4  83    0    0 285 -286  0
4201500 2847500  1  2  5   0.8 1010 279  3.7 7  3.4  85    0    0 283 -285  0
4201500 2847500  1  2  6   0.8 1010 269  2.6 7  3.5  86    0    0 277 -285  0
4201500 2847500  1  2  7   0.6 1011 269  2.6 7  3.4  86    0    0 274 -284  0
4201500 2847500  1  2  8   0.8 1011 278  3.2 7  3.4  85    0    0 274 -284  0
4201500 2847500  1  2  9   0.7 1011 269  3.1 7  3.4  85    0    6 273 -285  0
4201500 2847500  1  2 10   0.9 1011 278  3.4 8  3.4  86    3   34 277 -287  0
4201500 2847500  1  2 11   1.0 1012 268  3.4 7  3.4  85    0   54 276 -291  0
4201500 2847500  1  2 12   1.0 1012 277  3.7 7  3.4  84    0   50 272 -295  0
4201500 2847500  1  2 13   1.1 1013 288  3.9 6  3.3  81    0   51 268 -297  0
4201500 2847500  1  2 14   1.1 1013 288  3.1 5  3.2  78   11   80 259 -298  0
4201500 2847500  1  2 15   0.8 1013 279  3.9 3  3.1  76   31   53 245 -298  0
4201500 2847500  1  2 16  -0.1 1013 270  4.0 3  3.0  78    0   18 234 -296  0
4201500 2847500  1  2 17  -0.9 1013 260  2.7 2  3.1  84    0    0 229 -295  0
4201500 2847500  1  2 18  -1.8 1013 249  2.6 2  3.0  88    0    0 223 -293  0
4201500 2847500  1  2 19  -1.6 1014 250  2.2 3  3.0  90    0    0 227 -294  0
4201500 2847500  1  2 20  -1.7 1014 250  2.8 3  3.0  90    0    0 231 -296  0
4201500 2847500  1  2 21  -2.0 1014 249  2.8 3  3.0  92    0    0 231 -297  0
4201500 2847500  1  2 22  -1.9 1014 259  3.0 3  3.0  92    0    0 230 -298  0
4201500 2847500  1  2 23  -2.1 1015 269  2.7 5  3.0  92    0    0 238 -297  0
4201500 2847500  1  2 24  -2.0 1015 258  1.8 6  3.0  93    0    0 251 -295  0
4201500 2847500  1  3  1  -1.7 1015 288  2.0 6  3.1  94    0    0 256 -293  0
4201500 2847500  1  3  2  -2.3 1015 268  2.2 5  3.1  94    0    0 251 -290  0
4201500 2847500  1  3  3  -1.9 1015 268  2.0 6  3.1  94    0    0 250 -287  0
4201500 2847500  1  3  4  -1.5 1015 259  2.7 7  3.2  95    0    0 260 -284  0
4201500 2847500  1  3  5  -1.2 1015 298  1.9 7  3.2  94    0    0 265 -281  0
4201500 2847500  1  3  6  -1.2 1015 269  2.6 8  3.2  92    0    0 268 -278  0
4201500 2847500  1  3  7  -1.5 1015 259  2.1 6  3.1  92    0    0 262 -276  0
4201500 2847500  1  3  8  -2.1 1015 269  2.1 6  3.1  94    0    0 252 -274  0
4201500 2847500  1  3  9  -2.5 1016 259  2.5 7  3.1  97    1    8 255 -273  0
4201500 2847500  1  3 10  -1.6 1016 298  2.1 7  3.2  97   10   35 259 -273  0
4201500 2847500  1  3 11  -1.4 1016 298  2.2 6  3.2  94   10   66 254 -274  0
4201500 2847500  1  3 12  -1.1 1017 278  2.7 6  3.1  90    1   75 248 -276  0
4201500 2847500  1  3 13  -0.9 1017 298  3.6 6  3.0  87    0   56 247 -279  0
4201500 2847500  1  3 14  -0.8 1017 288  2.3 5  3.0  84    0   66 242 -281  0
4201500 2847500  1  3 15  -0.8 1017 268  2.8 4  2.9  82    1   51 232 -283  0
