Koordinatensystem : Lambert konform konisch
Rechtswert        : 3861500 Meter
Hochwert          : 2659500 Meter
Hoehenlage        : 495 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3861500 2659500  1  1  1   0.4  935 217  5.9 8  4.2  98    0    0 279 -312  0
3861500 2659500  1  1  2   0.3  935 251  6.9 8  4.2  99    0    0 281 -311  0
3861500 2659500  1  1  3   0.3  935 282  7.6 8  4.1  98    0    0 279 -310  0
3861500 2659500  1  1  4   0.3  936 292  7.3 8  4.1  98    0    0 277 -310  0
3861500 2659500  1  1  5   0.2  937 301  6.8 8  4.0  96    0    0 279 -310  0
3861500 2659500  1  1  6   0.5  937 299  5.6 8  4.0  93    0    0 280 -310  0
3861500 2659500  1  1  7  -0.2  938 319  5.5 8  3.9  93    0    0 280 -309  0
3861500 2659500  1  1  8  -0.4  939 309  4.8 8  3.8  95    0    0 277 -308  0
3861500 2659500  1  1  9  -0.8  938 310  5.8 7  3.8  97    0    2 271 -308  0
3861500 2659500  1  1 10  -0.6  939 309  5.4 8  3.8  98    0   13 269 -307  0
3861500 2659500  1  1 11  -0.4  940 309  5.3 8  3.9  98    0   34 274 -307  0
3861500 2659500  1  1 12  -0.2  941 299  5.7 8  3.8  95    0   64 274 -307  0
3861500 2659500  1  1 13   0.2  941 309  5.1 8  3.7  90    0   58 274 -307  0
3861500 2659500  1  1 14  -0.3  941 300  6.2 8  3.6  88    0   69 272 -306  0
3861500 2659500  1  1 15  -1.1  942 298  5.4 5  3.5  90    5   52 258 -306  0
3861500 2659500  1  1 16  -1.6  942 290  5.7 7  3.4  92    0   21 252 -305  0
3861500 2659500  1  1 17  -1.9  942 277  7.4 7  3.3  93    0    3 258 -305  0
3861500 2659500  1  1 18  -1.9  942 265 10.2 6  3.1  89    0    0 252 -304  0
3861500 2659500  1  1 19  -2.0  943 272  9.4 5  3.0  84    0    0 245 -304  0
3861500 2659500  1  1 20  -2.9  943 272  7.9 8  3.0  89    0    0 253 -303  0
3861500 2659500  1  1 21  -2.8  943 273 10.0 7  3.1  94    0    0 263 -302  0
3861500 2659500  1  1 22  -2.8  944 268  6.2 7  3.0  92    0    0 260 -302  0
3861500 2659500  1  1 23  -2.8  943 266 11.1 7  3.0  90    0    0 260 -302  0
3861500 2659500  1  1 24  -2.7  943 260 11.3 5  3.0  89    0    0 253 -302  0
3861500 2659500  1  2  1  -2.6  944 272  9.9 8  3.1  91    0    0 259 -303  0
3861500 2659500  1  2  2  -1.9  944 278  9.6 8  3.1  91    0    0 274 -304  0
3861500 2659500  1  2  3  -2.2  944 279  8.2 6  3.2  90    0    0 269 -304  0
3861500 2659500  1  2  4  -2.0  944 295  8.3 8  3.2  90    0    0 270 -305  0
3861500 2659500  1  2  5  -1.9  945 305  8.7 8  3.1  89    0    0 280 -307  0
3861500 2659500  1  2  6  -1.8  945 300  7.3 7  3.1  88    0    0 277 -309  0
3861500 2659500  1  2  7  -2.0  946 301  7.2 7  3.1  88    0    0 272 -309  0
3861500 2659500  1  2  8  -1.9  946 291  6.6 7  3.1  88    0    0 272 -308  0
3861500 2659500  1  2  9  -2.2  946 281  6.3 6  3.2  91    0    0 267 -308  0
3861500 2659500  1  2 10  -1.7  947 291  5.8 6  3.3  92    0    7 261 -307  0
3861500 2659500  1  2 11  -1.6  947 271  5.8 7  3.3  92    2   66 266 -307  0
3861500 2659500  1  2 12  -1.2  948 301  6.5 8  3.5  95    0   31 280 -308  0
3861500 2659500  1  2 13  -0.9  948 312  5.1 8  3.6  96    0   35 287 -309  0
3861500 2659500  1  2 14  -0.9  949 312  5.6 8  3.6  96    0   48 287 -309  0
3861500 2659500  1  2 15  -0.4  950 322  4.3 7  3.6  93    0   50 282 -309  0
3861500 2659500  1  2 16  -1.1  950 324  5.5 8  3.6  93    0   30 281 -308  0
3861500 2659500  1  2 17  -1.2  952 328  5.3 8  3.6  96    0    3 285 -307  0
3861500 2659500  1  2 18  -1.1  952 343  6.6 8  3.5  94    0    0 285 -305  0
3861500 2659500  1  2 19  -1.2  953 340  6.8 7  3.4  92    0    0 279 -304  0
3861500 2659500  1  2 20  -1.3  955 330  6.9 7  3.4  91    0    0 273 -304  0
3861500 2659500  1  2 21  -1.4  956 345  6.2 7  3.3  90    0    0 273 -303  0
3861500 2659500  1  2 22  -1.7  957 331  5.0 7  3.2  90    0    0 272 -302  0
3861500 2659500  1  2 23  -1.7  959 341  6.5 6  3.2  90    0    0 266 -301  0
