Koordinatensystem : Lambert konform konisch
Rechtswert        : 3861500 Meter
Hochwert          : 2659500 Meter
Hoehenlage        : 495 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3861500 2659500  1  1  1  -1.0  934 341  2.9 8  3.8 100    0    0 285 -309  0
3861500 2659500  1  1  2  -1.2  934 298  2.5 8  3.8 100    0    0 286 -308  0
3861500 2659500  1  1  3  -1.2  934 319  2.8 8  3.8 100    0    0 286 -306  0
3861500 2659500  1  1  4  -1.3  934 330  2.8 7  3.8 100    0    0 278 -304  0
3861500 2659500  1  1  5  -1.3  934 341  2.1 7  3.7 100    0    0 270 -302  0
3861500 2659500  1  1  6  -1.1  934 331  2.1 5  3.8 100    0    0 257 -301  0
3861500 2659500  1  1  7  -1.6  934  74  3.7 8  3.7 100    0    0 264 -300  0
3861500 2659500  1  1  8  -2.0  934  65  2.8 6  3.6 100    0    0 271 -298  0
3861500 2659500  1  1  9  -2.6  934  45  3.6 7  3.5 100    0    4 261 -297  0
3861500 2659500  1  1 10  -2.7  935  74  2.9 8  3.4 100    7   50 275 -297  0
3861500 2659500  1  1 11  -2.9  935  44  3.8 5  3.3 100   15   94 260 -298  0
3861500 2659500  1  1 12  -3.0  936  23  3.7 6  3.3 100    0   79 244 -300  0
3861500 2659500  1  1 13  -2.8  936  14  3.0 5  3.3  99    6  113 244 -302  0
3861500 2659500  1  1 14  -2.7  937  24  3.4 4  3.3  99   10  113 231 -303  0
3861500 2659500  1  1 15  -2.8  937  24  2.6 7  3.3 100    2   66 247 -303  0
3861500 2659500  1  1 16  -3.0  938 354  3.1 7  3.3 100    0   25 270 -302  0
3861500 2659500  1  1 17  -3.2  939   2  2.9 7  3.2 100    0    0 270 -300  0
3861500 2659500  1  1 18  -3.4  940 353  2.8 8  3.2  99    0    0 277 -298  0
3861500 2659500  1  1 19  -3.6  940 342  3.6 8  3.1  99    0    0 283 -297  0
3861500 2659500  1  1 20  -3.7  941   2  3.4 8  3.1  99    0    0 282 -296  0
