Koordinatensystem : Lambert konform konisch
Rechtswert        : 4040500 Meter
Hochwert          : 2771500 Meter
Hoehenlage        : 607 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4040500 2771500  1  1  1   2.7  928 224  5.3 8  4.9  97    0    0 311 -316  0
4040500 2771500  1  1  2   1.9  928 220  5.1 8  4.7  99    0    0 310 -316  0
4040500 2771500  1  1  3   1.2  928 220  5.1 8  4.6 100    0    0 310 -316  0
4040500 2771500  1  1  4   1.2  928 218  5.1 8  4.5 100    0    0 309 -316  0
4040500 2771500  1  1  5   1.1  928 219  5.0 8  4.5 100    0    0 308 -315  0
4040500 2771500  1  1  6   1.1  928 220  5.2 8  4.5 100    0    0 307 -315  0
4040500 2771500  1  1  7   0.9  929 221  4.4 8  4.5 100    0    0 307 -314  0
4040500 2771500  1  1  8   0.7  930 221  4.0 8  4.4 100    0    0 306 -313  0
4040500 2771500  1  1  9   0.7  930 221  4.0 8  4.4 100    0    0 305 -313  0
4040500 2771500  1  1 10   0.8  931 221  2.4 8  4.4 100    0   21 304 -312  0
4040500 2771500  1  1 11   0.9  932 221  2.2 8  4.4 100    0   18 305 -312  0
4040500 2771500  1  1 12   0.7  932 220  2.7 8  4.4 100    0   30 304 -312  0
4040500 2771500  1  1 13   0.9  932 230  3.0 8  4.4 100    0   47 303 -313  0
4040500 2771500  1  1 14   0.9  932 230  2.4 8  4.4 100    0   61 302 -313  0
4040500 2771500  1  1 15   0.7  932 220  2.7 7  4.4 100    0   44 294 -313  0
4040500 2771500  1  1 16   0.8  933 211  2.3 8  4.4 100    0    4 293 -313  0
4040500 2771500  1  1 17   0.6  934 231  2.0 8  4.3 100    0    0 300 -312  0
4040500 2771500  1  1 18   0.5  934  29  0.4 8  4.3 100    0    0 299 -311  0
4040500 2771500  1  1 19   0.2  935 221  0.5 6  4.2 100    0    0 283 -312  0
4040500 2771500  1  1 20   0.2  936 270  1.4 6  4.2 100    0    0 268 -312  0
