Koordinatensystem : Lambert konform konisch
Rechtswert        : 4040500 Meter
Hochwert          : 2771500 Meter
Hoehenlage        : 607 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4040500 2771500  1  1  1  -5.7  922  50  3.5 8  2.6  97    0    0 264 -288  0
4040500 2771500  1  1  2  -5.8  922  50  3.1 8  2.6  97    0    0 265 -287  0
4040500 2771500  1  1  3  -5.9  922  60  4.4 8  2.6  97    0    0 265 -287  0
4040500 2771500  1  1  4  -5.9  922  69  3.9 8  2.6  97    0    0 265 -286  0
4040500 2771500  1  1  5  -5.9  922  50  3.5 8  2.6  97    0    0 266 -286  0
4040500 2771500  1  1  6  -5.8  922  50  4.3 8  2.6  97    0    0 269 -284  0
4040500 2771500  1  1  7  -5.8  922  60  3.8 8  2.6  96    0    0 270 -283  0
4040500 2771500  1  1  8  -5.8  922  60  3.5 8  2.6  96    0    0 270 -283  0
4040500 2771500  1  1  9  -5.8  923  60  3.9 8  2.6  96    0    8 269 -282  0
4040500 2771500  1  1 10  -5.8  923  50  3.6 8  2.6  96    0   31 269 -282  0
4040500 2771500  1  1 11  -5.8  923  59  4.1 6  2.6  96    0   55 255 -283  0
4040500 2771500  1  1 12  -5.8  924  59  4.1 8  2.6  96    0   42 256 -285  0
4040500 2771500  1  1 13  -5.8  924  50  2.7 7  2.6  96    2   90 266 -286  0
4040500 2771500  1  1 14  -5.9  924  50  2.8 7  2.6  96    2   80 259 -286  0
4040500 2771500  1  1 15  -5.9  924  59  3.0 8  2.6  96    2   60 267 -286  0
4040500 2771500  1  1 16  -6.0  925  40  3.4 7  2.6  96    0    8 267 -285  0
4040500 2771500  1  1 17  -6.0  926  50  4.2 7  2.6  96    0    0 260 -285  0
4040500 2771500  1  1 18  -6.1  927  50  3.9 8  2.5  96    0    0 267 -285  0
4040500 2771500  1  1 19  -6.0  927  40  4.1 8  2.5  96    0    0 274 -285  0
4040500 2771500  1  1 20  -6.0  928  50  3.2 8  2.5  96    0    0 273 -285  0
4040500 2771500  1  1 21  -6.0  928  49  2.8 8  2.5  96    0    0 270 -285  0
4040500 2771500  1  1 22  -6.0  929  20  3.0 8  2.5  96    0    0 268 -285  0
4040500 2771500  1  1 23  -5.9  930  20  3.0 8  2.6  96    0    0 266 -285  0
4040500 2771500  1  1 24  -6.0  931  59  2.4 8  2.5  96    0    0 265 -284  0
4040500 2771500  1  2  1  -5.9  931  24  1.5 8  2.5  96    0    0 265 -284  0
4040500 2771500  1  2  2  -5.7  932  23  1.6 8  2.6  96    0    0 265 -285  0
4040500 2771500  1  2  3  -5.6  932 351  2.4 8  2.6  96    0    0 265 -284  0
4040500 2771500  1  2  4  -5.7  933 351  3.3 7  2.6  95    0    0 258 -284  0
4040500 2771500  1  2  5  -5.7  933 351  3.8 8  2.5  95    0    0 257 -282  0
4040500 2771500  1  2  6  -5.6  934 351  3.3 7  2.6  95    0    0 256 -281  0
4040500 2771500  1  2  7  -5.7  934 341  3.7 8  2.5  94    0    0 256 -282  0
4040500 2771500  1  2  8  -5.9  935 341  3.7 8  2.5  94    0    0 260 -283  0
4040500 2771500  1  2  9  -6.1  937 340  4.1 8  2.5  94    0    8 260 -284  0
4040500 2771500  1  2 10  -6.1  938 340  4.5 8  2.4  93    5   41 258 -285  0
