Koordinatensystem : Lambert konform konisch
Rechtswert        : 4040500 Meter
Hochwert          : 2771500 Meter
Hoehenlage        : 607 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4040500 2771500  1  1  1  -1.8  947 260  4.0 6  3.4  95    0    0 280 -295  2
4040500 2771500  1  1  2  -1.9  947 259  4.4 8  3.4  96    0    0 281 -295  2
4040500 2771500  1  1  3  -1.9  946 257  4.7 8  3.4  96    0    0 281 -295  2
4040500 2771500  1  1  4  -1.8  945 263  4.6 8  3.4  96    0    0 281 -296  2
4040500 2771500  1  1  5  -1.7  945 270  4.5 8  3.5  96    0    0 279 -296  2
4040500 2771500  1  1  6  -1.5  944 289  4.3 8  3.5  97    0    0 279 -296  2
4040500 2771500  1  1  7  -1.3  943 280  3.9 7  3.6  99    0    0 277 -296  2
4040500 2771500  1  1  8  -0.8  943 261  4.1 7  3.8 100    0    0 274 -298  2
4040500 2771500  1  1  9  -0.6  942 231  4.0 7  3.8  99    0    3 275 -300  2
4040500 2771500  1  1 10  -0.3  942 241  3.8 7  3.9  99    0   29 276 -301  2
4040500 2771500  1  1 11  -0.1  942 241  4.2 7  4.0  99    0   46 277 -303  2
4040500 2771500  1  1 12  -0.1  942 241  3.6 8  4.0  99    0   65 281 -305  2
4040500 2771500  1  1 13  -0.1  942 261  2.9 7  4.0  99    0   69 279 -307  2
4040500 2771500  1  1 14  -0.2  942 271  2.7 8  4.0  99    0   58 278 -309  2
4040500 2771500  1  1 15  -0.5  942 300  4.1 8  3.9  97    0   34 284 -309  2
4040500 2771500  1  1 16  -0.7  942 310  3.5 8  3.7  95    0   13 285 -308  2
4040500 2771500  1  1 17  -0.8  942 300  3.1 8  3.7  95    0    0 287 -305  2
4040500 2771500  1  1 18  -1.1  943 300  4.1 8  3.5  93    0    0 287 -303  2
4040500 2771500  1  1 19  -1.3  943 306  2.8 7  3.4  91    0    0 280 -301  2
4040500 2771500  1  1 20  -1.6  943 261  2.8 7  3.3  91    0    0 272 -300  2
4040500 2771500  1  1 21  -1.5  943 300  3.1 8  3.3  90    0    0 275 -299  2
4040500 2771500  1  1 22  -2.0  943 291  3.2 8  3.2  88    0    0 281 -298  2
4040500 2771500  1  1 23  -2.1  944 301  3.5 8  3.1  88    0    0 280 -296  2
4040500 2771500  1  1 24  -2.1  944 301  3.8 7  3.1  89    0    0 273 -294  2
4040500 2771500  1  2  1  -2.0  944 301  3.3 7  3.2  90    0    0 266 -293  2
4040500 2771500  1  2  2  -2.2  944 313  2.2 8  3.1  89    0    0 270 -292  2
4040500 2771500  1  2  3  -2.2  944 291  3.4 8  3.1  90    0    0 274 -291  2
4040500 2771500  1  2  4  -2.3  944 251  2.5 8  3.2  92    0    0 273 -291  2
4040500 2771500  1  2  5  -2.1  944 281  3.3 8  3.2  94    0    0 273 -290  2
4040500 2771500  1  2  6  -2.0  944 311  4.6 8  3.3  93    0    0 272 -291  2
4040500 2771500  1  2  7  -2.0  944 310  5.1 7  3.2  91    0    0 266 -292  2
4040500 2771500  1  2  8  -2.1  944 310  5.5 7  3.1  89    0    0 260 -292  2
4040500 2771500  1  2  9  -2.3  944 300  4.8 8  3.0  87    0    5 263 -293  2
4040500 2771500  1  2 10  -2.2  945 310  5.8 8  3.0  86    7   36 266 -295  2
4040500 2771500  1  2 11  -2.1  945 320  6.2 7  3.0  86   22   72 260 -297  2
