Koordinatensystem : Lambert konform konisch
Rechtswert        : 4040500 Meter
Hochwert          : 2771500 Meter
Hoehenlage        : 607 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4040500 2771500  1  1  1  -1.8  953 288  2.2 6  3.3  93    0    0 270 -293  2
4040500 2771500  1  1  2  -2.0  953 298  2.1 7  3.2  92    0    0 269 -293  2
4040500 2771500  1  1  3  -2.3  953 301  2.0 7  3.2  93    0    0 271 -294  2
4040500 2771500  1  1  4  -2.4  953 301  1.9 7  3.2  94    0    0 271 -296  2
4040500 2771500  1  1  5  -2.4  952 301  1.8 7  3.2  96    0    0 266 -298  2
4040500 2771500  1  1  6  -2.2  952 301  1.7 8  3.3  98    0    0 272 -296  2
4040500 2771500  1  1  7  -2.1  952 301  1.5 7  3.4 100    0    0 272 -295  2
4040500 2771500  1  1  8  -1.8  952 301  1.5 7  3.3  95    0    0 267 -296  2
4040500 2771500  1  1  9  -2.0  952 301  1.4 8  3.2  90    0    2 269 -297  2
4040500 2771500  1  1 10  -2.1  952 347  1.8 8  3.1  89    0   22 272 -298  2
4040500 2771500  1  1 11  -2.2  952 341  2.5 8  3.0  88    0   30 271 -301  2
4040500 2771500  1  1 12  -2.2  952 350  2.2 8  3.0  87    0   39 271 -303  2
4040500 2771500  1  1 13  -2.3  952 350  1.6 8  2.9  85    0   41 270 -305  2
4040500 2771500  1  1 14  -2.6  951 312  1.9 8  2.9  86    0   37 269 -305  2
4040500 2771500  1  1 15  -3.0  951 312  1.4 8  2.9  88    0   27 266 -306  2
4040500 2771500  1  1 16  -3.1  951 312  1.7 7  2.9  89    0    9 259 -305  2
4040500 2771500  1  1 17  -3.4  951 312  2.6 8  2.8  87    0    0 256 -304  2
4040500 2771500  1  1 18  -4.2  952 311  1.7 7  2.7  88    0    0 252 -302  2
4040500 2771500  1  1 19  -5.3  951 312  1.7 2  2.6  93    0    0 231 -302  2
4040500 2771500  1  1 20  -6.6  951 310  1.4 3  2.5  95    0    0 214 -302  2
4040500 2771500  1  1 21  -6.0  951   0  0.4 7  2.4  95    0    0 229 -302  2
4040500 2771500  1  1 22  -4.9  951 309  1.4 5  2.5  94    0    0 240 -302  2
4040500 2771500  1  1 23  -5.7  951   0  0.2 6  2.5  93    0    0 238 -302  2
4040500 2771500  1  1 24  -5.7  951 309  0.7 8  2.5  93    0    0 249 -302  2
4040500 2771500  1  2  1  -4.9  951 309  0.7 7  2.5  93    0    0 254 -302  2
4040500 2771500  1  2  2  -4.7  950 309  0.7 8  2.6  93    0    0 256 -303  2
4040500 2771500  1  2  3  -4.7  950 309  1.0 5  2.7  94    0    0 250 -303  2
4040500 2771500  1  2  4  -4.7  950 359  0.2 8  2.7  95    0    0 250 -302  2
4040500 2771500  1  2  5  -4.9  950   0  0.4 4  2.7  95    0    0 246 -302  2
4040500 2771500  1  2  6  -4.6  950 179  1.1 7  2.7  95    0    0 241 -301  2
4040500 2771500  1  2  7  -4.5  950 167  1.8 7  2.8  96    0    0 254 -301  2
4040500 2771500  1  2  8  -4.7  950 114  1.5 7  2.8  96    0    0 253 -301  2
4040500 2771500  1  2  9  -5.4  950 159  1.7 5  2.7  96    0    4 243 -302  2
4040500 2771500  1  2 10  -5.3  950 138  2.6 5  2.7  98   41    8 233 -302  2
4040500 2771500  1  2 11  -5.0  950  62  2.2 8  2.8 100    0   50 247 -302  2
4040500 2771500  1  2 12  -4.5  950  61  3.2 8  2.8 100    0   42 262 -303  2
4040500 2771500  1  2 13  -4.2  950  61  3.1 8  2.9  98    0   47 263 -303  2
4040500 2771500  1  2 14  -3.6  950  71  2.6 8  2.9  95    0   45 264 -302  2
4040500 2771500  1  2 15  -4.7  950  61  4.3 8  2.8  95    0   29 263 -302  2
4040500 2771500  1  2 16  -5.2  948  61  4.2 7  2.7  98    0    8 254 -300  2
4040500 2771500  1  2 17  -5.2  948  61  5.0 7  2.8 100    0    0 246 -298  2
4040500 2771500  1  2 18  -5.2  948  61  4.1 6  2.8 100    0    0 241 -296  2
4040500 2771500  1  2 19  -5.0  948  71  4.9 8  2.7  98    0    0 244 -294  2
4040500 2771500  1  2 20  -4.7  948  87  5.8 8  2.7  95    0    0 252 -292  2
4040500 2771500  1  2 21  -4.7  947  80  4.8 8  2.7  93    0    0 252 -291  2
4040500 2771500  1  2 22  -4.7  946  71  5.5 8  2.6  92    0    0 254 -290  2
4040500 2771500  1  2 23  -5.2  946  91  5.4 7  2.6  94    0    0 250 -289  2
4040500 2771500  1  2 24  -5.3  945  71  5.0 7  2.6  96    0    0 247 -289  2
4040500 2771500  1  3  1  -5.2  944  80  5.1 8  2.6  96    0    0 253 -288  2
4040500 2771500  1  3  2  -5.3  944  70  5.7 8  2.6  96    0    0 259 -288  2
4040500 2771500  1  3  3  -5.5  944  61  6.2 8  2.7  98    0    0 260 -287  2
4040500 2771500  1  3  4  -5.7  943  71  5.2 8  2.7 100    0    0 261 -286  2
4040500 2771500  1  3  5  -5.9  943  61  5.1 8  2.6  98    0    0 261 -285  2
4040500 2771500  1  3  6  -6.2  942  80  4.9 8  2.5  96    0    0 260 -284  2
4040500 2771500  1  3  7  -6.3  942  61  4.6 8  2.5  96    0    0 259 -283  2
4040500 2771500  1  3  8  -6.5  941  61  4.8 8  2.4  96    0    0 258 -282  2
4040500 2771500  1  3  9  -6.6  941  81  4.5 8  2.4  96    0    4 255 -282  2
4040500 2771500  1  3 10  -6.6  941  61  4.4 7  2.4  96    0   25 250 -281  2
4040500 2771500  1  3 11  -6.5  941  71  4.7 8  2.4  96    0   33 250 -282  2
4040500 2771500  1  3 12  -6.4  941  61  4.3 8  2.4  96    0   49 256 -283  2
4040500 2771500  1  3 13  -6.3  941  71  4.4 8  2.4  96    0   52 256 -284  2
4040500 2771500  1  3 14  -6.1  940  60  4.0 8  2.5  96    0   36 257 -285  2
4040500 2771500  1  3 15  -6.1  940  60  4.3 7  2.5  96   14   59 254 -286  2
4040500 2771500  1  3 16  -6.1  940  60  4.2 7  2.5  96   23   23 251 -288  2
4040500 2771500  1  3 17  -6.0  940  60  3.1 8  2.5  96    0    0 256 -288  2
4040500 2771500  1  3 18  -5.8  940  60  3.9 8  2.5  96    0    0 259 -286  2
4040500 2771500  1  3 19  -5.7  941  60  3.9 8  2.6  96    0    0 259 -286  2
4040500 2771500  1  3 20  -5.7  941  60  3.3 8  2.6  96    0    0 259 -288  2
4040500 2771500  1  3 21  -5.8  941  60  3.3 7  2.6  96    0    0 255 -288  2
4040500 2771500  1  3 22  -5.7  941  50  3.7 8  2.6  96    0    0 254 -288  2
4040500 2771500  1  3 23  -5.7  941  60  3.4 8  2.6  96    0    0 257 -288  2
4040500 2771500  1  3 24  -5.8  941  50  3.2 8  2.5  96    0    0 255 -288  2
4040500 2771500  1  4  1  -5.9  941  50  3.1 6  2.5  96    0    0 245 -288  2
4040500 2771500  1  4  2  -6.1  941  50  3.0 8  2.5  96    0    0 243 -288  2
4040500 2771500  1  4  3  -6.1  941  60  3.0 8  2.5  96    0    0 248 -288  2
4040500 2771500  1  4  4  -6.0  941  60  3.8 8  2.5  96    0    0 248 -288  2
4040500 2771500  1  4  5  -6.3  941  60  3.1 7  2.5  96    0    0 244 -288  2
4040500 2771500  1  4  6  -6.4  941  60  2.7 8  2.4  96    0    0 242 -288  2
4040500 2771500  1  4  7  -6.5  941  60  2.8 7  2.4  96    0    0 242 -288  2
4040500 2771500  1  4  8  -6.6  942  60  2.4 7  2.4  95    0    0 237 -288  2
4040500 2771500  1  4  9  -6.7  942  50  2.4 7  2.3  95    0    7 237 -287  2
4040500 2771500  1  4 10  -6.3  942  50  2.3 7  2.4  94   20   39 237 -289  2
4040500 2771500  1  4 11  -4.8  943  60  1.3 6  2.5  92   34   76 237 -292  2
4040500 2771500  1  4 12  -3.9  943  61  2.1 5  2.6  87   71   95 231 -296  2
4040500 2771500  1  4 13  -2.8  942 119  1.4 4  2.6  81  127   82 225 -299  2
4040500 2771500  1  4 14  -1.7  943 139  1.2 4  2.6  76   90   83 221 -301  2
