Koordinatensystem : Lambert konform konisch
Rechtswert        : 4040500 Meter
Hochwert          : 2771500 Meter
Hoehenlage        : 607 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4040500 2771500  1  1  1  -3.5  941 244  2.9 5  3.1  98    0    0 219 -275  2
4040500 2771500  1  1  2  -4.9  941 254  2.4 4  2.8  98    0    0 218 -275  2
4040500 2771500  1  1  3  -6.0  940 250  2.3 3  2.6  97    0    0 221 -274  2
4040500 2771500  1  1  4  -6.1  939 244  2.3 3  2.5  96    0    0 211 -273  2
4040500 2771500  1  1  5  -6.3  938 229  2.4 3  2.5  94    0    0 197 -272  2
4040500 2771500  1  1  6  -6.2  937 210  2.3 3  2.4  91    0    0 199 -272  2
4040500 2771500  1  1  7  -6.6  936 213  2.4 5  2.4  93    0    0 213 -273  2
4040500 2771500  1  1  8  -6.0  935 211  1.9 8  2.3  92    0    0 243 -274  2
4040500 2771500  1  1  9  -5.5  935 205  1.8 8  2.4  88    0    4 261 -275  2
4040500 2771500  1  1 10  -5.3  934 200  4.1 7  2.3  86   14   37 257 -278  2
4040500 2771500  1  1 11  -4.4  934 213  3.7 8  2.3  82    2   55 260 -282  2
4040500 2771500  1  1 12  -2.9  933 221  3.7 6  2.3  74   24   94 261 -287  2
4040500 2771500  1  1 13  -3.0  932 229  4.6 6  2.4  72   31  101 254 -291  2
4040500 2771500  1  1 14  -2.6  931 220  3.7 6  2.4  73    8   81 256 -293  2
4040500 2771500  1  1 15  -2.4  931 230  3.7 7  2.4  71    1   49 265 -294  2
4040500 2771500  1  1 16  -2.7  931 230  2.9 8  2.5  72    0    9 281 -294  2
4040500 2771500  1  1 17  -2.5  930 230  3.5 8  2.6  76    0    0 293 -294  2
4040500 2771500  1  1 18  -1.9  929 239  2.1 6  2.8  78    0    0 273 -296  2
4040500 2771500  1  1 19  -1.7  929 243  1.5 8  3.1  84    0    0 270 -298  2
4040500 2771500  1  1 20  -1.1  929 251  1.7 8  3.4  90    0    0 304 -302  2
4040500 2771500  1  1 21  -1.1  929 241  1.7 4  3.5  93    0    0 233 -305  2
4040500 2771500  1  1 22  -0.9  929 235  0.0 8  3.5  91    0    0 255 -308  2
4040500 2771500  1  1 23  -1.2  929 233  0.0 7  3.5  91    0    0 296 -311  2
