Koordinatensystem : Lambert konform konisch
Rechtswert        : 4195500 Meter
Hochwert          : 2674500 Meter
Hoehenlage        : 387 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4195500 2674500  1  1  1  -6.5  970 196  4.4 2  2.1  86    0    0 190 -281  1
4195500 2674500  1  1  2  -5.9  970 183  3.7 1  2.2  84    0    0 187 -280  1
4195500 2674500  1  1  3  -5.6  969 168  3.4 0  2.2  81    0    0 183 -279  1
4195500 2674500  1  1  4  -5.6  969 163  3.0 0  2.0  78    0    0 182 -278  1
4195500 2674500  1  1  5  -5.5  968 160  3.1 1  1.9  73    0    0 177 -278  1
4195500 2674500  1  1  6  -4.8  967 170  2.6 2  1.8  68    0    0 186 -277  1
4195500 2674500  1  1  7  -5.0  966 160  3.5 3  1.7  61    0    0 203 -277  1
4195500 2674500  1  1  8  -3.3  967 170  3.9 4  1.7  58    0    0 215 -277  1
4195500 2674500  1  1  9  -2.5  966 180  5.9 5  1.8  57    0    1 231 -278  1
4195500 2674500  1  1 10  -0.7  965 190  6.0 7  1.8  51    2   36 249 -281  1
4195500 2674500  1  1 11  -0.1  964  94  7.4 5  1.8  46   65   81 252 -287  1
4195500 2674500  1  1 12   1.4  965 100  5.6 6  1.7  41   56  111 249 -294  1
4195500 2674500  1  1 13   2.1  963 200  5.5 5  1.6  35   60  117 251 -301  1
4195500 2674500  1  1 14   2.2  963 170  5.5 5  1.6  34   48  103 246 -305  1
4195500 2674500  1  1 15   1.9  962 160  5.4 5  1.7  37   37   73 245 -306  1
4195500 2674500  1  1 16   1.4  961 160  6.5 7  1.9  42    0   22 257 -306  1
4195500 2674500  1  1 17   2.2  961 180  5.1 8  1.9  42    0    0 284 -306  1
4195500 2674500  1  1 18   1.5  960 180  7.4 8  2.0  44    0    0 296 -309  1
4195500 2674500  1  1 19   1.2  960 180  5.2 7  2.1  47    0    0 282 -310  1
4195500 2674500  1  1 20   0.5  960 150  6.2 7  2.2  51    0    0 263 -311  1
4195500 2674500  1  1 21   0.2  960 170  6.1 8  2.5  61    0    0 281 -313  1
4195500 2674500  1  1 22   2.7  959 200  6.9 8  2.9  64    0    0 303 -315  1
4195500 2674500  1  1 23   3.6  959 200  7.0 8  2.8  56    0    0 308 -316  1
4195500 2674500  1  1 24   4.8  959 210  8.3 8  2.7  49    0    0 312 -318  1
4195500 2674500  1  2  1   3.9  959 240  6.7 8  2.9  54    0    0 316 -323  1
4195500 2674500  1  2  2   4.4  959 180  6.8 8  2.9  54    0    0 316 -326  1
4195500 2674500  1  2  3   4.2  959 190  7.4 7  2.9  53    0    0 309 -327  1
4195500 2674500  1  2  4   2.8  958 150  6.5 7  3.0  59    0    0 300 -326  1
4195500 2674500  1  2  5   4.1  958 140  4.5 7  3.2  62    0    0 302 -326  1
4195500 2674500  1  2  6   5.6  958 190  7.4 7  3.7  65    0    0 307 -327  1
4195500 2674500  1  2  7   6.1  957 200  7.7 7  3.9  64    0    0 310 -330  1
4195500 2674500  1  2  8   5.2  957 200  8.3 7  3.8  63    0    0 308 -333  1
4195500 2674500  1  2  9   4.8  957 200  7.5 7  3.7  65    0    6 307 -335  1
4195500 2674500  1  2 10   4.6  957 170  4.9 7  3.8  68    0   28 305 -338  1
4195500 2674500  1  2 11   4.1  957 208  3.1 7  3.9  71    0   38 303 -339  1
4195500 2674500  1  2 12   5.5  958 190  4.0 7  4.3  77    0   44 304 -339  1
4195500 2674500  1  2 13   5.9  958 202  6.9 8  4.8  80    0   43 316 -338  1
4195500 2674500  1  2 14   6.2  957 200  8.9 7  5.1  82    0   63 317 -340  1
4195500 2674500  1  2 15   6.8  957 210  9.4 6  5.2  81    4   51 300 -340  1
4195500 2674500  1  2 16   6.4  957 200  9.4 7  5.1  79    0   16 301 -337  1
4195500 2674500  1  2 17   6.3  957 190  6.0 7  5.0  79    0    0 311 -333  1
4195500 2674500  1  2 18   5.9  957 180  5.0 7  4.9  79    0    0 310 -331  1
4195500 2674500  1  2 19   5.7  957 190  8.9 7  4.7  78    0    0 309 -331  1
4195500 2674500  1  2 20   5.0  957 210  9.3 7  4.6  79    0    0 306 -331  1
4195500 2674500  1  2 21   4.9  958 200  9.4 7  4.6  81    0    0 305 -331  1
4195500 2674500  1  2 22   4.7  958 190  8.3 5  4.6  81    0    0 293 -330  1
4195500 2674500  1  2 23   5.0  958 210  9.3 4  4.6  81    0    0 276 -329  1
4195500 2674500  1  2 24   4.3  958 200  8.8 5  4.6  82    0    0 273 -328  1
4195500 2674500  1  3  1   4.5  958 190  5.3 4  4.5  82    0    0 270 -328  1
4195500 2674500  1  3  2   4.6  958 180  5.5 6  4.5  81    0    0 277 -329  1
4195500 2674500  1  3  3   4.5  958 190  6.0 7  4.4  80    0    0 296 -329  1
4195500 2674500  1  3  4   4.9  958 170  5.1 8  4.4  78    0    0 307 -329  1
4195500 2674500  1  3  5   5.0  959 200  8.8 8  4.4  78    0    0 313 -329  1
4195500 2674500  1  3  6   5.1  959 210  8.9 8  4.4  77    0    0 312 -327  1
4195500 2674500  1  3  7   5.1  959 190  7.2 8  4.5  77    0    0 312 -326  1
4195500 2674500  1  3  8   5.3  959 220 10.0 7  4.5  77    0    0 307 -327  1
4195500 2674500  1  3  9   5.4  959 220 11.3 7  4.5  77    0    8 301 -328  1
4195500 2674500  1  3 10   5.3  960 220 11.9 7  4.5  77   16   48 300 -329  1
4195500 2674500  1  3 11   5.2  960 230 11.9 5  4.5  77   97   75 286 -331  1
