Koordinatensystem : Lambert konform konisch
Rechtswert        : 4195500 Meter
Hochwert          : 2674500 Meter
Hoehenlage        : 387 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4195500 2674500  1  1  1  -1.1  946 290  3.9 8  3.7 100    0    0 290 -324  0
4195500 2674500  1  1  2  -1.4  946 290  3.0 8  3.7 100    0    0 291 -322  0
4195500 2674500  1  1  3  -1.6  947 300  3.2 8  3.6 100    0    0 290 -320  0
4195500 2674500  1  1  4  -1.9  947 310  2.9 7  3.6 100    0    0 281 -318  0
4195500 2674500  1  1  5  -2.6  946 340  3.3 8  3.4 100    0    0 281 -317  0
4195500 2674500  1  1  6  -2.9  947 360  3.1 8  3.3 100    0    0 288 -317  0
4195500 2674500  1  1  7  -2.9  947 340  3.1 8  3.2  99    0    0 288 -317  0
4195500 2674500  1  1  8  -3.0  947 350  3.5 8  3.2  98    0    0 288 -317  0
4195500 2674500  1  1  9  -3.2  947  10  3.1 8  3.2  98    0    7 287 -316  0
4195500 2674500  1  1 10  -3.5  948  10  3.1 8  3.1  98    4   50 287 -315  0
4195500 2674500  1  1 11  -3.5  948 350  3.0 8  3.0  97    1   65 287 -314  0
4195500 2674500  1  1 12  -3.6  948 360  3.0 6  3.0  97    2   94 272 -313  0
4195500 2674500  1  1 13  -3.6  949 360  3.4 7  3.0  97    3  103 264 -313  0
4195500 2674500  1  1 14  -3.7  948  10  3.8 8  3.0  97    0   25 281 -313  0
4195500 2674500  1  1 15  -3.6  949 350  4.1 8  3.0  97    0   43 288 -312  0
4195500 2674500  1  1 16  -3.6  950  30  3.6 6  3.0  96    3   33 273 -310  0
4195500 2674500  1  1 17  -3.8  950  10  3.9 7  3.0  97    0    0 264 -309  0
4195500 2674500  1  1 18  -3.9  950  20  3.4 7  3.0  97    0    0 271 -308  0
4195500 2674500  1  1 19  -3.9  951  10  3.4 6  2.9  97    0    0 263 -307  0
4195500 2674500  1  1 20  -3.9  951   0  3.1 8  2.9  97    0    0 270 -306  0
