Koordinatensystem : Lambert konform konisch
Rechtswert        : 4195500 Meter
Hochwert          : 2674500 Meter
Hoehenlage        : 387 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4195500 2674500  1  1  1  -0.5  979 235  5.5 5  3.5  92    0    0 278 -312  2
4195500 2674500  1  1  2  -0.4  979 257  4.6 6  3.7  96    0    0 278 -312  2
4195500 2674500  1  1  3  -0.3  979 270  3.7 7  3.9 100    0    0 279 -311  2
4195500 2674500  1  1  4  -0.3  979 263  3.9 8  3.8 100    0    0 284 -310  2
4195500 2674500  1  1  5  -0.4  979 255  4.1 8  3.8 100    0    0 288 -310  2
4195500 2674500  1  1  6  -0.5  979 250  4.7 8  3.8 100    0    0 287 -309  2
4195500 2674500  1  1  7  -0.4  979 260  4.4 7  3.8 100    0    0 281 -308  2
4195500 2674500  1  1  8  -0.4  979 260  3.6 7  3.8 100    0    0 276 -308  2
4195500 2674500  1  1  9  -0.5  979 250  3.6 6  3.8 100    0    3 270 -308  2
4195500 2674500  1  1 10  -0.5  978 270  3.6 8  3.7  98    0   18 274 -308  2
4195500 2674500  1  1 11  -0.4  979 300  3.2 8  3.6  96    0   34 282 -310  2
4195500 2674500  1  1 12  -0.4  978 280  2.9 8  3.6  95    0   42 282 -312  2
4195500 2674500  1  1 13  -0.5  978 290  3.3 7  3.6  94    0   44 277 -314  2
4195500 2674500  1  1 14  -0.6  978 300  2.4 7  3.5  93    0   37 271 -315  2
4195500 2674500  1  1 15  -0.7  978 290  2.0 6  3.5  94    0   28 267 -314  2
4195500 2674500  1  1 16  -1.3  978 340  1.9 8  3.6  98    0    9 268 -314  2
4195500 2674500  1  1 17  -1.8  978  20  1.9 7  3.5 100    0    0 269 -312  2
4195500 2674500  1  1 18  -1.9  978  20  0.8 8  3.4 100    0    0 266 -311  2
4195500 2674500  1  1 19  -1.8  978  90  1.3 8  3.3  97    0    0 267 -310  2
4195500 2674500  1  1 20  -2.2  978 140  0.6 8  3.2  95    0    0 268 -309  2
4195500 2674500  1  1 21  -2.3  978 100  0.6 7  3.2  95    0    0 265 -308  2
4195500 2674500  1  1 22  -2.7  978 110  0.8 7  3.1  95    0    0 261 -308  2
4195500 2674500  1  1 23  -2.8  978 110  1.3 6  3.0  93    0    0 258 -308  2
4195500 2674500  1  1 24  -3.1  978  50  1.0 7  3.0  96    0    0 260 -308  2
4195500 2674500  1  2  1  -2.7  978  80  1.5 8  3.1  97    0    0 268 -307  2
4195500 2674500  1  2  2  -2.9  978  60  1.5 7  3.1  97    0    0 270 -307  2
4195500 2674500  1  2  3  -2.9  978 100  1.7 8  3.1  98    0    0 270 -307  2
4195500 2674500  1  2  4  -3.3  978 110  2.0 6  3.0  96    0    0 265 -306  2
4195500 2674500  1  2  5  -3.4  978 130  2.2 8  2.8  93    0    0 264 -305  2
4195500 2674500  1  2  6  -4.1  978 110  1.1 4  2.7  91    0    0 254 -304  2
4195500 2674500  1  2  7  -4.7  978 120  3.0 5  2.6  91    0    0 239 -303  2
4195500 2674500  1  2  8  -4.5  978  80  1.6 5  2.6  92    0    0 242 -303  2
4195500 2674500  1  2  9  -4.1  978 120  2.5 4  2.6  90    7   11 238 -305  2
4195500 2674500  1  2 10  -3.7  978  80  2.5 5  2.6  88   51   35 237 -307  2
4195500 2674500  1  2 11  -3.2  978  50  3.1 4  2.6  87   75   69 238 -309  2
4195500 2674500  1  2 12  -2.3  978  70  4.2 3  2.7  85   74   97 231 -311  2
4195500 2674500  1  2 13  -1.8  977  70  4.8 2  2.8  82  110   90 224 -312  2
4195500 2674500  1  2 14  -1.5  977  80  3.5 3  2.8  79   70   90 225 -312  2
4195500 2674500  1  2 15  -2.0  977  80  3.3 5  2.8  81    1   49 238 -311  2
4195500 2674500  1  2 16  -2.1  977  70  4.6 8  2.9  85    0    9 257 -310  2
4195500 2674500  1  2 17  -2.3  976  70  4.7 8  2.9  87    0    0 266 -308  2
4195500 2674500  1  2 18  -2.4  976  70  4.6 7  2.9  89    0    0 261 -303  2
4195500 2674500  1  2 19  -2.3  975  80  3.4 7  2.9  88    0    0 256 -298  2
4195500 2674500  1  2 20  -2.3  975 100  5.2 7  2.8  84    0    0 255 -297  2
4195500 2674500  1  2 21  -2.6  974  90  4.6 7  2.7  82    0    0 255 -297  2
4195500 2674500  1  2 22  -2.7  974  90  5.0 8  2.7  84    0    0 260 -298  2
