Koordinatensystem : Lambert konform konisch
Rechtswert        : 4195500 Meter
Hochwert          : 2674500 Meter
Hoehenlage        : 387 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4195500 2674500  1  1  1   5.3  976 236  9.9 8  4.8  85    0    0 324 -334  2
4195500 2674500  1  1  2   4.5  976 239  9.2 8  4.8  89    0    0 324 -334  2
4195500 2674500  1  1  3   4.0  976 243  8.3 8  4.8  93    0    0 326 -333  2
4195500 2674500  1  1  4   4.1  976 242  8.0 8  4.9  93    0    0 327 -333  2
4195500 2674500  1  1  5   4.2  976 243  7.7 8  4.9  93    0    0 321 -333  2
4195500 2674500  1  1  6   4.2  976 240  7.2 8  5.0  93    0    0 321 -333  2
4195500 2674500  1  1  7   4.3  976 250  7.4 8  5.0  94    0    0 327 -333  2
4195500 2674500  1  1  8   4.3  976 260  6.7 8  5.1  94    0    0 327 -333  2
4195500 2674500  1  1  9   4.5  977 250  6.5 8  5.1  94    0    2 327 -333  2
4195500 2674500  1  1 10   4.6  977 260  6.3 7  5.1  94    0   27 321 -333  2
4195500 2674500  1  1 11   4.9  978 250  6.5 7  5.2  93    0   39 315 -333  2
4195500 2674500  1  1 12   5.3  978 260  6.8 5  5.1  91   20   85 303 -334  2
4195500 2674500  1  1 13   5.8  977 270  6.7 6  5.2  89   22   88 298 -334  2
4195500 2674500  1  1 14   5.4  977 250  6.6 7  5.1  88    3   65 310 -334  2
4195500 2674500  1  1 15   5.0  977 260  5.9 8  5.0  87    0   22 319 -335  2
4195500 2674500  1  1 16   4.7  976 270  5.2 8  4.8  87    0    6 323 -335  2
4195500 2674500  1  1 17   4.3  976 250  5.0 7  4.7  86    0    0 314 -333  2
4195500 2674500  1  1 18   4.2  976 240  6.1 8  4.6  85    0    0 312 -332  2
4195500 2674500  1  1 19   4.1  976 230  5.9 8  4.5  85    0    0 318 -331  2
4195500 2674500  1  1 20   4.2  975 230  6.7 8  4.5  84    0    0 317 -330  2
4195500 2674500  1  1 21   4.5  974 230  7.7 8  4.5  84    0    0 318 -330  2
4195500 2674500  1  1 22   4.5  973 220  7.5 6  4.6  84    0    0 304 -329  2
4195500 2674500  1  1 23   4.2  972 230  8.0 6  4.5  83    0    0 291 -327  2
4195500 2674500  1  1 24   4.7  971 230 10.3 7  4.4  81    0    0 299 -323  2
4195500 2674500  1  2  1   5.1  969 240 11.7 7  4.4  79    0    0 307 -321  2
4195500 2674500  1  2  2   5.5  968 240 11.3 7  4.7  81    0    0 308 -324  2
4195500 2674500  1  2  3   5.7  967 240 13.1 7  5.1  86    0    0 308 -327  2
4195500 2674500  1  2  4   6.6  967 240 12.6 8  5.3  86    0    0 317 -331  2
4195500 2674500  1  2  5   6.7  966 240 13.4 7  5.3  84    0    0 319 -336  2
4195500 2674500  1  2  6   6.9  965 240 12.7 7  5.5  85    0    0 314 -339  2
4195500 2674500  1  2  7   5.9  965 260 10.8 8  5.2  83    0    0 319 -339  2
4195500 2674500  1  2  8   5.9  966 270 10.0 8  4.9  81    0    0 323 -339  2
4195500 2674500  1  2  9   5.4  966 290  8.1 6  4.7  79    0    2 310 -339  2
4195500 2674500  1  2 10   4.4  967 310  8.9 7  4.3  77    0   15 300 -337  2
4195500 2674500  1  2 11   3.7  968 290  9.5 8  4.2  79    0   32 305 -335  2
4195500 2674500  1  2 12   4.0  969 270 10.9 7  4.0  77    0   49 301 -332  2
4195500 2674500  1  2 13   3.6  970 280 13.1 8  3.8  72    0   69 296 -330  2
4195500 2674500  1  2 14   3.3  970 290 12.2 7  3.4  68   33   90 290 -329  2
4195500 2674500  1  2 15   3.1  971 280 10.4 6  3.3  66   18   67 277 -327  2
4195500 2674500  1  2 16   3.0  971 280 10.0 6  3.3  68    0   12 269 -324  2
4195500 2674500  1  2 17   1.8  972 270  9.0 5  3.3  70    0    1 263 -319  2
4195500 2674500  1  2 18   1.9  972 270 10.0 4  3.2  70    0    0 251 -317  2
