Koordinatensystem : Lambert konform konisch
Rechtswert        : 4195500 Meter
Hochwert          : 2674500 Meter
Hoehenlage        : 387 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4195500 2674500  1  1  1   1.2  977 226  7.0 6  3.7  86    0    0 283 -314  1
4195500 2674500  1  1  2   0.1  977 228  6.2 6  3.5  88    0    0 284 -314  1
4195500 2674500  1  1  3  -0.7  977 232  5.6 6  3.4  90    0    0 280 -315  1
4195500 2674500  1  1  4  -0.7  977 237  5.5 6  3.4  90    0    0 276 -316  1
4195500 2674500  1  1  5  -0.7  977 240  5.5 7  3.4  90    0    0 282 -316  1
4195500 2674500  1  1  6  -0.8  977 250  4.4 7  3.4  92    0    0 289 -317  1
4195500 2674500  1  1  7  -0.7  977 220  5.3 8  3.4  91    0    0 296 -317  1
4195500 2674500  1  1  8  -0.4  977 230  5.1 8  3.4  89    0    0 303 -317  1
4195500 2674500  1  1  9  -0.3  977 230  6.7 8  3.4  90    0    6 304 -317  1
4195500 2674500  1  1 10   0.1  977 230  6.3 8  3.5  90    0   34 305 -317  1
4195500 2674500  1  1 11   0.5  977 230  6.5 8  3.6  89    0   39 307 -317  1
4195500 2674500  1  1 12   0.9  977 240  6.5 8  3.6  87    0   44 310 -318  1
4195500 2674500  1  1 13   1.1  976 230  8.0 7  3.7  86    0   71 305 -317  1
4195500 2674500  1  1 14   1.0  976 240  7.2 8  3.8  88    0   48 306 -317  1
4195500 2674500  1  1 15   1.0  975 240  7.6 8  3.9  92    0   22 314 -318  1
4195500 2674500  1  1 16   0.8  975 240  6.6 8  4.0  95    0    5 314 -318  1
4195500 2674500  1  1 17   0.9  975 240  6.4 8  4.0  96    0    0 315 -318  1
4195500 2674500  1  1 18   0.6  974 250  6.6 8  4.0  97    0    0 315 -318  1
4195500 2674500  1  1 19   0.5  974 250  7.7 8  4.0  97    0    0 313 -318  1
4195500 2674500  1  1 20   0.7  975 270  6.3 8  4.0  97    0    0 312 -318  1
4195500 2674500  1  1 21   0.6  975 260  6.3 7  4.0  98    0    0 306 -317  1
4195500 2674500  1  1 22   0.8  975 260  6.4 8  4.1  98    0    0 306 -317  1
4195500 2674500  1  1 23   1.3  975 280  5.7 8  4.1  98    0    0 312 -317  1
4195500 2674500  1  1 24   2.0  976 300  5.4 7  4.3  98    0    0 307 -318  1
4195500 2674500  1  2  1   2.2  977 310  5.4 8  4.5  98    0    0 307 -317  1
4195500 2674500  1  2  2   2.2  977 320  6.2 8  4.5  98    0    0 312 -318  1
4195500 2674500  1  2  3   1.9  977 320  5.6 8  4.5  98    0    0 310 -318  1
4195500 2674500  1  2  4   1.9  978 310  4.8 8  4.4  98    0    0 308 -318  1
4195500 2674500  1  2  5   1.7  979 300  5.5 8  4.4  98    0    0 307 -317  1
4195500 2674500  1  2  6   1.4  979 290  5.3 8  4.3  98    0    0 305 -317  1
4195500 2674500  1  2  7   1.2  980 280  4.6 8  4.2  97    0    0 302 -317  1
4195500 2674500  1  2  8   1.1  980 250  4.6 8  4.1  97    0    0 301 -317  1
4195500 2674500  1  2  9   1.1  981 260  4.5 8  4.2  98    0    1 300 -317  1
4195500 2674500  1  2 10   1.3  982 260  5.2 8  4.2  97    1   32 302 -317  1
4195500 2674500  1  2 11   1.4  982 260  6.1 7  4.1  95   36   72 295 -317  1
4195500 2674500  1  2 12   1.7  982 250  6.4 8  4.1  93   13   96 294 -317  1
4195500 2674500  1  2 13   2.1  982 250  6.4 7  4.1  92    5   94 293 -317  1
4195500 2674500  1  2 14   2.6  981 240  6.3 6  4.1  89   45   99 282 -317  1
4195500 2674500  1  2 15   2.7  981 250  6.5 5  4.1  86   41   70 273 -317  1
4195500 2674500  1  2 16   2.3  981 250  5.9 4  4.0  85    3   28 264 -317  1
4195500 2674500  1  2 17   1.5  981 230  6.6 3  3.9  88    0    0 253 -317  1
4195500 2674500  1  2 18   0.6  981 230  6.4 3  3.8  90    0    0 244 -316  1
4195500 2674500  1  2 19   0.4  982 220  6.8 3  3.7  92    0    0 243 -314  1
4195500 2674500  1  2 20   0.1  982 230  7.6 4  3.7  92    0    0 249 -311  1
4195500 2674500  1  2 21   0.0  982 240  8.4 4  3.6  91    0    0 254 -310  1
4195500 2674500  1  2 22  -0.5  982 240  7.0 2  3.5  90    0    0 245 -309  1
4195500 2674500  1  2 23  -0.3  982 250  7.0 3  3.5  92    0    0 239 -309  1
4195500 2674500  1  2 24  -0.5  982 240  6.3 5  3.5  93    0    0 256 -308  1
4195500 2674500  1  3  1  -0.6  982 230  7.2 5  3.5  92    0    0 266 -308  1
4195500 2674500  1  3  2  -0.5  981 220  7.0 5  3.4  91    0    0 266 -306  1
4195500 2674500  1  3  3   0.3  981 220  7.5 5  3.4  89    0    0 267 -305  1
4195500 2674500  1  3  4   0.5  981 230  8.2 5  3.5  88    0    0 268 -304  1
4195500 2674500  1  3  5   0.4  981 230  7.5 5  3.6  89    0    0 268 -303  1
4195500 2674500  1  3  6   0.2  980 240  8.2 6  3.6  90    0    0 273 -303  1
4195500 2674500  1  3  7   0.4  980 250  6.7 7  3.6  90    0    0 283 -303  1
4195500 2674500  1  3  8   0.7  980 250  7.3 8  3.7  90    0    0 292 -303  1
4195500 2674500  1  3  9   0.8  980 230  8.7 8  3.7  89    9   10 297 -303  1
4195500 2674500  1  3 10   0.7  980 230  9.1 7  3.6  87   16   46 291 -304  1
4195500 2674500  1  3 11   0.9  980 240 10.3 6  3.6  87    3   66 278 -308  1
4195500 2674500  1  3 12   1.1  980 230 10.6 6  3.6  85    7   94 271 -312  1
4195500 2674500  1  3 13   1.3  979 230 10.1 6  3.6  85   10  105 270 -315  1
4195500 2674500  1  3 14   1.7  979 240 11.3 7  3.7  85    0   62 273 -316  1
4195500 2674500  1  3 15   2.2  978 240  9.4 7  3.8  84    0   53 276 -317  1
4195500 2674500  1  3 16   2.4  978 230  9.1 7  3.8  83    0   10 275 -317  1
4195500 2674500  1  3 17   2.8  977 240  9.3 7  3.9  83    0    0 275 -316  1
4195500 2674500  1  3 18   2.7  977 240  9.9 7  4.0  83    0    0 276 -316  1
4195500 2674500  1  3 19   2.5  977 240  9.3 7  4.0  84    0    0 277 -316  1
4195500 2674500  1  3 20   2.4  976 240  9.4 6  4.0  85    0    0 273 -314  1
4195500 2674500  1  3 21   2.3  976 250  9.5 6  4.0  86    0    0 269 -313  1
4195500 2674500  1  3 22   2.7  976 240 10.1 6  4.1  86    0    0 270 -312  1
4195500 2674500  1  3 23   2.8  975 240  9.1 6  4.1  85    0    0 270 -311  1
4195500 2674500  1  3 24   3.0  975 230 12.1 7  4.1  84    0    0 276 -309  1
4195500 2674500  1  4  1   2.7  975 230 10.8 6  4.1  85    0    0 277 -308  1
4195500 2674500  1  4  2   2.4  974 240 11.6 6  4.1  86    0    0 270 -307  1
4195500 2674500  1  4  3   1.7  974 230 11.9 5  4.0  87    0    0 262 -308  1
4195500 2674500  1  4  4   1.7  974 240 11.6 4  3.9  88    0    0 248 -309  1
4195500 2674500  1  4  5   1.8  973 240 10.4 5  3.8  86    0    0 247 -310  1
4195500 2674500  1  4  6   2.1  973 230  9.5 6  3.8  84    0    0 261 -310  1
4195500 2674500  1  4  7   2.6  973 240 10.4 7  3.9  83    0    0 277 -310  1
