Koordinatensystem : Lambert konform konisch
Rechtswert        : 3796500 Meter
Hochwert          : 2739500 Meter
Hoehenlage        : 134 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3796500 2739500  1  1  1   6.8  982 209  4.5 7  5.5  86    0    0 306 -328  0
3796500 2739500  1  1  2   5.5  982 209  3.9 7  5.0  86    0    0 305 -328  0
3796500 2739500  1  1  3   4.3  983 209  3.4 7  4.6  86    0    0 306 -327  0
3796500 2739500  1  1  4   4.1  983 206  3.2 8  4.7  89    0    0 315 -327  0
3796500 2739500  1  1  5   3.9  983 205  3.0 8  4.7  91    0    0 322 -326  0
3796500 2739500  1  1  6   3.8  983 199  2.6 7  4.8  92    0    0 314 -326  0
3796500 2739500  1  1  7   3.7  984 210  2.9 7  4.8  93    0    0 304 -326  0
3796500 2739500  1  1  8   3.5  984 207  3.3 7  4.6  92    0    0 302 -326  0
3796500 2739500  1  1  9   3.6  985 186  2.4 7  4.5  90    0    0 302 -326  0
3796500 2739500  1  1 10   3.9  986 177  2.4 8  4.5  88    0   37 311 -327  0
3796500 2739500  1  1 11   4.3  986 168  3.2 6  4.5  86    5   72 303 -328  0
3796500 2739500  1  1 12   5.0  987 167  3.1 6  4.5  83   26  115 287 -330  0
3796500 2739500  1  1 13   6.2  987 168  4.0 4  4.6  79  106  120 276 -332  0
3796500 2739500  1  1 14   6.4  987 177  3.5 3  4.6  75  107  106 259 -333  0
3796500 2739500  1  1 15   5.8  987 168  4.0 2  4.4  74   97   65 244 -333  0
3796500 2739500  1  1 16   5.4  988 159  2.2 4  4.3  75   22   43 250 -332  0
3796500 2739500  1  1 17   4.7  988 118  1.9 5  4.3  77    0    0 269 -330  0
3796500 2739500  1  1 18   4.7  990 109  2.3 6  4.3  79    0    0 282 -327  0
3796500 2739500  1  1 19   4.0  991 118  2.0 6  4.2  80    0    0 288 -326  0
3796500 2739500  1  1 20   3.5  991 119  1.8 5  4.1  82    0    0 280 -325  0
