Koordinatensystem : Lambert konform konisch
Rechtswert        : 3796500 Meter
Hochwert          : 2739500 Meter
Hoehenlage        : 134 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3796500 2739500  1  1  1   4.2 1006 174  3.2 7  4.0  78    0    0 318 -332  2
3796500 2739500  1  1  2   3.7 1006 175  3.0 7  4.2  84    0    0 317 -333  2
3796500 2739500  1  1  3   3.4 1006 177  3.1 7  4.3  87    0    0 317 -334  2
3796500 2739500  1  1  4   3.5 1006 183  3.2 7  4.3  87    0    0 323 -335  2
3796500 2739500  1  1  5   3.7 1006 190  3.2 8  4.3  87    0    0 323 -336  2
3796500 2739500  1  1  6   3.8 1006 200  3.4 8  4.3  87    0    0 324 -339  2
3796500 2739500  1  1  7   3.9 1005 200  2.9 8  4.4  88    0    0 331 -341  2
3796500 2739500  1  1  8   3.9 1006 189  3.5 8  4.5  89    0    0 332 -344  2
3796500 2739500  1  1  9   4.0 1006 199  3.5 8  4.6  90    0    0 333 -345  2
3796500 2739500  1  1 10   4.2 1006 199  3.5 8  4.7  92    0   26 334 -346  2
3796500 2739500  1  1 11   4.3 1006 209  3.5 7  4.8  93   14   56 329 -347  2
3796500 2739500  1  1 12   4.8 1007 219  4.2 7  5.0  94    0   49 324 -348  2
3796500 2739500  1  1 13   5.0 1007 220  3.6 6  5.1  95    0   40 320 -348  2
3796500 2739500  1  1 14   5.3 1006 230  3.6 8  5.2  95    0   23 327 -349  2
3796500 2739500  1  1 15   5.7 1006 259  2.8 8  5.4  95    0   20 341 -349  2
3796500 2739500  1  1 16   6.2 1007 289  2.7 8  5.6  95    0   16 343 -349  2
3796500 2739500  1  1 17   6.4 1008 297  2.0 5  5.7  95    0    0 323 -348  2
3796500 2739500  1  1 18   6.2 1008 262  1.1 8  5.7  95    0    0 322 -347  2
3796500 2739500  1  1 19   6.0 1009 258  1.1 6  5.6  95    0    0 327 -346  2
3796500 2739500  1  1 20   5.9 1009 239  1.2 4  5.5  95    0    0 300 -345  2
3796500 2739500  1  1 21   5.4 1010 199  1.1 6  5.4  95    0    0 297 -344  2
3796500 2739500  1  1 22   5.1 1010 202  1.6 8  5.3  95    0    0 320 -343  2
3796500 2739500  1  1 23   4.6 1010 239  0.8 8  5.1  95    0    0 328 -342  2
