Koordinatensystem : Lambert konform konisch
Rechtswert        : 3796500 Meter
Hochwert          : 2739500 Meter
Hoehenlage        : 134 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3796500 2739500  1  1  1   3.9  993 183  7.1 7  4.6  82    0    0 270 -305  2
3796500 2739500  1  1  2   2.1  993 165  8.4 7  3.6  75    0    0 276 -306  2
3796500 2739500  1  1  3   0.8  991 153  9.3 7  2.8  69    0    0 282 -306  2
3796500 2739500  1  1  4   1.0  990 152  9.5 8  2.8  67    0    0 286 -307  2
3796500 2739500  1  1  5   1.3  989 153  9.3 8  2.7  65    0    0 290 -309  2
3796500 2739500  1  1  6   1.7  987 151  9.9 8  2.7  62    0    0 292 -310  2
3796500 2739500  1  1  7   2.3  987 160  8.7 8  2.6  59    0    0 294 -312  2
3796500 2739500  1  1  8   2.1  987 159 10.1 8  2.7  58    0    0 296 -314  2
3796500 2739500  1  1  9   2.6  986 159 10.1 8  2.8  61    0    0 298 -316  2
3796500 2739500  1  1 10   2.5  985 160  9.3 8  3.0  65    0   16 302 -317  2
3796500 2739500  1  1 11   1.6  985 159  7.8 7  3.3  74    0   32 301 -318  2
3796500 2739500  1  1 12   1.4  985 159  8.8 7  3.5  82    0   48 298 -318  2
3796500 2739500  1  1 13   2.0  984 168  6.7 8  3.6  82    0   42 306 -319  2
3796500 2739500  1  1 14   2.5  984 158  7.8 8  3.8  84    0   48 316 -319  2
3796500 2739500  1  1 15   3.1  983 158  8.6 7  4.0  84    0   51 314 -319  2
3796500 2739500  1  1 16   3.5  982 168  5.8 8  4.2  85    0   18 317 -319  2
3796500 2739500  1  1 17   3.4  983 157  5.9 8  4.3  86    0    0 328 -322  2
3796500 2739500  1  1 18   3.9  983 167  5.5 8  4.5  88    0    0 329 -324  2
3796500 2739500  1  1 19   4.0  983 158  6.9 8  4.5  87    0    0 331 -326  2
3796500 2739500  1  1 20   4.5  982 158  5.5 8  4.6  86    0    0 332 -327  2
3796500 2739500  1  1 21   4.4  983 158  6.1 8  4.6  86    0    0 332 -329  2
3796500 2739500  1  1 22   4.3  983 158  5.5 7  4.6  87    0    0 320 -332  2
3796500 2739500  1  1 23   4.7  983 169  4.8 7  4.7  86    0    0 316 -334  2
