Koordinatensystem : Lambert konform konisch
Rechtswert        : 3796500 Meter
Hochwert          : 2739500 Meter
Hoehenlage        : 134 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3796500 2739500  1  1  1   1.0 1007 139  2.9 4  3.9  94    0    0 213 -292  1
3796500 2739500  1  1  2  -0.8 1007 118  2.6 4  3.5  95    0    0 208 -292  1
3796500 2739500  1  1  3  -2.2 1006 104  2.4 3  3.1  96    0    0 206 -292  1
3796500 2739500  1  1  4  -2.4 1006 108  2.4 4  3.1  96    0    0 214 -293  1
3796500 2739500  1  1  5  -2.5 1005 109  2.4 5  3.0  95    0    0 223 -294  1
3796500 2739500  1  1  6  -2.7 1004 111  2.7 6  3.0  96    0    0 234 -295  1
3796500 2739500  1  1  7  -2.5 1003 111  2.3 5  3.0  94    0    0 235 -297  1
3796500 2739500  1  1  8  -1.1 1002 153  3.1 6  3.0  88    0    0 239 -297  1
3796500 2739500  1  1  9  -0.3 1001 158  4.3 7  2.9  80    0    0 252 -297  1
3796500 2739500  1  1 10  -0.4 1000 163  3.4 7  2.8  76    0   24 258 -299  1
3796500 2739500  1  1 11   0.2 1000 150  4.7 7  2.9  75    0   54 259 -302  1
3796500 2739500  1  1 12   0.2  999 162  4.2 7  2.9  75    0   71 261 -305  1
3796500 2739500  1  1 13   0.1  998 173  3.0 8  2.9  76    0   57 267 -308  1
3796500 2739500  1  1 14   0.4  997 165  3.5 8  2.9  75    0   43 274 -311  1
3796500 2739500  1  1 15   0.4  996 165  3.2 8  2.9  74    0   34 278 -312  1
3796500 2739500  1  1 16   0.6  995 144  3.1 8  2.9  74    0   17 281 -312  1
3796500 2739500  1  1 17   0.3  995 123  2.7 8  2.9  74    0    0 283 -311  1
3796500 2739500  1  1 18   0.6  995 116  2.9 7  2.9  73    0    0 278 -309  1
3796500 2739500  1  1 19   0.4  994 104  2.9 7  2.9  74    0    0 272 -309  1
3796500 2739500  1  1 20   0.2  994 111  3.1 8  2.9  74    0    0 279 -309  1
3796500 2739500  1  1 21   0.2  994 109  3.1 8  2.9  74    0    0 288 -309  1
3796500 2739500  1  1 22   0.4  994  99  3.2 7  2.9  73    0    0 281 -309  1
3796500 2739500  1  1 23   0.1  994  99  3.1 8  2.9  72    0    0 282 -309  1
