Koordinatensystem : Lambert konform konisch
Rechtswert        : 3962500 Meter
Hochwert          : 2724500 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3962500 2724500  1  1  1  -2.5  987 245  2.4 3  3.0  92    0    0 207 -283  1
3962500 2724500  1  1  2  -3.2  987 205  2.7 3  2.9  93    0    0 204 -283  1
3962500 2724500  1  1  3  -3.7  985 172  3.2 3  2.8  93    0    0 215 -285  1
3962500 2724500  1  1  4  -3.5  985 171  3.4 5  2.8  92    0    0 236 -286  1
3962500 2724500  1  1  5  -3.2  983 170  3.5 6  2.8  90    0    0 256 -286  1
3962500 2724500  1  1  6  -3.0  982 180  4.1 7  2.7  89    0    0 267 -286  1
3962500 2724500  1  1  7  -2.2  981 170  3.3 7  2.8  86    0    0 269 -287  1
3962500 2724500  1  1  8  -1.9  981 170  3.5 8  2.8  84    0    0 276 -288  1
3962500 2724500  1  1  9  -1.0  980 170  4.4 8  2.8  80    0    1 283 -291  1
3962500 2724500  1  1 10  -0.4  979 170  3.8 7  2.8  74    0   16 281 -293  1
3962500 2724500  1  1 11  -0.3  978 170  4.6 8  2.8  74    0   46 283 -296  1
3962500 2724500  1  1 12   0.4  978 160  4.4 8  3.0  76    0   58 292 -299  1
3962500 2724500  1  1 13   0.9  978 180  5.1 7  2.9  71    4   91 291 -303  1
3962500 2724500  1  1 14   1.3  977 190  4.3 7  2.8  66    0   66 289 -307  1
3962500 2724500  1  1 15   1.7  976 190  4.8 6  2.8  63    0   52 283 -309  1
3962500 2724500  1  1 16   1.4  976 170  4.9 8  2.9  66    1   28 291 -309  1
3962500 2724500  1  1 17   1.7  976 180  4.8 8  3.2  73    0    0 310 -311  1
3962500 2724500  1  1 18   1.5  975 180  4.8 8  3.4  77    0    0 313 -313  1
3962500 2724500  1  1 19   1.8  975 190  4.1 8  3.7  82    0    0 315 -314  1
3962500 2724500  1  1 20   1.8  975 190  4.1 7  3.9  87    0    0 299 -315  1
3962500 2724500  1  1 21   1.8  975 190  3.4 7  4.0  88    0    0 281 -316  1
3962500 2724500  1  1 22   1.4  975 190  4.1 8  3.9  88    0    0 305 -317  1
3962500 2724500  1  1 23   1.9  974 190  6.4 8  3.8  86    0    0 318 -317  1
3962500 2724500  1  1 24   2.1  974 190  4.9 7  3.9  85    0    0 311 -318  1
3962500 2724500  1  2  1   2.4  974 180  5.3 8  4.0  87    0    0 313 -321  1
3962500 2724500  1  2  2   2.4  974 180  3.8 8  4.1  88    0    0 320 -324  1
3962500 2724500  1  2  3   2.1  974 190  2.5 8  4.1  89    0    0 320 -324  1
3962500 2724500  1  2  4   2.0  974 180  2.4 8  4.2  92    0    0 320 -324  1
3962500 2724500  1  2  5   1.8  973 180  2.4 8  4.3  96    0    0 319 -325  1
3962500 2724500  1  2  6   1.8  973 180  2.3 8  4.5  99    0    0 319 -326  1
3962500 2724500  1  2  7   2.4  973 180  3.6 8  4.6 100    0    0 319 -328  1
3962500 2724500  1  2  8   2.9  972 190  3.6 8  4.7  98    0    0 321 -331  1
3962500 2724500  1  2  9   3.4  972 180  3.5 8  4.8  96    0    0 322 -333  1
3962500 2724500  1  2 10   3.5  972 190  2.9 8  4.8  95    0   14 322 -334  1
3962500 2724500  1  2 11   3.3  973 200  3.0 7  4.8  96    6   59 314 -336  1
3962500 2724500  1  2 12   3.6  973 190  3.8 8  4.9  97    0   70 313 -339  1
