Koordinatensystem : Lambert konform konisch
Rechtswert        : 3962500 Meter
Hochwert          : 2724500 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3962500 2724500  1  1  1   4.6  972 184  4.1 6  4.9  90    0    0 280 -317  0
3962500 2724500  1  1  2   3.5  972 184  3.6 6  4.7  92    0    0 277 -317  0
3962500 2724500  1  1  3   2.5  972 186  3.1 6  4.5  94    0    0 280 -317  0
3962500 2724500  1  1  4   2.4  972 190  3.0 6  4.4  94    0    0 273 -317  0
3962500 2724500  1  1  5   2.3  973 194  3.0 6  4.4  94    0    0 274 -317  0
3962500 2724500  1  1  6   2.2  973 200  3.0 7  4.3  94    0    0 289 -317  0
3962500 2724500  1  1  7   2.1  973 200  3.6 8  4.4  95    0    0 306 -317  0
3962500 2724500  1  1  8   2.4  974 200  3.9 8  4.4  96    0    0 315 -317  0
3962500 2724500  1  1  9   2.3  974 190  3.2 8  4.4  95    0    0 315 -317  0
3962500 2724500  1  1 10   2.6  975 180  3.4 8  4.4  94    0   17 315 -317  0
3962500 2724500  1  1 11   2.9  976 190  3.6 8  4.4  92    0   34 315 -317  0
3962500 2724500  1  1 12   3.3  976 180  4.2 7  4.5  90    0   67 306 -317  0
3962500 2724500  1  1 13   3.7  977 180  3.4 7  4.5  89    5   90 300 -317  0
3962500 2724500  1  1 14   3.6  977 170  2.6 6  4.5  88   12   89 294 -317  0
3962500 2724500  1  1 15   3.8  977 170  2.8 4  4.5  88   30   56 272 -317  0
3962500 2724500  1  1 16   3.7  977 170  2.8 6  4.5  88   12   28 272 -317  0
3962500 2724500  1  1 17   3.2  978 180  1.9 6  4.5  89    0    0 285 -318  0
3962500 2724500  1  1 18   2.9  979 180  1.1 6  4.4  90    0    0 283 -318  0
3962500 2724500  1  1 19   2.7  980 210  0.7 6  4.4  92    0    0 282 -318  0
3962500 2724500  1  1 20   2.1  981 250  0.9 5  4.4  93    0    0 275 -318  0
3962500 2724500  1  1 21   1.9  982 350  1.0 4  4.3  95    0    0 259 -317  0
3962500 2724500  1  1 22   0.5  982 210  0.8 4  4.2  98    0    0 249 -317  0
3962500 2724500  1  1 23   0.2  982 200  1.6 4  4.0  99    0    0 246 -317  0
3962500 2724500  1  1 24  -0.8  983  10  0.8 5  3.8  99    0    0 250 -317  0
3962500 2724500  1  2  1  -0.3  984 330  2.5 6  3.7  99    0    0 262 -317  0
3962500 2724500  1  2  2  -1.0  984 340  1.2 2  3.7  99    0    0 234 -316  0
3962500 2724500  1  2  3  -1.6  985 280  0.6 5  3.5 100    0    0 217 -315  0
3962500 2724500  1  2  4  -2.1  986 350  1.1 4  3.4 100    0    0 228 -315  0
3962500 2724500  1  2  5  -2.4  987 160  1.0 8  3.3  99    0    0 255 -315  0
3962500 2724500  1  2  6  -2.3  987   0  0.8 7  3.3 100    0    0 285 -315  0
3962500 2724500  1  2  7  -2.1  988  20  1.1 7  3.3 100    0    0 277 -316  0
3962500 2724500  1  2  8  -2.4  989   0  1.1 7  3.3 100    0    0 275 -316  0
3962500 2724500  1  2  9  -2.5  989 330  0.6 8  3.2 100    0    0 284 -316  0
3962500 2724500  1  2 10  -2.2  990 360  0.8 7  3.3 100   18   41 285 -317  0
3962500 2724500  1  2 11  -1.9  991  10  0.9 7  3.3 100   23   70 278 -317  0
