Koordinatensystem : Lambert konform konisch
Rechtswert        : 3962500 Meter
Hochwert          : 2724500 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3962500 2724500  1  1  1  -1.8  967 340  2.9 7  3.3  94    0    0 269 -299  0
3962500 2724500  1  1  2  -2.0  967 350  3.2 7  3.3  94    0    0 268 -298  0
3962500 2724500  1  1  3  -2.2  967 340  3.6 8  3.2  95    0    0 276 -297  0
3962500 2724500  1  1  4  -2.3  967 350  3.4 8  3.2  95    0    0 285 -296  0
3962500 2724500  1  1  5  -2.4  967 350  3.5 8  3.2  96    0    0 286 -295  0
3962500 2724500  1  1  6  -2.6  967   0  3.1 7  3.2  96    0    0 278 -294  0
3962500 2724500  1  1  7  -2.8  967   0  3.3 8  3.1  96    0    0 277 -294  0
3962500 2724500  1  1  8  -2.8  967 350  3.7 8  3.1  95    0    0 285 -294  0
3962500 2724500  1  1  9  -2.8  967 350  3.4 8  3.0  93    0    4 285 -293  0
3962500 2724500  1  1 10  -2.7  967 350  3.6 8  2.9  91    1   34 285 -293  0
3962500 2724500  1  1 11  -2.3  968   0  2.9 7  3.0  90    0   52 277 -294  0
3962500 2724500  1  1 12  -2.3  969 350  3.3 6  3.0  89    0   77 263 -296  0
3962500 2724500  1  1 13  -2.3  969 350  3.3 7  3.0  88    0   63 263 -298  0
3962500 2724500  1  1 14  -2.3  969   0  3.5 8  3.0  88    0   55 280 -298  0
3962500 2724500  1  1 15  -2.6  969 350  3.5 6  3.0  90    3   68 272 -298  0
3962500 2724500  1  1 16  -2.8  969 340  3.3 8  3.0  94    1   31 271 -297  0
3962500 2724500  1  1 17  -2.8  970 340  3.0 8  3.0  94    0    0 287 -297  0
3962500 2724500  1  1 18  -2.8  971 340  3.2 8  3.0  94    0    0 287 -297  0
3962500 2724500  1  1 19  -2.9  972 350  3.0 7  3.0  94    0    0 280 -297  0
3962500 2724500  1  1 20  -3.0  972 330  3.6 7  2.9  93    0    0 270 -298  0
