Koordinatensystem : Lambert konform konisch
Rechtswert        : 3962500 Meter
Hochwert          : 2724500 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3962500 2724500  1  1  1   2.9 1000 162  2.6 7  4.4  92    0    0 287 -300  1
3962500 2724500  1  1  2   1.1 1000 164  1.6 7  4.1  96    0    0 289 -299  1
3962500 2724500  1  1  3  -0.2 1000 157  0.9 7  3.7  98    0    0 278 -298  1
3962500 2724500  1  1  4  -0.3 1000 168  0.9 6  3.7  99    0    0 268 -296  1
3962500 2724500  1  1  5  -0.4  999 163  0.9 7  3.7  99    0    0 273 -294  1
3962500 2724500  1  1  6  -0.5  999 180  0.5 6  3.7 100    0    0 271 -293  1
3962500 2724500  1  1  7  -0.7  999 160  1.1 8  3.7 100    0    0 275 -295  1
3962500 2724500  1  1  8  -0.8  999 190  1.4 8  3.6 100    0    0 283 -301  1
3962500 2724500  1  1  9  -0.9  999 200  1.3 8  3.6 100    0    2 282 -304  1
3962500 2724500  1  1 10  -0.7  999 170  1.1 8  3.6 100    2   30 280 -306  1
3962500 2724500  1  1 11  -0.5  999 170  0.8 6  3.7 100    0   51 271 -309  1
3962500 2724500  1  1 12  -0.2  999 160  0.6 7  3.7  98    0   59 266 -311  1
3962500 2724500  1  1 13   0.3  998 350  0.7 7  3.7  96    2   72 272 -313  1
3962500 2724500  1  1 14   0.6  998  50  0.9 7  3.8  95    2   63 272 -314  1
3962500 2724500  1  1 15   0.9  997 340  1.4 7  3.7  91    0   41 271 -314  1
3962500 2724500  1  1 16   0.7  997 350  0.9 6  3.6  89    0   13 266 -313  1
3962500 2724500  1  1 17   0.5  997 330  1.3 7  3.6  89    0    0 264 -312  1
3962500 2724500  1  1 18   0.7  997  40  1.4 8  3.6  89    0    0 267 -311  1
3962500 2724500  1  1 19   0.3  998  70  1.1 8  3.5  87    0    0 270 -311  1
3962500 2724500  1  1 20   0.0  997  60  1.5 8  3.3  85    0    0 268 -312  1
3962500 2724500  1  1 21  -0.4  998  30  1.1 7  3.2  84    0    0 265 -312  1
3962500 2724500  1  1 22  -0.6  998 340  1.1 7  3.1  84    0    0 262 -312  1
3962500 2724500  1  1 23  -0.7  998 350  1.4 7  3.1  84    0    0 263 -312  1
3962500 2724500  1  1 24  -0.6  998 360  1.7 8  3.0  83    0    0 267 -312  1
3962500 2724500  1  2  1  -0.8  998 340  1.5 8  3.0  82    0    0 272 -312  1
3962500 2724500  1  2  2  -1.0  997 320  1.3 8  3.0  82    0    0 273 -312  1
3962500 2724500  1  2  3  -0.9  997 340  1.5 8  3.0  83    0    0 273 -312  1
3962500 2724500  1  2  4  -1.5  997 350  1.7 6  3.0  85    0    0 265 -311  1
3962500 2724500  1  2  5  -2.2  997 340  1.8 5  3.0  88    0    0 251 -311  1
3962500 2724500  1  2  6  -2.6  997 320  1.9 5  2.9  91    0    0 246 -311  1
3962500 2724500  1  2  7  -2.5  997   0  1.4 7  2.9  92    0    0 253 -310  1
3962500 2724500  1  2  8  -2.6  997 340  1.6 6  2.9  92    0    0 257 -309  1
3962500 2724500  1  2  9  -2.6  996  10  1.7 6  2.9  92    0    4 253 -306  1
3962500 2724500  1  2 10  -1.4  996   0  1.6 5  2.9  88   13   43 249 -303  1
3962500 2724500  1  2 11  -0.2  996  30  1.7 4  2.9  80   63   81 243 -304  1
3962500 2724500  1  2 12   0.1  996  80  2.7 4  2.9  75   35  110 240 -307  1
3962500 2724500  1  2 13   0.7  995  90  3.5 4  2.9  72   57  119 241 -311  1
3962500 2724500  1  2 14  -0.1  995  60  2.6 5  2.9  74   45  106 245 -312  1
3962500 2724500  1  2 15  -0.2  994  50  2.9 2  2.9  76   33   77 234 -312  1
3962500 2724500  1  2 16  -0.3  993  70  3.3 4  2.8  74    0   22 228 -311  1
3962500 2724500  1  2 17  -0.7  993 100  3.5 5  2.7  72    0    0 239 -310  1
3962500 2724500  1  2 18  -1.0  993  70  3.1 6  2.6  73    0    0 245 -309  1
3962500 2724500  1  2 19  -1.3  992  80  3.1 7  2.7  75    0    0 252 -309  1
3962500 2724500  1  2 20  -1.4  992  80  3.1 7  2.6  75    0    0 255 -305  1
3962500 2724500  1  2 21  -1.1  991  80  4.1 6  2.6  74    0    0 251 -303  1
3962500 2724500  1  2 22  -0.9  991 100  2.7 6  2.6  72    0    0 249 -303  1
3962500 2724500  1  2 23  -0.8  990 100  4.6 6  2.5  70    0    0 250 -304  1
3962500 2724500  1  2 24  -0.9  989 100  4.1 7  2.5  69    0    0 256 -303  1
3962500 2724500  1  3  1  -0.8  989 100  4.3 5  2.5  70    0    0 254 -301  1
3962500 2724500  1  3  2  -1.0  988 110  4.8 6  2.6  72    0    0 251 -298  1
3962500 2724500  1  3  3  -1.1  987  90  3.8 6  2.6  73    0    0 257 -297  1
3962500 2724500  1  3  4  -1.1  987 110  3.9 6  2.6  73    0    0 258 -296  1
3962500 2724500  1  3  5  -1.2  986 110  3.1 7  2.6  72    0    0 262 -296  1
3962500 2724500  1  3  6  -1.2  986 100  3.2 7  2.6  73    0    0 267 -295  1
3962500 2724500  1  3  7  -1.3  985 100  3.2 8  2.6  73    0    0 272 -293  1
3962500 2724500  1  3  8  -1.5  985 100  3.6 8  2.6  74    0    0 276 -292  1
3962500 2724500  1  3  9  -1.7  984  90  2.8 8  2.6  74    0    7 274 -290  1
3962500 2724500  1  3 10  -1.7  984  50  3.0 7  2.6  74   17   48 269 -291  1
3962500 2724500  1  3 11  -1.3  984  70  2.5 6  2.5  73    3   66 262 -294  1
3962500 2724500  1  3 12  -0.9  984 130  3.4 8  2.5  70    0   65 268 -297  1
3962500 2724500  1  3 13  -0.7  983 120  3.3 8  2.5  69    3   87 278 -299  1
3962500 2724500  1  3 14  -0.5  983 110  2.6 6  2.6  68   30  112 269 -301  1
3962500 2724500  1  3 15  -0.6  983  70  2.8 7  2.6  69   14   77 267 -303  1
3962500 2724500  1  3 16  -0.8  983  70  2.2 7  2.6  70    5   32 271 -302  1
3962500 2724500  1  3 17  -1.1  983  60  2.0 6  2.6  72    0    0 267 -300  1
3962500 2724500  1  3 18  -1.1  983  60  1.9 7  2.7  74    0    0 266 -298  1
3962500 2724500  1  3 19  -1.4  984  30  2.1 8  2.6  74    0    0 273 -298  1
3962500 2724500  1  3 20  -1.1  984  40  2.6 7  2.6  74    0    0 272 -298  1
3962500 2724500  1  3 21  -1.0  984  30  1.4 7  2.6  73    0    0 269 -299  1
3962500 2724500  1  3 22  -1.5  984  87  1.2 6  2.6  73    0    0 262 -300  1
3962500 2724500  1  3 23  -2.2  984  88  1.4 6  2.6  75    0    0 255 -301  1
3962500 2724500  1  3 24  -2.2  984  63  1.0 8  2.6  78    0    0 263 -301  1
3962500 2724500  1  4  1  -2.1  985  73  1.4 8  2.6  78    0    0 272 -301  1
3962500 2724500  1  4  2  -2.5  985  70  1.1 7  2.6  79    0    0 265 -301  1
3962500 2724500  1  4  3  -2.4  985  67  0.9 6  2.6  80    0    0 255 -300  1
3962500 2724500  1  4  4  -2.6  985   0  0.7 5  2.6  80    0    0 247 -299  1
3962500 2724500  1  4  5  -3.0  985  43  0.8 3  2.6  81    0    0 234 -298  1
3962500 2724500  1  4  6  -3.0  985  49  1.3 5  2.6  82    0    0 234 -298  1
3962500 2724500  1  4  7  -2.4  985 120  1.7 5  2.6  81    0    0 242 -299  1
3962500 2724500  1  4  8  -2.8  986 140  0.9 6  2.6  80    0    0 245 -299  1
3962500 2724500  1  4  9  -2.4  986 150  1.1 7  2.6  80    0    6 252 -298  1
3962500 2724500  1  4 10  -1.6  986  40  1.0 6  2.6  77    0   33 253 -297  1
3962500 2724500  1  4 11  -0.9  987  15  1.0 6  2.6  74   31   93 251 -299  1
