Koordinatensystem : Lambert konform konisch
Rechtswert        : 3962500 Meter
Hochwert          : 2724500 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3962500 2724500  1  1  1   5.1  984 171  3.3 8  5.3  95    0    0 328 -320  2
3962500 2724500  1  1  2   5.2  984 170  3.2 8  5.4  97    0    0 330 -320  2
3962500 2724500  1  1  3   5.3  984 164  3.0 8  5.5  98    0    0 325 -321  2
3962500 2724500  1  1  4   5.8  984 164  2.9 8  5.7  98    0    0 320 -322  2
3962500 2724500  1  1  5   6.3  984 165  2.8 8  5.9  99    0    0 331 -324  2
3962500 2724500  1  1  6   6.8  983 160  2.5 8  6.1  99    0    0 341 -327  2
3962500 2724500  1  1  7   7.5  983 180  2.8 8  6.5 100    0    0 344 -330  2
3962500 2724500  1  1  8   8.0  983 180  3.7 8  6.7  98    0    0 346 -332  2
3962500 2724500  1  1  9   8.3  983 180  3.7 8  6.7  97    0    0 347 -335  2
3962500 2724500  1  1 10   8.8  984 180  3.9 8  6.9  96    0   11 350 -338  2
3962500 2724500  1  1 11   9.1  983 170  3.4 8  7.1  96    0   32 352 -342  2
3962500 2724500  1  1 12  10.0  984 206  3.1 7  7.3  95    0   54 345 -346  2
3962500 2724500  1  1 13  10.9  983 206  3.0 6  7.5  93    6  104 327 -349  2
3962500 2724500  1  1 14  11.7  984 201  2.9 6  7.7  89    1   80 321 -352  2
3962500 2724500  1  1 15  11.3  984 170  3.2 7  7.8  89    1   55 333 -354  2
3962500 2724500  1  1 16  10.8  984 160  3.1 7  7.8  92    0   19 344 -356  2
3962500 2724500  1  1 17  10.7  983 160  3.2 8  7.8  94    0    0 351 -358  2
3962500 2724500  1  1 18  10.6  983 170  3.6 8  7.7  93    0    0 359 -359  2
3962500 2724500  1  1 19  10.8  983 160  3.8 8  7.7  93    0    0 358 -360  2
3962500 2724500  1  1 20  10.9  983 170  4.3 8  7.7  92    0    0 357 -360  2
3962500 2724500  1  1 21  11.0  982 180  5.0 8  7.7  92    0    0 357 -361  2
3962500 2724500  1  1 22  11.1  982 197  4.6 8  7.8  92    0    0 357 -361  2
3962500 2724500  1  1 23  11.5  980 170  5.1 8  7.8  90    0    0 357 -362  2
3962500 2724500  1  1 24  11.6  980 160  5.4 8  7.7  88    0    0 356 -362  2
3962500 2724500  1  2  1  11.6  979 170  6.0 7  7.7  87    0    0 348 -362  2
3962500 2724500  1  2  2  11.0  979 170  5.9 7  7.8  90    0    0 340 -361  2
3962500 2724500  1  2  3  11.4  978 170  5.5 8  7.7  90    0    0 347 -361  2
3962500 2724500  1  2  4  11.2  978 170  4.8 8  7.6  88    0    0 354 -360  2
3962500 2724500  1  2  5  11.1  978 170  4.2 7  7.6  89    0    0 346 -359  2
3962500 2724500  1  2  6  10.2  977 150  1.7 8  7.6  91    0    0 342 -359  2
3962500 2724500  1  2  7   9.5  978 150  1.7 8  7.4  94    0    0 347 -358  2
3962500 2724500  1  2  8   8.6  977 180  1.6 7  7.1  96    0    0 331 -357  2
3962500 2724500  1  2  9   8.3  977 170  2.1 7  6.9  96    0    1 314 -356  2
3962500 2724500  1  2 10   8.1  977 170  2.0 8  6.8  97    0   16 324 -355  2
3962500 2724500  1  2 11   8.0  978 190  1.8 6  6.7  97    0   37 310 -353  2
3962500 2724500  1  2 12   7.0  979 270  2.8 7  6.2  93    0   45 299 -351  2
3962500 2724500  1  2 13   7.0  979 240  2.4 7  5.7  88    0   54 309 -350  2
3962500 2724500  1  2 14   6.9  979 250  1.9 8  5.6  86    0   49 318 -351  2
3962500 2724500  1  2 15   6.9  980 269  2.0 8  5.5  86   13   45 324 -349  2
3962500 2724500  1  2 16   6.3  981 241  1.9 8  5.4  86    4   21 321 -346  2
3962500 2724500  1  2 17   5.1  982 217  1.8 7  5.2  89    0    0 309 -341  2
3962500 2724500  1  2 18   4.6  984 180  2.0 8  5.1  92    0    0 304 -338  2
3962500 2724500  1  2 19   4.4  985 180  2.7 7  5.0  93    0    0 300 -336  2
3962500 2724500  1  2 20   3.5  985 234  1.9 7  4.9  94    0    0 292 -334  2
3962500 2724500  1  2 21   3.2  986 190  1.2 6  4.8  96    0    0 285 -330  2
3962500 2724500  1  2 22   2.9  987 244  1.5 5  4.7  96    0    0 276 -327  2
3962500 2724500  1  2 23   1.7  987 170  1.6 3  4.4  96    0    0 261 -325  2
3962500 2724500  1  2 24   1.1  988 200  1.9 2  4.2  97    0    0 245 -322  2
3962500 2724500  1  3  1   0.5  989 180  1.5 2  4.1  99    0    0 237 -319  2
3962500 2724500  1  3  2   0.8  989 180  2.3 2  4.0  99    0    0 235 -319  2
3962500 2724500  1  3  3   1.3  990 190  2.6 2  4.1  98    0    0 233 -319  2
3962500 2724500  1  3  4   2.5  990 180  3.4 3  4.3  95    0    0 239 -320  2
3962500 2724500  1  3  5   2.8  990 170  4.3 5  4.3  92    0    0 255 -322  2
3962500 2724500  1  3  6   2.9  990 170  4.4 7  4.3  90    0    0 277 -323  2
