Koordinatensystem : Lambert konform konisch
Rechtswert        : 3962500 Meter
Hochwert          : 2724500 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3962500 2724500  1  1  1  -1.3 1004 174  3.4 7  3.4  92    0    0 214 -238  1
3962500 2724500  1  1  2  -3.4 1004 174  3.3 6  2.8  93    0    0 220 -233  1
3962500 2724500  1  1  3  -4.8 1004 170  3.3 7  2.5  94    0    0 227 -226  1
3962500 2724500  1  1  4  -4.3 1004 168  3.2 7  2.6  95    0    0 229 -221  1
3962500 2724500  1  1  5  -3.9 1004 167  3.2 7  2.7  96    0    0 232 -217  1
3962500 2724500  1  1  6  -3.3 1004 160  3.1 7  2.9  98    0    0 232 -215  1
3962500 2724500  1  1  7  -3.3 1005 170  2.5 6  3.0 100    0    0 227 -217  1
3962500 2724500  1  1  8  -2.5 1005 170  2.4 7  3.1 100    0    0 228 -231  1
3962500 2724500  1  1  9  -1.9 1006 170  1.6 7  3.2  99    0    2 233 -246  1
3962500 2724500  1  1 10  -1.4 1006 150  2.6 7  3.3  98   29   40 235 -252  1
3962500 2724500  1  1 11  -1.5 1007 180  3.1 8  3.3  97    2   61 238 -255  1
3962500 2724500  1  1 12  -0.8 1007 180  2.8 7  3.4  96    0   64 242 -260  1
3962500 2724500  1  1 13  -0.1 1008 200  2.7 8  3.4  93    0   55 247 -264  1
3962500 2724500  1  1 14  -0.1 1008 170  3.4 8  3.5  91    0   44 254 -266  1
3962500 2724500  1  1 15   0.3 1007 247  3.1 7  3.5  91    0   41 251 -267  1
3962500 2724500  1  1 16   0.4 1007 180  3.2 7  3.6  91    0   19 246 -267  1
3962500 2724500  1  1 17  -1.3 1007 190  4.1 5  3.4  92    0    0 236 -266  1
3962500 2724500  1  1 18  -2.2 1006 190  3.3 4  3.3  97    0    0 224 -265  1
3962500 2724500  1  1 19  -1.9 1006 200  3.7 5  3.2  97    0    0 223 -264  1
3962500 2724500  1  1 20  -1.7 1006 200  3.9 6  3.0  90    0    0 228 -262  1
3962500 2724500  1  1 21  -2.2 1006 200  3.1 8  2.8  85    0    0 234 -261  1
3962500 2724500  1  1 22  -2.7 1006 200  3.1 6  2.6  83    0    0 234 -260  1
3962500 2724500  1  1 23  -3.2 1005 190  3.3 6  2.6  83    0    0 229 -259  1
3962500 2724500  1  1 24  -3.9 1005 200  3.1 7  2.5  87    0    0 230 -258  1
3962500 2724500  1  2  1  -4.7 1005 200  3.2 7  2.5  91    0    0 230 -257  1
3962500 2724500  1  2  2  -4.6 1004 190  3.7 6  2.5  93    0    0 229 -257  1
3962500 2724500  1  2  3  -5.4 1004 200  2.8 5  2.5  94    0    0 225 -258  1
3962500 2724500  1  2  4  -4.2 1005 190  3.6 5  2.5  93    0    0 225 -258  1
3962500 2724500  1  2  5  -3.4 1004 190  4.2 7  2.6  91    0    0 235 -257  1
3962500 2724500  1  2  6  -1.5 1004 230  3.8 8  2.9  90    0    0 251 -257  1
3962500 2724500  1  2  7   0.7 1004 270  4.4 8  3.2  85    0    0 267 -257  1
3962500 2724500  1  2  8   1.2 1004 280  6.1 7  3.3  81    0    0 273 -257  1
3962500 2724500  1  2  9   1.0 1004 280  5.0 7  3.4  83    0    1 272 -257  1
3962500 2724500  1  2 10   0.9 1004 218  2.3 7  3.6  87    0   26 275 -258  1
3962500 2724500  1  2 11   0.9 1005 130  2.1 8  3.6  89    0   31 281 -260  1
3962500 2724500  1  2 12   0.2 1005 140  2.1 8  3.7  92    0   36 287 -262  1
3962500 2724500  1  2 13   0.2 1005 140  2.3 8  3.8  98    0   32 286 -264  1
3962500 2724500  1  2 14   0.5 1005  20  1.7 8  3.9 100    0   42 287 -265  1
3962500 2724500  1  2 15  -0.2 1005 100  1.6 8  3.9 100    0   26 287 -265  1
3962500 2724500  1  2 16   0.2 1005 140  1.3 7  3.8 100    0    9 281 -265  1
