Koordinatensystem : Lambert konform konisch
Rechtswert        : 3898500 Meter
Hochwert          : 2534500 Meter
Hoehenlage        : 99 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3898500 2534500  1  1  1   6.3  991 175  4.4 7  5.4  90    0    0 287 -323  0
3898500 2534500  1  1  2   5.0  991 170  3.7 7  5.2  93    0    0 303 -323  0
3898500 2534500  1  1  3   3.9  991 167  3.0 7  4.9  95    0    0 315 -323  0
3898500 2534500  1  1  4   3.6  991 167  3.0 8  4.8  95    0    0 315 -322  0
3898500 2534500  1  1  5   3.3  991 168  3.2 8  4.7  95    0    0 322 -320  0
3898500 2534500  1  1  6   2.4  992 171  3.8 7  4.6  95    0    0 311 -319  0
3898500 2534500  1  1  7   2.5  992 172  3.9 7  4.5  98    0    0 300 -319  0
3898500 2534500  1  1  8   2.6  993 170  4.0 8  4.6  98    0    0 309 -320  0
3898500 2534500  1  1  9   2.8  993 163  3.3 7  4.5  96    0    0 310 -321  0
3898500 2534500  1  1 10   3.5  994 168  3.5 6  4.6  95    3   53 294 -322  0
3898500 2534500  1  1 11   4.3  994 145  3.5 6  4.8  93    2   79 287 -323  0
3898500 2534500  1  1 12   4.7  994 159  3.8 7  4.9  92    0   81 297 -326  0
3898500 2534500  1  1 13   5.7  994 179  3.6 6  5.0  89    3  113 302 -329  0
3898500 2534500  1  1 14   6.2  994 169  3.4 6  5.0  85   36  136 299 -332  0
3898500 2534500  1  1 15   6.4  993 149  3.5 3  5.0  82   94   96 277 -331  0
3898500 2534500  1  1 16   5.4  993 128  3.2 4  4.9  83   27   53 261 -329  0
3898500 2534500  1  1 17   5.6  994 133  4.1 6  4.8  83    0    0 281 -326  0
3898500 2534500  1  1 18   4.9  995  91  3.7 6  4.7  84    0    0 295 -324  0
3898500 2534500  1  1 19   4.4  995 135  2.5 8  4.7  88    0    0 307 -323  0
3898500 2534500  1  1 20   4.4  996 147  2.2 8  4.7  88    0    0 323 -322  0
