Koordinatensystem : Lambert konform konisch
Rechtswert        : 4247500 Meter
Hochwert          : 2438500 Meter
Hoehenlage        : 346 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4247500 2438500  1  1  1   1.4  956 245  2.5 6  4.0  90    0    0 275 -318  2
4247500 2438500  1  1  2   2.3  956 239  3.0 7  4.2  89    0    0 275 -318  2
4247500 2438500  1  1  3   2.9  956 244  3.3 8  4.4  89    0    0 281 -318  2
4247500 2438500  1  1  4   2.8  956 242  2.9 8  4.5  90    0    0 284 -317  2
4247500 2438500  1  1  5   2.6  956 236  2.4 8  4.4  90    0    0 282 -317  2
4247500 2438500  1  1  6   2.4  956 230  2.1 8  4.4  91    0    0 283 -317  2
4247500 2438500  1  1  7   2.3  956 220  1.3 8  4.3  90    0    0 285 -316  2
4247500 2438500  1  1  8   1.8  956 200  0.8 7  4.2  91    0    0 281 -313  2
4247500 2438500  1  1  9   1.6  956 220  1.6 6  4.2  93   29    7 270 -311  2
4247500 2438500  1  1 10   2.9  956 240  2.0 7  4.3  90   90   18 270 -311  2
4247500 2438500  1  1 11   2.4  956 200  1.5 7  4.3  88   26   79 274 -314  2
4247500 2438500  1  1 12   2.6  957 270  3.0 6  4.3  89   21  102 269 -315  2
4247500 2438500  1  1 13   2.7  957 270  2.5 6  4.5  92    0   62 264 -315  2
4247500 2438500  1  1 14   2.3  957 320  3.4 7  4.4  91    0   82 266 -316  2
4247500 2438500  1  1 15   2.7  958 300  3.6 5  3.8  78   13   72 260 -315  2
4247500 2438500  1  1 16   3.0  959 300  3.7 4  3.4  70   13   37 247 -313  2
4247500 2438500  1  1 17   2.0  960 290  3.3 5  3.3  68    0    2 245 -311  2
4247500 2438500  1  1 18   1.7  961 270  1.9 5  3.1  69    0    0 246 -308  2
4247500 2438500  1  1 19   1.3  961 260  2.4 5  3.5  78    0    0 245 -305  2
4247500 2438500  1  1 20   0.3  961 290  3.2 6  3.8  89    0    0 247 -304  2
4247500 2438500  1  1 21  -0.4  962 290  1.7 8  3.7  94    0    0 259 -303  2
4247500 2438500  1  1 22  -0.8  962 310  4.0 8  3.7  97    0    0 267 -303  2
4247500 2438500  1  1 23  -0.8  963 290  3.9 8  3.6  96    0    0 268 -303  2
4247500 2438500  1  1 24  -0.9  963 280  3.7 7  3.3  89    0    0 261 -304  2
4247500 2438500  1  2  1  -1.1  963 270  3.4 7  3.1  82    0    0 254 -305  2
4247500 2438500  1  2  2  -1.2  963 270  4.8 7  2.9  80    0    0 253 -306  2
4247500 2438500  1  2  3  -1.1  963 270  4.9 7  2.9  78    0    0 253 -304  2
4247500 2438500  1  2  4  -1.3  963 250  4.2 6  2.7  73    0    0 247 -304  2
4247500 2438500  1  2  5  -1.1  963 260  5.5 6  2.5  68    0    0 243 -302  2
4247500 2438500  1  2  6  -0.9  963 250  5.1 7  2.5  68    0    0 251 -301  2
4247500 2438500  1  2  7  -1.1  963 260  5.2 8  2.6  71    0    0 261 -302  2
4247500 2438500  1  2  8  -1.8  962 260  4.0 8  2.8  79    0    0 266 -304  2
4247500 2438500  1  2  9  -1.5  963 270  4.6 8  3.1  86    3   19 269 -304  2
4247500 2438500  1  2 10  -0.7  963 270  4.5 8  2.9  80    3   63 272 -305  2
4247500 2438500  1  2 11  -0.5  965 240  6.1 8  2.8  75    0   58 274 -306  2
4247500 2438500  1  2 12  -0.2  966 240  4.8 8  2.9  75    0   86 276 -308  2
4247500 2438500  1  2 13   0.1  966 250  7.0 8  2.8  70    0   67 276 -311  2
4247500 2438500  1  2 14   0.0  966 240  5.7 7  2.7  67    0   64 270 -313  2
4247500 2438500  1  2 15   0.3  967 250  5.0 7  2.7  67    0   57 266 -313  2
4247500 2438500  1  2 16  -0.6  966 254  5.8 8  2.8  71    0   24 272 -313  2
4247500 2438500  1  2 17  -1.3  966 250  4.8 8  3.1  83    0    2 277 -313  2
4247500 2438500  1  2 18  -1.3  967 270  4.8 8  3.3  92    0    0 277 -311  2
4247500 2438500  1  2 19  -1.1  967 260  5.3 8  3.4  93    0    0 277 -309  2
4247500 2438500  1  2 20  -1.1  968 280  4.1 8  3.4  92    0    0 276 -308  2
4247500 2438500  1  2 21  -1.6  969 300  3.6 7  3.3  92    0    0 269 -307  2
4247500 2438500  1  2 22  -1.4  970 280  2.0 5  3.2  90    0    0 251 -307  2
4247500 2438500  1  2 23  -2.1  971 300  2.9 5  3.1  88    0    0 238 -307  2
4247500 2438500  1  2 24  -2.2  972 290  2.2 8  3.0  90    0    0 253 -307  2
4247500 2438500  1  3  1  -2.5  974 290  1.5 7  3.0  89    0    0 265 -307  2
4247500 2438500  1  3  2  -2.7  975 300  1.7 7  2.9  88    0    0 258 -306  2
4247500 2438500  1  3  3  -3.2  976 300  1.3 7  2.8  88    0    0 257 -306  2
4247500 2438500  1  3  4  -3.6  977 320  1.9 6  2.8  91    0    0 250 -306  2
4247500 2438500  1  3  5  -3.4  977 300  2.0 7  2.8  93    0    0 251 -304  2
4247500 2438500  1  3  6  -3.3  978 270  2.0 8  2.8  92    0    0 263 -303  2
4247500 2438500  1  3  7  -3.2  979 300  1.9 7  2.9  94    0    0 262 -302  2
4247500 2438500  1  3  8  -3.1  980 300  1.2 7  2.9  93    0    0 258 -301  2
4247500 2438500  1  3  9  -3.6  981 300  2.7 6  2.8  92    5   23 250 -301  2
4247500 2438500  1  3 10  -3.2  982 300  1.6 4  2.8  90   17   82 234 -303  2
4247500 2438500  1  3 11  -2.2  983 300  1.2 2  2.8  87   26  140 214 -307  2
4247500 2438500  1  3 12  -0.9  984 300  1.6 5  2.8  81    3  119 222 -310  2
4247500 2438500  1  3 13  -0.1  985 320  2.4 5  2.7  73    5  138 239 -313  2
4247500 2438500  1  3 14  -0.1  984 300  2.5 6  2.7  69    1  103 246 -314  2
4247500 2438500  1  3 15  -0.2  984 300  2.0 6  2.8  72    0   64 250 -314  2
4247500 2438500  1  3 16  -1.2  985 280  2.6 8  2.9  77    0   29 258 -313  2
4247500 2438500  1  3 17  -1.7  985 270  2.3 8  3.0  86    0    1 264 -311  2
4247500 2438500  1  3 18  -1.8  985 300  2.0 8  3.1  92    0    0 262 -310  2
4247500 2438500  1  3 19  -1.8  985 330  1.8 8  3.1  92    0    0 260 -309  2
4247500 2438500  1  3 20  -2.0  985 340  1.5 8  3.1  92    0    0 260 -308  2
4247500 2438500  1  3 21  -2.6  986  40  3.4 8  2.6  78    0    0 256 -306  2
4247500 2438500  1  3 22  -2.7  987  20  1.4 7  2.0  64    0    0 248 -303  2
4247500 2438500  1  3 23  -3.2  987  20  0.9 7  2.1  68    0    0 243 -301  2
4247500 2438500  1  3 24  -3.4  987  20  0.8 8  2.3  75    0    0 246 -300  2
4247500 2438500  1  4  1  -4.3  988  40  2.6 8  2.1  70    0    0 246 -300  2
4247500 2438500  1  4  2  -4.4  988  40  2.2 7  2.0  70    0    0 241 -297  2
4247500 2438500  1  4  3  -4.7  989  40  1.7 5  2.1  76    0    0 229 -293  2
4247500 2438500  1  4  4  -5.7  989 360  0.3 5  2.0  78    0    0 220 -289  2
4247500 2438500  1  4  5  -5.7  989  40  2.3 4  2.0  79    0    0 215 -286  2
4247500 2438500  1  4  6  -5.8  989  40  1.0 3  2.0  80    0    0 208 -283  2
4247500 2438500  1  4  7  -6.2  989 360  0.0 2  2.0  80    0    0 201 -282  2
4247500 2438500  1  4  8  -7.3  988 280  0.2 4  2.0  85    0    0 203 -282  2
4247500 2438500  1  4  9  -8.0  989 240  0.5 4  2.0  92   28    6 206 -282  2
4247500 2438500  1  4 10  -6.5  989 360  0.0 3  2.0  91  101   20 203 -284  2
4247500 2438500  1  4 11  -4.9  990 250  0.6 3  2.1  84  165   33 203 -289  2
4247500 2438500  1  4 12  -3.7  990   0  0.4 3  2.1  75   86  107 206 -294  2
