Koordinatensystem : Lambert konform konisch
Rechtswert        : 4247500 Meter
Hochwert          : 2438500 Meter
Hoehenlage        : 346 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4247500 2438500  1  1  1   0.8  966 229  1.0 8  4.0  95    0    0 305 -317  0
4247500 2438500  1  1  2   0.4  966 252  1.2 8  3.9  95    0    0 306 -316  0
4247500 2438500  1  1  3   0.2  965 266  1.4 8  3.8  96    0    0 307 -317  0
4247500 2438500  1  1  4   0.4  964 251  1.6 8  3.9  96    0    0 299 -317  0
4247500 2438500  1  1  5   0.5  964 245  1.7 8  3.9  95    0    0 299 -315  0
4247500 2438500  1  1  6   0.8  965 230  1.5 8  4.0  96    0    0 308 -315  0
4247500 2438500  1  1  7   0.5  965 255  1.4 7  4.0  95    0    0 298 -316  0
4247500 2438500  1  1  8   0.3  965 220  1.5 8  3.9  95    0    0 297 -317  0
4247500 2438500  1  1  9   0.6  965 242  0.8 8  3.9  95   10   23 307 -317  0
4247500 2438500  1  1 10   0.5  966 243  0.5 8  3.9  95    0   57 306 -318  0
4247500 2438500  1  1 11   0.6  967 168  1.4 7  3.9  95    1   93 298 -318  0
4247500 2438500  1  1 12   1.0  967 196  1.9 8  4.0  95    1  113 299 -318  0
4247500 2438500  1  1 13   1.4  967 202  1.5 8  4.1  94    0  108 308 -318  0
4247500 2438500  1  1 14   1.3  967 265  1.4 8  4.2  95    1  108 309 -318  0
4247500 2438500  1  1 15   1.5  967 146  0.2 6  4.2  95   11   95 295 -318  0
4247500 2438500  1  1 16   1.6  967 209  0.6 5  4.2  94    0   37 273 -318  0
4247500 2438500  1  1 17   0.6  968 248  0.3 8  4.1  96    0    0 286 -318  0
4247500 2438500  1  1 18   1.5  968 282  0.5 8  4.2  98    0    0 307 -317  0
4247500 2438500  1  1 19   0.7  968 288  0.4 8  4.2  97    0    0 307 -317  0
4247500 2438500  1  1 20   0.9  969 311  0.6 8  4.1  97    0    0 306 -317  0
4247500 2438500  1  1 21   0.8  969 315  0.2 8  4.1  97    0    0 307 -317  0
