Koordinatensystem : Lambert konform konisch
Rechtswert        : 4247500 Meter
Hochwert          : 2438500 Meter
Hoehenlage        : 346 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4247500 2438500  1  1  1  -5.1  963   0  0.0 8  2.5  92    0    0 291 -315  0
4247500 2438500  1  1  2  -5.1  963   0  0.0 8  2.5  93    0    0 292 -315  0
4247500 2438500  1  1  3  -5.1  963   0  0.0 8  2.6  96    0    0 292 -315  0
4247500 2438500  1  1  4  -4.9  963   0  0.0 8  2.6  96    0    0 292 -315  0
4247500 2438500  1  1  5  -4.9  964   0  0.0 8  2.6  94    0    0 291 -315  0
4247500 2438500  1  1  6  -4.8  964   0  0.0 8  2.6  95    0    0 292 -315  0
4247500 2438500  1  1  7  -4.4  964 360  0.0 8  2.6  93    0    0 292 -315  0
4247500 2438500  1  1  8  -4.4  964   0  0.1 8  2.6  91    0    0 292 -315  0
4247500 2438500  1  1  9  -4.4  965   0  0.0 8  2.6  92    3   16 292 -316  0
4247500 2438500  1  1 10  -3.8  965   0  0.1 8  2.7  90    1   57 291 -317  0
4247500 2438500  1  1 11  -3.3  965   0  0.0 8  2.7  88    2   91 292 -317  0
4247500 2438500  1  1 12  -3.0  965 340  0.6 7  2.7  86    0   88 286 -317  0
4247500 2438500  1  1 13  -2.3  965 360  0.2 8  2.7  81    0  107 287 -317  0
4247500 2438500  1  1 14  -1.8  964   0  0.2 8  2.6  77    3  115 293 -317  0
4247500 2438500  1  1 15  -1.7  964   0  0.2 8  2.7  76    1   75 293 -318  0
4247500 2438500  1  1 16  -1.8  964   0  0.0 8  2.7  76    0   25 292 -317  0
4247500 2438500  1  1 17  -2.1  964 360  0.1 8  2.6  76    0    0 291 -316  0
4247500 2438500  1  1 18  -2.6  964 350  0.5 7  2.6  78    0    0 284 -314  0
4247500 2438500  1  1 19  -3.0  964 360  0.1 6  2.6  81    0    0 272 -315  0
4247500 2438500  1  1 20  -3.5  964  70  0.5 5  2.7  86    0    0 261 -316  0
4247500 2438500  1  1 21  -3.9  964   0  0.0 5  2.8  92    0    0 256 -316  0
4247500 2438500  1  1 22  -3.8  964   0  0.0 7  2.8  94    0    0 267 -317  0
4247500 2438500  1  1 23  -3.6  965   0  0.0 7  2.9  94    0    0 278 -317  0
4247500 2438500  1  1 24  -3.6  964  81  0.3 8  2.9  94    0    0 283 -316  0
4247500 2438500  1  2  1  -3.6  964  73  0.4 7  2.9  94    0    0 283 -316  0
4247500 2438500  1  2  2  -3.5  964   0  0.0 7  2.9  94    0    0 278 -316  0
4247500 2438500  1  2  3  -3.5  964 270  0.5 8  2.9  94    0    0 284 -316  0
4247500 2438500  1  2  4  -3.4  964 112  0.7 8  2.9  94    0    0 289 -314  0
4247500 2438500  1  2  5  -3.2  964   0  0.4 8  3.0  95    0    0 289 -309  0
4247500 2438500  1  2  6  -3.2  965  75  0.9 7  3.0  95    0    0 284 -307  0
4247500 2438500  1  2  7  -3.2  965   0  0.1 7  3.0  94    0    0 278 -308  0
4247500 2438500  1  2  8  -3.1  965 360  0.2 8  2.9  93    0    0 283 -309  0
4247500 2438500  1  2  9  -3.2  966 260  0.5 8  2.9  92    2   16 289 -310  0
4247500 2438500  1  2 10  -2.7  967 260  0.4 8  2.9  91    0   46 288 -313  0
4247500 2438500  1  2 11  -2.2  967 360  0.0 8  3.0  89    0   55 289 -317  0
4247500 2438500  1  2 12  -2.0  967 360  0.0 8  3.0  88    0   73 289 -317  0
4247500 2438500  1  2 13  -1.4  967 230  0.6 8  3.1  88    0   74 291 -317  0
4247500 2438500  1  2 14  -1.5  967 240  0.4 8  3.1  88    0   64 292 -318  0
4247500 2438500  1  2 15  -0.9  967 360  0.2 8  3.2  88    0   42 293 -318  0
4247500 2438500  1  2 16  -1.3  968 260  1.3 8  3.2  87    0   16 294 -318  0
4247500 2438500  1  2 17  -1.8  969 300  1.3 8  3.1  87    0    2 292 -318  0
4247500 2438500  1  2 18  -2.0  970 270  1.3 8  3.0  88    0    0 291 -318  0
4247500 2438500  1  2 19  -2.0  970 300  1.5 8  3.1  90    0    0 290 -318  0
4247500 2438500  1  2 20  -2.1  971 270  1.6 8  3.1  91    0    0 290 -318  0
4247500 2438500  1  2 21  -2.0  972 270  1.6 8  3.1  92    0    0 289 -317  0
4247500 2438500  1  2 22  -1.9  973 300  1.2 8  3.2  92    0    0 288 -317  0
4247500 2438500  1  2 23  -1.7  974 250  1.6 8  3.2  92    0    0 288 -317  0
4247500 2438500  1  2 24  -1.6  974 260  2.0 8  3.2  92    0    0 288 -317  0
4247500 2438500  1  3  1  -1.3  975 260  1.4 8  3.3  92    0    0 288 -317  0
4247500 2438500  1  3  2  -1.4  975 270  1.4 4  3.4  95    0    0 265 -317  0
4247500 2438500  1  3  3  -1.3  975 280  1.7 8  3.5  98    0    0 263 -317  0
4247500 2438500  1  3  4  -1.8  976 300  2.2 4  3.5  98    0    0 261 -317  0
4247500 2438500  1  3  5  -1.9  976 290  1.9 8  3.3  97    0    0 260 -317  0
4247500 2438500  1  3  6  -2.3  977 290  2.3 8  3.2  95    0    0 282 -318  0
4247500 2438500  1  3  7  -2.6  977 290  2.6 8  3.1  95    0    0 282 -317  0
4247500 2438500  1  3  8  -2.8  978 290  2.7 8  3.0  95    0    0 281 -317  0
4247500 2438500  1  3  9  -3.0  979 290  1.1 8  3.0  95    2   14 280 -317  0
4247500 2438500  1  3 10  -3.1  979 290  1.8 8  2.9  93    1   54 277 -317  0
4247500 2438500  1  3 11  -3.2  980 300  1.9 8  2.9  93    0   50 277 -318  0
4247500 2438500  1  3 12  -3.2  980 290  1.4 8  3.0  97    0   43 278 -318  0
4247500 2438500  1  3 13  -3.2  980 300  1.0 8  2.9  95    0   51 279 -318  0
4247500 2438500  1  3 14  -3.2  980 300  1.0 6  2.9  94    0   88 268 -318  0
4247500 2438500  1  3 15  -2.9  980 270  1.8 6  3.0  94    3   84 258 -318  0
4247500 2438500  1  3 16  -3.0  981 290  0.8 8  2.9  93    0   27 270 -318  0
4247500 2438500  1  3 17  -3.2  981 270  0.8 8  2.9  94    0    3 280 -318  0
4247500 2438500  1  3 18  -3.2  982 280  0.8 8  3.0  96    0    0 280 -318  0
4247500 2438500  1  3 19  -3.2  982 300  0.2 8  2.8  92    0    0 279 -318  0
4247500 2438500  1  3 20  -3.4  983 280  0.1 8  2.8  92    0    0 279 -318  0
4247500 2438500  1  3 21  -3.4  983   0  0.0 7  2.8  92    0    0 274 -318  0
4247500 2438500  1  3 22  -3.2  983 240  0.9 7  2.7  89    0    0 269 -318  0
4247500 2438500  1  3 23  -3.5  983 210  0.3 7  2.7  90    0    0 268 -318  0
4247500 2438500  1  3 24  -3.5  983 360  0.2 7  2.7  90    0    0 267 -317  0
4247500 2438500  1  4  1  -3.5  983 360  0.0 8  2.7  90    0    0 270 -315  0
4247500 2438500  1  4  2  -3.5  983   0  0.0 8  2.7  89    0    0 274 -310  0
4247500 2438500  1  4  3  -3.5  983   0  0.0 7  2.7  89    0    0 269 -307  0
4247500 2438500  1  4  4  -3.6  983 300  0.5 8  2.7  89    0    0 270 -307  0
4247500 2438500  1  4  5  -3.6  983 300  0.9 8  2.7  89    0    0 275 -306  0
4247500 2438500  1  4  6  -3.7  983 360  0.1 8  2.7  90    0    0 275 -306  0
4247500 2438500  1  4  7  -3.8  982 360  0.0 8  2.7  92    0    0 273 -305  0
4247500 2438500  1  4  8  -3.7  982 360  0.0 8  2.7  92    0    0 272 -305  0
4247500 2438500  1  4  9  -3.6  981 360  0.0 8  2.8  92    3   18 272 -305  0
4247500 2438500  1  4 10  -3.2  981 360  0.0 8  2.8  92    2   59 273 -305  0
4247500 2438500  1  4 11  -2.9  981 289  0.2 8  2.9  93    1   86 274 -307  0
4247500 2438500  1  4 12  -2.1  981 340  0.0 5  2.9  90    4  125 261 -309  0
4247500 2438500  1  4 13  -0.9  981 360  0.0 5  2.9  83    6  141 249 -311  0
4247500 2438500  1  4 14   0.4  980 240  1.4 5  2.7  71   10  139 251 -312  0
4247500 2438500  1  4 15   0.5  979 210  1.1 3  2.5  63   25  124 244 -312  0
4247500 2438500  1  4 16  -0.9  978 200  1.1 5  2.4  62    8   58 241 -311  0
4247500 2438500  1  4 17  -2.0  978 230  1.6 6  2.4  67    0    4 249 -309  0
4247500 2438500  1  4 18  -2.5  978 360  0.2 7  2.3  71    0    0 254 -307  0
4247500 2438500  1  4 19  -3.4  979  90  0.5 4  2.3  73    0    0 245 -305  0
4247500 2438500  1  4 20  -5.0  977  30  0.6 1  2.3  82    0    0 219 -304  0
4247500 2438500  1  4 21  -5.6  977  40  0.6 0  2.4  90    0    0 202 -303  0
4247500 2438500  1  4 22  -6.0  977  40  0.8 1  2.3  92    0    0 200 -302  0
4247500 2438500  1  4 23  -6.7  977  70  0.5 1  2.3  94    0    0 203 -301  0
4247500 2438500  1  4 24  -7.1  976  60  0.8 1  2.3  97    0    0 201 -300  0
4247500 2438500  1  5  1  -7.1  976  60  0.8 0  2.1  93    0    0 195 -298  0
4247500 2438500  1  5  2  -6.9  975  90  0.8 0  2.1  90    0    0 191 -296  0
4247500 2438500  1  5  3  -8.4  975  80  1.6 0  2.1  94    0    0 191 -294  0
4247500 2438500  1  5  4  -9.2  974  30  0.7 0  1.9  92    0    0 188 -292  0
4247500 2438500  1  5  5  -9.2  974  60  0.5 0  1.8  92    0    0 188 -290  0
4247500 2438500  1  5  6  -9.6  973   0  0.0 0  1.9  96    0    0 189 -289  0
4247500 2438500  1  5  7  -9.9  973  20  0.5 0  1.8  94    0    0 188 -288  0
4247500 2438500  1  5  8 -10.4  973  40  0.7 1  1.7  90    0    0 190 -287  0
4247500 2438500  1  5  9 -10.6  972  40  0.3 1  1.6  90   27    9 193 -287  0
4247500 2438500  1  5 10  -8.2  973   0  0.0 0  1.7  89  116   23 191 -288  0
4247500 2438500  1  5 11  -5.2  972 100  1.2 1  1.9  80  165   46 197 -293  0
4247500 2438500  1  5 12  -3.7  972  40  1.0 2  1.9  67  151   90 209 -300  0
4247500 2438500  1  5 13  -2.7  971 125  1.4 2  1.9  60  117  116 215 -306  0
4247500 2438500  1  5 14  -2.5  970 107  2.0 2  1.9  59   83  114 216 -309  0
4247500 2438500  1  5 15  -2.7  969  83  2.7 2  2.0  60   63   85 218 -310  0
4247500 2438500  1  5 16  -4.0  968  85  2.0 1  1.9  62   31   44 212 -307  0
4247500 2438500  1  5 17  -5.2  968 130  1.6 2  1.8  65    0    6 207 -302  0
4247500 2438500  1  5 18  -7.2  967  99  0.9 2  1.8  71    0    0 207 -298  0
4247500 2438500  1  5 19  -7.8  967 120  0.9 1  1.7  77    0    0 198 -295  0
4247500 2438500  1  5 20  -8.6  967 113  1.7 1  1.8  84    0    0 191 -293  0
4247500 2438500  1  5 21  -9.0  967 134  1.3 1  1.8  88    0    0 189 -291  0
4247500 2438500  1  5 22  -9.4  967 127  0.9 1  1.8  90    0    0 188 -290  0
4247500 2438500  1  5 23 -10.2  966   0  0.4 1  1.7  90    0    0 186 -289  0
4247500 2438500  1  5 24 -10.4  966   0  0.4 2  1.6  91    0    0 191 -288  0
4247500 2438500  1  6  1 -10.8  966   0  0.3 1  1.6  91    0    0 190 -288  0
4247500 2438500  1  6  2 -11.0  966   0  0.3 1  1.6  92    0    0 185 -287  0
4247500 2438500  1  6  3 -11.2  965 115  0.6 1  1.6  92    0    0 186 -286  0
4247500 2438500  1  6  4 -11.8  965   0  0.1 0  1.5  93    0    0 180 -284  0
4247500 2438500  1  6  5 -12.1  965   0  0.3 0  1.5  95    0    0 173 -280  0
4247500 2438500  1  6  6 -12.1  965 360  0.2 0  1.5  95    0    0 173 -280  0
4247500 2438500  1  6  7 -12.1  965   0  0.1 0  1.5  94    0    0 173 -283  0
4247500 2438500  1  6  8 -12.5  965  60  0.5 1  1.4  92    0    0 176 -283  0
4247500 2438500  1  6  9 -12.7  964   0  0.0 1  1.4  91   19   15 179 -283  0
4247500 2438500  1  6 10 -10.5  965   0  0.0 0  1.5  92   81   46 176 -285  0
4247500 2438500  1  6 11  -8.8  965 180  0.4 2  1.8  92   93   98 186 -291  0
4247500 2438500  1  6 12  -6.4  964 210  0.7 2  1.9  83   88  133 200 -300  0
4247500 2438500  1  6 13  -4.5  965 210  0.7 3  1.9  73   81  145 209 -307  0
4247500 2438500  1  6 14  -4.4  964 210  1.1 4  2.0  70   46  135 220 -311  0
4247500 2438500  1  6 15  -4.6  964 158  0.8 6  2.1  72    0   71 237 -312  0
4247500 2438500  1  6 16  -4.9  964 124  0.8 8  2.1  75    2   43 258 -310  0
4247500 2438500  1  6 17  -5.3  964 120  1.5 6  2.1  76    0    1 258 -305  0
4247500 2438500  1  6 18  -5.5  964  91  0.4 7  2.1  78    0    0 253 -301  0
4247500 2438500  1  6 19  -5.0  964   0  0.0 8  2.2  81    0    0 267 -300  0
4247500 2438500  1  6 20  -4.2  964 120  0.5 8  2.3  80    0    0 276 -301  0
4247500 2438500  1  6 21  -3.1  964  90  2.6 8  2.4  78    0    0 282 -302  0
4247500 2438500  1  6 22  -4.0  963 127  1.0 6  2.4  78    0    0 272 -304  0
4247500 2438500  1  6 23  -4.0  963  91  0.8 6  2.4  80    0    0 260 -305  0
4247500 2438500  1  6 24  -4.3  963  83  0.3 6  2.4  81    0    0 261 -305  0
4247500 2438500  1  7  1  -5.0  963  83  1.1 6  2.4  84    0    0 260 -304  0
4247500 2438500  1  7  2  -5.2  962   0  0.2 3  2.4  88    0    0 242 -304  0
4247500 2438500  1  7  3  -5.6  962  88  0.8 3  2.4  91    0    0 222 -303  0
4247500 2438500  1  7  4  -6.0  962   0  0.0 5  2.4  92    0    0 233 -304  0
4247500 2438500  1  7  5  -6.2  962  67  0.4 6  2.3  92    0    0 251 -306  0
4247500 2438500  1  7  6  -6.3  962  10  0.2 4  2.3  93    0    0 245 -307  0
4247500 2438500  1  7  7  -5.9  962 260  0.9 7  2.4  93    0    0 251 -308  0
4247500 2438500  1  7  8  -6.4  962   0  0.6 7  2.3  93    0    0 271 -308  0
4247500 2438500  1  7  9  -5.8  963 250  0.5 7  2.4  93   23    6 272 -309  0
4247500 2438500  1  7 10  -5.0  964  30  0.5 8  2.5  94    4   49 282 -311  0
4247500 2438500  1  7 11  -4.0  964  60  1.3 8  2.7  96   19   87 292 -314  0
4247500 2438500  1  7 12  -2.9  964  70  1.2 7  2.9  95   25  111 289 -316  0
4247500 2438500  1  7 13  -0.9  964  90  1.1 8  3.0  87    8  115 293 -318  0
4247500 2438500  1  7 14  -0.2  964 220  1.9 7  3.1  82   19  108 298 -318  0
4247500 2438500  1  7 15   0.0  964 270  1.0 7  3.2  81   19   80 292 -321  0
4247500 2438500  1  7 16   0.0  964 360  0.2 6  3.1  78   27   37 283 -322  0
4247500 2438500  1  7 17  -1.1  965 240  0.9 7  3.1  81    0    9 279 -320  0
4247500 2438500  1  7 18  -1.7  965  29  1.0 7  3.2  88    0    0 285 -319  0
4247500 2438500  1  7 19  -1.9  966 180  1.0 8  3.0  87    0    0 292 -319  0
4247500 2438500  1  7 20  -2.3  967 180  1.7 8  3.0  88    0    0 302 -319  0
4247500 2438500  1  7 21  -2.3  968 100  0.8 8  3.0  88    0    0 302 -319  0
4247500 2438500  1  7 22  -1.9  968  90  1.0 7  3.0  87    0    0 293 -319  0
4247500 2438500  1  7 23  -2.0  969   0  0.0 7  3.0  87    0    0 286 -318  0
4247500 2438500  1  7 24  -2.2  969   0  0.0 8  2.9  87    0    0 294 -318  0
4247500 2438500  1  8  1  -2.3  970 230  1.2 8  3.0  88    0    0 302 -318  0
4247500 2438500  1  8  2  -2.1  970  70  0.5 8  3.0  90    0    0 302 -318  0
4247500 2438500  1  8  3  -1.8  970  80  0.4 8  3.2  93    0    0 304 -319  0
4247500 2438500  1  8  4  -1.5  971   0  0.1 8  3.3  95    0    0 305 -319  0
4247500 2438500  1  8  5  -1.2  971   0  0.0 8  3.5  98    0    0 306 -319  0
4247500 2438500  1  8  6  -1.1  972   0  0.0 8  3.6  98    0    0 307 -318  0
4247500 2438500  1  8  7  -0.7  972 360  0.0 8  3.6  97    0    0 307 -318  0
4247500 2438500  1  8  8  -0.5  973 360  0.0 8  3.7  97    0    0 308 -318  0
4247500 2438500  1  8  9  -0.4  973   0  0.0 8  3.7  96    0   11 310 -318  0
4247500 2438500  1  8 10  -0.2  974   0  0.1 8  3.8  98    0   39 311 -319  0
4247500 2438500  1  8 11  -0.1  975 230  0.7 8  3.8  99    0   52 312 -321  0
4247500 2438500  1  8 12   0.1  975   0  0.1 8  3.9  99    0   63 313 -322  0
4247500 2438500  1  8 13   0.3  976   0  0.0 5  4.0  99    0   64 295 -323  0
4247500 2438500  1  8 14   0.3  976   0  0.1 7  4.0  99    0   81 291 -322  0
4247500 2438500  1  8 15   0.4  976   0  0.1 8  4.0  99    0   56 308 -321  0
4247500 2438500  1  8 16   0.3  976   0  0.0 8  4.0  99    0   23 312 -320  0
4247500 2438500  1  8 17   0.1  976  60  0.5 5  3.9  98    0    1 296 -319  0
4247500 2438500  1  8 18   0.0  976  50  0.6 8  3.9  98    0    0 295 -319  0
4247500 2438500  1  8 19   0.1  976  60  0.7 8  3.9  98    0    0 309 -320  0
4247500 2438500  1  8 20  -0.1  976  60  0.7 8  3.9  98    0    0 309 -320  0
4247500 2438500  1  8 21  -0.2  976  40  2.2 8  3.9  99    0    0 308 -319  0
4247500 2438500  1  8 22   0.0  976  70  0.8 8  3.9  99    0    0 308 -319  0
4247500 2438500  1  8 23  -0.2  976  60  0.9 7  3.9  99    0    0 302 -319  0
4247500 2438500  1  8 24  -0.1  975  50  0.4 8  3.9 100    0    0 302 -319  0
4247500 2438500  1  9  1  -0.2  975 180  0.9 8  3.9 100    0    0 306 -319  0
4247500 2438500  1  9  2  -0.1  975 102  0.7 8  3.9 100    0    0 306 -318  0
4247500 2438500  1  9  3  -0.4  975 140  0.6 8  3.9 100    0    0 306 -318  0
4247500 2438500  1  9  4  -0.4  974 167  0.2 8  3.8 100    0    0 304 -317  0
4247500 2438500  1  9  5  -0.3  974 148  0.4 5  3.8 100    0    0 289 -317  0
4247500 2438500  1  9  6  -0.4  974  90  0.9 7  3.8 100    0    0 283 -316  0
4247500 2438500  1  9  7  -0.6  973 213  2.3 8  3.8  99    0    0 297 -313  0
4247500 2438500  1  9  8  -0.5  972 228  1.9 5  3.7  98    0    0 287 -312  0
4247500 2438500  1  9  9  -0.2  972  90  1.4 7  3.8  99   11   11 282 -313  0
4247500 2438500  1  9 10   0.1  972   0  0.4 7  3.9  98   14   58 294 -314  0
4247500 2438500  1  9 11   0.7  972 130  1.2 7  4.0  98    1   79 296 -316  0
4247500 2438500  1  9 12   0.9  972 120  3.3 7  4.1  99    0   82 296 -317  0
4247500 2438500  1  9 13   0.5  971 220  1.5 7  4.1  98    5  116 295 -321  0
4247500 2438500  1  9 14   1.1  971 180  0.9 8  4.0  96    3  102 299 -325  0
4247500 2438500  1  9 15   1.3  971   0  0.1 8  4.1  94    2   75 304 -323  0
4247500 2438500  1  9 16   0.6  971 330  0.3 7  4.0  94    0   35 296 -320  0
4247500 2438500  1  9 17   0.5  971   0  0.1 8  4.0  97    0    5 295 -318  0
4247500 2438500  1  9 18   0.3  972 360  0.0 8  4.0  97    0    0 300 -317  0
4247500 2438500  1  9 19   0.3  972 130  0.4 8  3.9  97    0    0 298 -317  0
4247500 2438500  1  9 20   0.4  972 240  1.4 8  3.9  97    0    0 298 -315  0
4247500 2438500  1  9 21   0.3  973  90  0.8 8  3.9  97    0    0 298 -313  0
4247500 2438500  1  9 22   0.4  974  90  2.1 8  3.9  97    0    0 298 -313  0
4247500 2438500  1  9 23   0.4  974  80  1.2 8  3.9  97    0    0 298 -314  0
4247500 2438500  1  9 24   0.3  974  80  1.4 8  3.9  97    0    0 299 -315  0
4247500 2438500  1 10  1   0.3  974 100  0.6 7  3.9  97    0    0 292 -315  0
4247500 2438500  1 10  2   0.2  974  90  1.0 7  3.9  97    0    0 286 -316  0
4247500 2438500  1 10  3   0.3  973 120  1.0 8  3.8  96    0    0 292 -316  0
4247500 2438500  1 10  4   0.1  973  90  1.9 8  3.8  95    0    0 298 -316  0
4247500 2438500  1 10  5  -0.2  973  90  2.7 8  3.8  96    0    0 297 -314  0
4247500 2438500  1 10  6  -0.3  972  90  2.1 8  3.7  95    0    0 296 -314  0
4247500 2438500  1 10  7  -0.4  972  80  1.9 8  3.6  94    0    0 296 -314  0
4247500 2438500  1 10  8  -0.7  971  90  2.8 8  3.6  94    0    0 295 -314  0
4247500 2438500  1 10  9  -0.9  972  90  0.9 8  3.6  96    1   16 295 -314  0
4247500 2438500  1 10 10  -0.9  972  80  0.9 8  3.5  96    5   67 294 -316  0
4247500 2438500  1 10 11  -0.3  972 120  0.9 7  3.6  94    7  111 287 -317  0
4247500 2438500  1 10 12   0.0  971   0  0.1 8  3.7  94    0   94 289 -320  0
4247500 2438500  1 10 13   0.3  971 110  0.8 7  3.7  91    0   94 289 -326  0
4247500 2438500  1 10 14   0.4  970  90  0.7 7  3.7  90    0   67 282 -329  0
4247500 2438500  1 10 15   0.3  970  90  1.5 8  3.6  90    0   37 291 -328  0
4247500 2438500  1 10 16   0.3  970   0  0.2 8  3.6  88    0   15 298 -326  0
4247500 2438500  1 10 17  -0.2  970   0  0.2 5  3.6  92    0    1 273 -324  0
4247500 2438500  1 10 18  -0.3  970 270  0.9 5  3.6  94    0    0 244 -323  0
4247500 2438500  1 10 19  -0.3  970   0  0.0 8  3.6  93    0    0 272 -322  0
4247500 2438500  1 10 20  -0.9  970   0  0.2 7  3.6  94    0    0 291 -320  0
4247500 2438500  1 10 21  -1.0  971  30  0.6 7  3.5  95    0    0 281 -319  0
4247500 2438500  1 10 22  -1.2  970  30  0.7 7  3.5  95    0    0 281 -321  0
4247500 2438500  1 10 23  -1.6  971  63  1.0 7  3.5  97    0    0 282 -321  0
4247500 2438500  1 10 24  -1.4  971 120  1.0 8  3.4  97    0    0 291 -320  0
4247500 2438500  1 11  1  -2.2  970  90  0.5 5  3.4  97    0    0 278 -318  0
4247500 2438500  1 11  2  -2.3  970   0  0.2 4  3.3 100    0    0 253 -318  0
4247500 2438500  1 11  3  -2.2  971  90  0.8 8  3.3 100    0    0 271 -318  0
4247500 2438500  1 11  4  -2.4  970   0  0.2 8  3.3 100    0    0 294 -318  0
4247500 2438500  1 11  5  -2.7  970   0  0.2 4  3.3 100    0    0 271 -318  0
4247500 2438500  1 11  6  -2.6  970 210  0.6 3  3.2  99    0    0 244 -317  0
4247500 2438500  1 11  7  -2.7  970  40  0.9 8  3.2  97    0    0 266 -317  0
4247500 2438500  1 11  8  -2.6  970   0  0.2 8  3.1  96    0    0 293 -317  0
4247500 2438500  1 11  9  -2.6  970 150  0.7 8  3.2  97    6   19 292 -317  0
4247500 2438500  1 11 10  -1.9  970 180  0.6 7  3.3  97   15   77 287 -318  0
4247500 2438500  1 11 11  -1.5  970 300  0.5 6  3.4  98   21  128 276 -321  0
4247500 2438500  1 11 12  -0.4  970 360  0.1 6  3.7  99   23  157 272 -330  0
4247500 2438500  1 11 13   0.1  970 120  0.5 7  3.7  95    6  138 279 -339  0
4247500 2438500  1 11 14   0.4  969 240  0.6 7  3.7  93    0   94 285 -344  0
4247500 2438500  1 11 15   0.3  969 210  0.9 7  3.8  93    0   72 286 -344  0
4247500 2438500  1 11 16   0.2  969 240  0.9 8  3.6  90    0   36 291 -340  0
4247500 2438500  1 11 17   0.0  969   0  0.1 7  3.6  90    0    2 291 -334  0
4247500 2438500  1 11 18  -0.1  968   0  0.2 7  3.7  95    0    0 287 -331  0
4247500 2438500  1 11 19  -0.4  968 150  1.0 7  3.8  97    0    0 287 -328  0
4247500 2438500  1 11 20  -0.6  968   0  0.4 5  3.7  98    0    0 277 -327  0
4247500 2438500  1 11 21  -0.8  968  90  0.7 1  3.7  97    0    0 249 -327  0
4247500 2438500  1 11 22  -1.1  967 103  0.6 6  3.6  98    0    0 253 -326  0
4247500 2438500  1 11 23  -1.4  967  94  1.0 6  3.6  99    0    0 277 -326  0
4247500 2438500  1 11 24  -1.9  967   0  0.2 8  3.5  98    0    0 284 -325  0
4247500 2438500  1 12  1  -2.6  967   0  0.1 8  3.3  99    0    0 291 -325  0
4247500 2438500  1 12  2  -2.4  967 120  0.8 7  3.3 100    0    0 286 -326  0
4247500 2438500  1 12  3  -3.0  967 180  0.3 8  3.3 100    0    0 284 -326  0
4247500 2438500  1 12  4  -2.6  967 190  0.5 8  3.2  99    0    0 289 -326  0
4247500 2438500  1 12  5  -2.5  967  60  0.9 8  3.2  98    0    0 289 -326  0
