Koordinatensystem : Lambert konform konisch
Rechtswert        : 4247500 Meter
Hochwert          : 2438500 Meter
Hoehenlage        : 346 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4247500 2438500  1  1  1   2.1  985 202  0.7 7  4.5  97    0    0 308 -321  1
4247500 2438500  1  1  2   1.4  985 218  0.5 7  4.2  96    0    0 279 -321  1
4247500 2438500  1  1  3   1.1  985 211  0.6 7  4.0  95    0    0 273 -322  1
4247500 2438500  1  1  4   1.3  985 204  0.6 7  4.0  95    0    0 297 -323  1
4247500 2438500  1  1  5   1.6  984 208  0.7 8  4.1  94    0    0 306 -323  1
4247500 2438500  1  1  6   1.8  984 208  0.8 8  4.2  94    0    0 315 -324  1
4247500 2438500  1  1  7   2.0  985 235  1.3 8  4.2  94    0    0 317 -324  1
4247500 2438500  1  1  8   2.2  985 227  1.1 6  4.3  96    0    0 305 -324  1
4247500 2438500  1  1  9   2.0  985 230  1.4 7  4.4  96    7   16 301 -325  1
4247500 2438500  1  1 10   2.4  985 260  0.6 8  4.4  96    5   59 314 -326  1
4247500 2438500  1  1 11   2.2  985 263  1.4 8  4.5  97    0   37 321 -328  1
4247500 2438500  1  1 12   2.5  985 268  1.6 8  4.5  98    0   33 322 -330  1
4247500 2438500  1  1 13   2.8  985 264  0.3 7  4.5  96    0   39 316 -333  1
4247500 2438500  1  1 14   3.4  984 267  0.3 8  4.6  95    0   38 318 -336  1
4247500 2438500  1  1 15   3.2  984 266  0.7 8  4.8  96    0   24 325 -338  1
4247500 2438500  1  1 16   3.2  984 248  1.2 8  4.8  97    0    8 325 -337  1
4247500 2438500  1  1 17   3.2  984 226  0.7 5  4.8  97    0    0 306 -335  1
4247500 2438500  1  1 18   3.2  984 208  0.9 8  4.8  98    0    0 304 -333  1
4247500 2438500  1  1 19   3.1  983 216  1.5 5  4.8  97    0    0 301 -331  1
4247500 2438500  1  1 20   3.5  983 211  1.0 5  4.8  96    0    0 278 -330  1
4247500 2438500  1  1 21   2.7  983 210  1.0 4  4.7  96    0    0 267 -330  1
4247500 2438500  1  1 22   2.9  982 217  1.1 6  4.7  98    0    0 273 -329  1
4247500 2438500  1  1 23   3.5  981 219  1.6 8  4.8  96    0    0 304 -329  1
4247500 2438500  1  1 24   3.7  981 211  2.7 8  4.8  94    0    0 318 -329  1
4247500 2438500  1  2  1   3.3  981 219  2.8 8  4.8  95    0    0 316 -329  1
4247500 2438500  1  2  2   3.3  980 208  0.9 8  4.7  95    0    0 315 -330  1
4247500 2438500  1  2  3   3.5  980 201  0.7 8  4.7  93    0    0 313 -330  1
4247500 2438500  1  2  4   3.4  979 267  0.2 8  4.6  92    0    0 312 -331  1
4247500 2438500  1  2  5   3.8  977 233  1.8 8  4.7  92    0    0 313 -332  1
4247500 2438500  1  2  6   3.5  976 228  3.8 8  4.7  93    0    0 316 -334  1
4247500 2438500  1  2  7   3.9  976 231  4.8 8  4.9  94    0    0 318 -334  1
4247500 2438500  1  2  8   6.0  976 269  3.6 8  5.0  89    0    0 323 -336  1
4247500 2438500  1  2  9   5.1  976 276  5.1 8  5.2  88    1   15 326 -337  1
4247500 2438500  1  2 10   7.1  976 253  6.6 7  5.4  89    0   42 323 -338  1
4247500 2438500  1  2 11   6.3  977 242  4.5 8  5.1  81    0   45 323 -340  1
4247500 2438500  1  2 12   6.2  978 260  4.1 7  4.6  76    0   74 316 -343  1
4247500 2438500  1  2 13   6.2  978 270  5.4 7  4.6  76    2  103 307 -345  1
4247500 2438500  1  2 14   5.8  978 261  5.0 5  4.6  76    6  111 292 -345  1
4247500 2438500  1  2 15   5.7  978 281  4.9 7  4.4  74    0   53 288 -343  1
4247500 2438500  1  2 16   4.7  980 281  4.3 8  4.3  76    0    9 298 -338  1
4247500 2438500  1  2 17   2.5  981 264  3.4 8  4.2  83    0    0 297 -333  1
4247500 2438500  1  2 18   2.4  980 271  3.2 7  4.0  87    0    0 286 -328  1
4247500 2438500  1  2 19   2.3  982 272  3.0 7  3.9  84    0    0 280 -325  1
4247500 2438500  1  2 20   2.2  983 273  2.9 7  3.7  79    0    0 279 -322  1
4247500 2438500  1  2 21   2.0  984 271  4.6 7  3.6  78    0    0 277 -320  1
4247500 2438500  1  2 22   1.9  984 257  4.1 6  3.6  80    0    0 272 -319  1
4247500 2438500  1  2 23   1.8  985 259  4.9 5  3.6  81    0    0 263 -318  1
4247500 2438500  1  2 24   1.8  985 261  5.1 5  3.5  79    0    0 257 -318  1
4247500 2438500  1  3  1   1.6  985 263  4.8 6  3.4  78    0    0 261 -318  1
4247500 2438500  1  3  2   1.8  985 258  4.9 7  3.4  77    0    0 270 -317  1
4247500 2438500  1  3  3   1.9  985 257  5.0 7  3.4  76    0    0 277 -316  1
4247500 2438500  1  3  4   1.9  986 253  5.0 8  3.4  76    0    0 284 -315  1
4247500 2438500  1  3  5   2.1  986 261  5.2 7  3.5  77    0    0 286 -314  1
4247500 2438500  1  3  6   2.2  986 255  6.9 8  3.4  75    0    0 289 -315  1
4247500 2438500  1  3  7   2.3  986 252  6.6 7  3.4  75    0    0 291 -315  1
4247500 2438500  1  3  8   2.5  986 257  6.7 8  3.5  75    0    0 293 -316  1
4247500 2438500  1  3  9   2.7  986 260  7.0 8  3.4  72    1   15 300 -316  1
4247500 2438500  1  3 10   2.8  988 260  8.0 8  3.4  72    0   43 300 -317  1
4247500 2438500  1  3 11   3.2  988 262  9.0 7  3.5  72    0   37 296 -317  1
4247500 2438500  1  3 12   3.4  988 262  7.3 8  3.6  72    0   31 298 -318  1
4247500 2438500  1  3 13   3.7  988 263  6.5 7  3.6  72    0   36 299 -318  1
4247500 2438500  1  3 14   3.5  988 263  6.1 8  3.6  72    0   49 300 -319  1
4247500 2438500  1  3 15   3.5  988 256  7.3 7  3.6  72    3   81 299 -320  1
4247500 2438500  1  3 16   3.3  988 260  6.7 7  3.7  74    0   38 293 -321  1
4247500 2438500  1  3 17   3.6  988 261  7.2 8  3.7  74    0    1 299 -322  1
4247500 2438500  1  3 18   3.6  989 259  5.5 8  3.7  73    0    0 305 -321  1
4247500 2438500  1  3 19   3.6  989 258  5.5 8  3.7  73    0    0 305 -320  1
4247500 2438500  1  3 20   4.0  989 263  4.8 8  3.7  72    0    0 305 -318  1
4247500 2438500  1  3 21   3.7  989 261  4.8 8  3.7  72    0    0 307 -318  1
4247500 2438500  1  3 22   3.8  990 259  4.9 8  3.7  74    0    0 308 -318  1
4247500 2438500  1  3 23   3.4  990 257  4.7 8  3.8  76    0    0 310 -318  1
4247500 2438500  1  3 24   3.3  989 257  5.7 8  3.9  79    0    0 309 -318  1
4247500 2438500  1  4  1   3.8  989 260  6.8 8  3.9  79    0    0 311 -318  1
4247500 2438500  1  4  2   3.8  989 259  6.2 8  3.9  77    0    0 313 -320  1
4247500 2438500  1  4  3   3.3  988 259  5.4 8  3.9  78    0    0 312 -322  1
4247500 2438500  1  4  4   3.9  988 261  5.8 8  3.9  78    0    0 312 -324  1
4247500 2438500  1  4  5   4.3  988 256  4.8 8  3.9  75    0    0 313 -326  1
4247500 2438500  1  4  6   4.2  987 252  4.9 8  3.9  75    0    0 314 -328  1
4247500 2438500  1  4  7   4.4  987 258  6.2 8  3.9  74    0    0 314 -329  1
4247500 2438500  1  4  8   4.8  986 254  6.9 8  3.9  72    0    0 314 -330  1
4247500 2438500  1  4  9   5.0  986 251  5.9 8  3.8  69    0    9 312 -330  1
4247500 2438500  1  4 10   5.1  987 259  7.0 8  3.7  67   30   27 310 -330  1
4247500 2438500  1  4 11   5.4  987 257  7.0 8  3.7  65    0   56 310 -331  1
4247500 2438500  1  4 12   5.6  987 257  4.2 8  3.7  64    0   36 309 -332  1
4247500 2438500  1  4 13   5.7  988 270  6.5 8  3.8  65    0   38 309 -333  1
4247500 2438500  1  4 14   5.8  987 271  5.9 8  3.9  66    0   35 307 -333  1
4247500 2438500  1  4 15   5.7  987 265  3.4 6  3.9  67    0   39 296 -333  1
4247500 2438500  1  4 16   5.7  987 258  2.6 7  4.0  68    0   24 290 -334  1
4247500 2438500  1  4 17   4.8  987 242  3.3 7  3.9  69    0    1 289 -333  1
4247500 2438500  1  4 18   4.5  986 236  3.3 7  3.8  70    0    0 286 -332  1
4247500 2438500  1  4 19   3.7  986 230  3.6 6  3.7  71    0    0 280 -328  1
4247500 2438500  1  4 20   3.8  986 235  4.0 7  3.7  72    0    0 277 -322  1
4247500 2438500  1  4 21   3.7  987 238  3.2 7  3.6  70    0    0 279 -318  1
