Koordinatensystem : Lambert konform konisch
Rechtswert        : 4247500 Meter
Hochwert          : 2438500 Meter
Hoehenlage        : 346 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4247500 2438500  1  1  1  -0.4  985 194  1.2 7  3.7  96    0    0 308 -321  2
4247500 2438500  1  1  2   0.3  985 204  0.7 6  3.9  96    0    0 279 -321  2
4247500 2438500  1  1  3   1.1  985 211  0.6 7  4.0  95    0    0 273 -322  2
4247500 2438500  1  1  4   1.3  985 204  0.6 7  4.0  95    0    0 297 -323  2
4247500 2438500  1  1  5   1.6  984 208  0.7 8  4.1  94    0    0 306 -323  2
4247500 2438500  1  1  6   1.8  984 208  0.8 8  4.2  94    0    0 315 -324  2
4247500 2438500  1  1  7   2.0  985 235  1.3 8  4.2  94    0    0 317 -324  2
4247500 2438500  1  1  8   2.2  985 227  1.1 6  4.3  96    0    0 305 -324  2
4247500 2438500  1  1  9   2.0  985 230  1.4 7  4.4  96    7   16 301 -325  2
4247500 2438500  1  1 10   2.4  985 260  0.6 8  4.4  96    5   59 314 -326  2
4247500 2438500  1  1 11   2.2  985 263  1.4 8  4.5  97    0   37 321 -328  2
4247500 2438500  1  1 12   2.5  985 268  1.6 8  4.5  98    0   33 322 -330  2
4247500 2438500  1  1 13   2.8  985 264  0.3 7  4.5  96    0   39 316 -333  2
4247500 2438500  1  1 14   3.4  984 267  0.3 8  4.6  95    0   38 318 -336  2
4247500 2438500  1  1 15   3.2  984 266  0.7 8  4.8  96    0   24 325 -338  2
4247500 2438500  1  1 16   3.2  984 248  1.2 8  4.8  97    0    8 325 -337  2
4247500 2438500  1  1 17   3.2  984 226  0.7 5  4.8  97    0    0 306 -335  2
4247500 2438500  1  1 18   3.2  984 208  0.9 8  4.8  98    0    0 304 -333  2
4247500 2438500  1  1 19   3.1  983 216  1.5 5  4.8  97    0    0 301 -331  2
4247500 2438500  1  1 20   3.5  983 211  1.0 5  4.8  96    0    0 278 -330  2
4247500 2438500  1  1 21   2.7  983 210  1.0 4  4.7  96    0    0 267 -330  2
4247500 2438500  1  1 22   2.9  982 217  1.1 6  4.7  98    0    0 273 -329  2
4247500 2438500  1  1 23   3.5  981 219  1.6 8  4.8  96    0    0 304 -329  2
