Koordinatensystem : Lambert konform konisch
Rechtswert        : 4050500 Meter
Hochwert          : 2342500 Meter
Hoehenlage        : 775 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4050500 2342500  1  1  1   1.4  928 115  3.9 7  3.5  80    0    0 249 -300  3
4050500 2342500  1  1  2  -0.9  928  81  3.4 7  3.3  88    0    0 253 -301  3
4050500 2342500  1  1  3  -2.8  928  56  2.9 7  3.2  95    0    0 261 -297  3
4050500 2342500  1  1  4  -2.9  928  61  2.9 7  3.2  95    0    0 262 -293  3
4050500 2342500  1  1  5  -2.9  928  61  3.1 7  3.2  95    0    0 258 -294  3
4050500 2342500  1  1  6  -3.0  927  77  2.8 8  3.2  95    0    0 263 -298  3
4050500 2342500  1  1  7  -3.1  926  38  4.2 7  3.2  96    0    0 262 -298  3
4050500 2342500  1  1  8  -3.1  926  91  2.6 7  3.2  96    0    0 257 -295  3
4050500 2342500  1  1  9  -3.0  925  84  3.0 8  3.2  95    0    9 263 -292  3
4050500 2342500  1  1 10  -2.4  925  63  2.0 7  3.2  94    6   67 265 -289  3
4050500 2342500  1  1 11  -2.6  924  56  2.4 6  3.2  92    1   84 258 -289  3
4050500 2342500  1  1 12  -2.3  923  42  2.0 7  3.2  91    0   65 258 -292  3
4050500 2342500  1  1 13  -2.4  922  90  2.7 6  3.2  92    0   62 259 -296  3
4050500 2342500  1  1 14  -2.3  921  53  2.4 7  3.1  89    0   66 261 -298  3
4050500 2342500  1  1 15  -2.7  920  32  2.5 7  3.0  87    3   83 268 -298  3
4050500 2342500  1  1 16  -2.8  920 139  2.1 8  3.0  87    5   54 274 -294  3
4050500 2342500  1  1 17  -2.7  920 172  2.1 8  3.0  89    0    5 283 -290  3
4050500 2342500  1  1 18  -2.8  919 328  1.9 8  3.1  91    0    0 285 -285  3
4050500 2342500  1  1 19  -2.9  919 303  1.9 8  3.1  92    0    0 286 -285  3
4050500 2342500  1  1 20  -3.2  919 333  1.8 8  3.1  94    0    0 286 -288  3
4050500 2342500  1  1 21  -2.6  919 253  2.1 8  3.1  92    0    0 287 -292  3
4050500 2342500  1  1 22  -3.3  919 328  1.8 7  3.1  92    0    0 280 -297  3
4050500 2342500  1  1 23  -3.3  918 350  1.3 8  3.1  94    0    0 279 -299  3
4050500 2342500  1  1 24  -3.3  918  65  1.9 5  3.1  94    0    0 264 -299  3
4050500 2342500  1  2  1  -3.7  917  71  2.9 8  3.1  94    0    0 263 -299  3
4050500 2342500  1  2  2  -3.8  916  66  2.7 8  3.0  95    0    0 284 -300  3
4050500 2342500  1  2  3  -4.2  916  61  1.7 8  3.0  96    0    0 282 -301  3
4050500 2342500  1  2  4  -3.6  917  41  2.6 8  3.0  95    0    0 282 -300  3
4050500 2342500  1  2  5  -4.4  917  39  3.4 8  2.9  94    0    0 281 -300  3
4050500 2342500  1  2  6  -4.6  917  45  3.4 8  2.8  95    0    0 280 -302  3
4050500 2342500  1  2  7  -4.8  917  51  2.9 8  2.8  94    0    0 279 -301  3
4050500 2342500  1  2  8  -5.8  918  53  2.8 8  2.7  94    0    0 276 -301  3
4050500 2342500  1  2  9  -5.4  918  67  3.2 8  2.6  94    1   16 274 -302  3
4050500 2342500  1  2 10  -4.7  919  70  3.9 8  2.7  93    3   63 275 -304  3
4050500 2342500  1  2 11  -4.3  920  73  3.9 8  2.7  91    0   77 275 -306  3
4050500 2342500  1  2 12  -4.1  920  70  4.1 8  2.7  89    0   65 276 -310  3
4050500 2342500  1  2 13  -4.7  920  82  4.3 8  2.7  90    0   61 275 -313  3
4050500 2342500  1  2 14  -4.3  920  74  3.5 8  2.7  90    0   37 276 -314  3
4050500 2342500  1  2 15  -4.8  920  65  3.9 8  2.7  90    0   57 277 -313  3
4050500 2342500  1  2 16  -4.9  921  57  4.2 8  2.6  91    9   61 278 -312  3
4050500 2342500  1  2 17  -5.2  921  56  5.0 7  2.6  91    0   13 269 -309  3
4050500 2342500  1  2 18  -5.5  922  61  4.4 7  2.6  92    0    0 264 -308  3
4050500 2342500  1  2 19  -5.8  923  61  3.9 8  2.5  92    0    0 270 -308  3
4050500 2342500  1  2 20  -6.3  924  81  4.6 8  2.4  92    0    0 274 -310  3
4050500 2342500  1  2 21  -6.0  924  59  4.1 7  2.4  93    0    0 268 -310  3
4050500 2342500  1  2 22  -5.3  925  48  3.1 7  2.4  89    0    0 262 -311  3
4050500 2342500  1  2 23  -5.3  925  57  3.1 8  2.4  86    0    0 268 -311  3
4050500 2342500  1  2 24  -5.5  926  42  2.7 8  2.4  86    0    0 272 -311  3
4050500 2342500  1  3  1  -5.6  927  21  2.4 8  2.4  86    0    0 270 -312  3
4050500 2342500  1  3  2  -5.9  927  31  2.2 8  2.3  87    0    0 269 -312  3
4050500 2342500  1  3  3  -5.8  928  42  1.8 8  2.3  87    0    0 267 -312  3
4050500 2342500  1  3  4  -6.1  928  38  2.1 8  2.3  87    0    0 267 -312  3
4050500 2342500  1  3  5  -7.6  928  13  2.1 6  2.2  90    0    0 254 -311  3
4050500 2342500  1  3  6  -7.7  928   3  1.4 6  2.2  94    0    0 240 -311  3
4050500 2342500  1  3  7  -8.7  929   6  1.1 5  2.1  96    0    0 232 -310  3
4050500 2342500  1  3  8  -8.5  928  34  1.1 7  2.1  97    0    0 236 -309  3
4050500 2342500  1  3  9  -8.4  929  25  0.9 7  2.1  95    6   19 248 -308  3
4050500 2342500  1  3 10  -8.1  929  53  1.1 7  2.1  94   52   74 247 -309  3
4050500 2342500  1  3 11  -7.7  929  79  1.3 6  2.1  90   25  116 242 -310  3
4050500 2342500  1  3 12  -7.3  928  36  1.4 5  2.1  88    1  102 234 -312  3
4050500 2342500  1  3 13  -7.2  929  21  1.3 5  2.1  87    1  104 228 -313  3
4050500 2342500  1  3 14  -6.1  927  22  1.9 6  2.1  82    0   82 234 -312  3
4050500 2342500  1  3 15  -6.5  927  68  1.6 7  2.0  79    0   66 245 -311  3
4050500 2342500  1  3 16  -6.8  927  96  1.4 8  2.0  81    2   45 254 -308  3
4050500 2342500  1  3 17  -7.6  928  60  1.4 7  2.0  84    0    9 251 -304  3
4050500 2342500  1  3 18  -7.6  928  64  0.9 7  2.0  85    0    0 243 -300  3
4050500 2342500  1  3 19  -8.3  928  68  1.0 6  2.0  86    0    0 235 -300  3
4050500 2342500  1  3 20  -8.3  927  95  1.4 5  1.9  88    0    0 223 -300  3
4050500 2342500  1  3 21  -8.5  927  73  1.1 7  1.9  88    0    0 226 -296  3
4050500 2342500  1  3 22  -8.6  927 111  1.2 7  1.9  88    0    0 234 -294  3
4050500 2342500  1  3 23 -10.3  926 124  1.2 7  1.9  93    0    0 230 -292  3
4050500 2342500  1  3 24  -9.5  926 139  1.7 8  1.9  95    0    0 233 -291  3
4050500 2342500  1  4  1  -8.8  926 183  1.6 8  1.9  92    0    0 238 -290  3
4050500 2342500  1  4  2  -8.7  927 252  1.6 7  1.9  89    0    0 234 -290  3
4050500 2342500  1  4  3 -10.0  926 272  1.6 8  1.8  90    0    0 232 -291  3
4050500 2342500  1  4  4 -10.4  926 249  1.6 7  1.8  94    0    0 230 -293  3
4050500 2342500  1  4  5  -9.8  926 295  3.7 7  1.8  94    0    0 228 -295  3
4050500 2342500  1  4  6  -9.9  926 278  2.9 6  1.9  95    0    0 225 -297  3
4050500 2342500  1  4  7 -10.2  925 254  3.5 6  1.9  96    0    0 222 -296  3
4050500 2342500  1  4  8 -11.9  925 268  4.3 7  1.8  99    0    0 223 -295  3
4050500 2342500  1  4  9 -10.4  925 227  3.6 7  1.7  97    1   16 228 -297  3
4050500 2342500  1  4 10  -8.7  925 263  6.1 7  1.8  90   19   79 234 -300  3
4050500 2342500  1  4 11  -7.4  926 239  8.3 7  1.9  85    4   97 240 -303  3
4050500 2342500  1  4 12  -6.3  926 252  7.0 8  2.1  84    0   73 252 -304  3
4050500 2342500  1  4 13  -6.0  927 264  5.4 8  2.2  84    0   58 262 -306  3
4050500 2342500  1  4 14  -5.8  926 278  5.5 8  2.2  83    0   49 264 -307  3
4050500 2342500  1  4 15  -5.8  926 262  3.7 8  2.3  84    0   38 265 -307  3
4050500 2342500  1  4 16  -5.6  926 255  5.6 8  2.3  85    0   19 266 -307  3
4050500 2342500  1  4 17  -5.7  926 281  6.3 7  2.4  87    0    1 260 -306  3
4050500 2342500  1  4 18  -5.2  926 281  5.5 7  2.5  89    0    0 255 -305  3
4050500 2342500  1  4 19  -4.8  926 241  6.6 8  2.5  89    0    0 261 -305  3
4050500 2342500  1  4 20  -4.5  926 254  5.8 8  2.6  89    0    0 266 -306  3
4050500 2342500  1  4 21  -4.2  926 239  5.1 8  2.7  90    0    0 267 -306  3
4050500 2342500  1  4 22  -3.7  926 254  6.0 8  2.8  90    0    0 268 -306  3
4050500 2342500  1  4 23  -3.7  926 256  7.0 8  2.9  91    0    0 268 -306  3
4050500 2342500  1  4 24  -3.3  927 270  7.7 8  2.9  92    0    0 267 -306  3
4050500 2342500  1  5  1  -3.3  928 269  5.4 7  3.0  92    0    0 263 -305  3
4050500 2342500  1  5  2  -2.8  928 268  5.3 7  3.0  92    0    0 259 -305  3
4050500 2342500  1  5  3  -2.8  928 266  5.9 7  3.1  91    0    0 260 -306  3
4050500 2342500  1  5  4  -2.6  928 264  5.2 8  3.1  91    0    0 264 -306  3
4050500 2342500  1  5  5  -2.3  928 257  6.7 8  3.1  90    0    0 270 -306  3
4050500 2342500  1  5  6  -1.8  928 254  7.7 7  3.2  89    0    0 266 -306  3
4050500 2342500  1  5  7  -1.7  928 247  8.1 8  3.2  88    0    0 267 -306  3
4050500 2342500  1  5  8  -1.6  928 254  8.4 8  3.2  88    0    0 271 -307  3
4050500 2342500  1  5  9  -1.4  928 253  7.3 8  3.3  89    0   12 271 -307  3
