Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2433500 Meter
Hoehenlage        : 140 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2433500  1  1  1   3.9  981 220  1.8 5  4.3  84    0    0 262 -319  2
3844500 2433500  1  1  2   4.3  981 228  2.5 4  4.4  82    0    0 256 -318  2
3844500 2433500  1  1  3   4.4  981 233  3.5 4  4.5  82    0    0 241 -317  2
3844500 2433500  1  1  4   4.1  981 228  3.9 4  4.6  86    0    0 241 -317  2
3844500 2433500  1  1  5   3.8  981 226  4.3 5  4.6  88    0    0 256 -315  2
3844500 2433500  1  1  6   3.3  981 221  4.4 7  4.5  89    0    0 270 -312  2
3844500 2433500  1  1  7   3.8  981 222  4.0 8  4.5  89    0    0 286 -310  2
3844500 2433500  1  1  8   4.0  983 221  3.0 6  4.5  86    0    0 281 -309  2
3844500 2433500  1  1  9   3.6  984 228  2.1 6  4.2  82    0    5 270 -309  2
3844500 2433500  1  1 10   3.5  985 231  1.5 8  4.0  79    3   49 277 -309  2
3844500 2433500  1  1 11   4.3  987 224  0.7 4  4.0  77   32  103 268 -312  2
3844500 2433500  1  1 12   4.6  988 230  0.2 4  4.1  77   20  125 252 -315  2
3844500 2433500  1  1 13   4.6  988 285  1.4 3  3.9  73   76  142 248 -317  2
3844500 2433500  1  1 14   4.6  988 304  2.8 5  3.8  71   15  120 252 -318  2
3844500 2433500  1  1 15   4.6  988 278  3.1 4  3.8  70   17   96 257 -318  2
3844500 2433500  1  1 16   3.6  989 257  3.8 3  3.2  62   22   56 247 -317  2
3844500 2433500  1  1 17   2.5  989 252  4.1 2  3.1  64    3   13 235 -315  2
3844500 2433500  1  1 18   2.0  990 233  4.2 3  3.2  69    0    0 231 -313  2
3844500 2433500  1  1 19   1.8  991 247  3.1 6  2.9  65    0    0 243 -313  2
3844500 2433500  1  1 20   1.7  992 242  3.4 6  2.7  62    0    0 255 -313  2
3844500 2433500  1  1 21   1.3  992 272  3.3 5  2.6  60    0    0 252 -313  2
3844500 2433500  1  1 22   1.1  993 271  3.3 6  2.7  64    0    0 252 -313  2
3844500 2433500  1  1 23   0.9  993 255  2.6 6  2.9  70    0    0 258 -313  2
3844500 2433500  1  1 24   0.6  993 259  3.5 8  3.2  77    0    0 267 -313  2
3844500 2433500  1  2  1   0.0  993 241  1.9 6  3.4  85    0    0 265 -312  2
3844500 2433500  1  2  2  -0.1  993 246  1.6 6  3.4  89    0    0 255 -310  2
3844500 2433500  1  2  3  -0.2  992 262  0.8 5  3.5  90    0    0 252 -308  2
3844500 2433500  1  2  4  -0.1  992 255  0.2 5  3.5  92    0    0 248 -307  2
3844500 2433500  1  2  5  -0.3  992 266  0.2 4  3.5  92    0    0 244 -307  2
3844500 2433500  1  2  6  -0.3  992 272  0.8 5  3.5  91    0    0 245 -307  2
3844500 2433500  1  2  7   0.0  993 271  1.5 4  3.3  87    0    0 246 -308  2
3844500 2433500  1  2  8   0.2  994 276  2.1 5  3.2  82    0    0 246 -308  2
3844500 2433500  1  2  9   0.5  994 281  2.6 5  3.0  77    0    7 251 -308  2
3844500 2433500  1  2 10   1.0  995 275  3.1 6  3.0  74   53   24 257 -310  2
3844500 2433500  1  2 11   2.3  996 285  3.9 6  3.0  69  101   41 264 -312  2
3844500 2433500  1  2 12   0.9  997 266  5.9 7  2.9  68    0   70 270 -315  2
3844500 2433500  1  2 13   0.8  998 271  3.9 7  2.9  71    0   55 274 -316  2
3844500 2433500  1  2 14   0.9  998 255  4.9 7  3.0  73    0   57 273 -317  2
3844500 2433500  1  2 15   1.0  998 260  5.4 7  3.2  77    0   48 274 -319  2
3844500 2433500  1  2 16   1.3  999 262  4.6 8  3.3  79    0   34 282 -319  2
3844500 2433500  1  2 17   1.6  999 269  4.2 7  3.4  79    0    6 282 -318  2
