Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2433500 Meter
Hoehenlage        : 140 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2433500  1  1  1   8.1  986 206  3.2 8  5.8  85    0    0 309 -330  0
3844500 2433500  1  1  2   6.1  986 208  2.5 8  5.4  89    0    0 307 -330  0
3844500 2433500  1  1  3   4.5  986 212  2.0 8  5.0  92    0    0 318 -329  0
3844500 2433500  1  1  4   4.2  987 215  2.0 8  4.9  92    0    0 324 -329  0
3844500 2433500  1  1  5   4.0  988 216  2.0 8  4.8  91    0    0 322 -328  0
3844500 2433500  1  1  6   3.9  988 208  2.0 8  4.6  91    0    0 322 -328  0
3844500 2433500  1  1  7   4.3  988 216  1.9 7  4.7  89    0    0 314 -327  0
3844500 2433500  1  1  8   3.8  989 189  1.3 7  4.7  90    0    0 304 -326  0
3844500 2433500  1  1  9   4.1  989 193  2.3 7  4.7  91    0    0 303 -326  0
3844500 2433500  1  1 10   4.6  990 188  1.8 5  4.7  88    5   64 288 -327  0
3844500 2433500  1  1 11   5.2  990 192  2.0 5  4.8  88   31  116 272 -329  0
3844500 2433500  1  1 12   6.4  990 184  2.5 5  5.1  86   92  149 274 -333  0
3844500 2433500  1  1 13   7.5  990 190  3.5 3  5.1  80  126  154 267 -337  0
3844500 2433500  1  1 14   7.3  989 189  3.5 4  4.8  73   85  149 266 -339  0
3844500 2433500  1  1 15   7.4  989 177  2.8 7  4.6  70   28   88 295 -339  0
3844500 2433500  1  1 16   6.9  988 180  3.5 7  4.5  70   11   53 315 -335  0
3844500 2433500  1  1 17   6.3  989 140  3.7 8  4.6  74    0    9 321 -331  0
3844500 2433500  1  1 18   5.7  989 130  3.1 7  4.7  78    0    0 319 -325  0
3844500 2433500  1  1 19   5.4  990 177  2.9 7  4.7  81    0    0 310 -320  0
3844500 2433500  1  1 20   5.2  990 159  2.5 7  4.6  82    0    0 311 -321  0
3844500 2433500  1  1 21   4.8  991 120  1.9 5  4.7  84    0    0 295 -321  0
3844500 2433500  1  1 22   4.5  992 194  1.5 7  4.7  87    0    0 294 -321  0
3844500 2433500  1  1 23   4.1  992 257  1.8 7  4.7  89    0    0 308 -321  0
3844500 2433500  1  1 24   4.2  993 285  1.5 6  4.7  90    0    0 300 -319  0
3844500 2433500  1  2  1   3.4  993 348  0.9 8  4.7  92    0    0 305 -318  0
3844500 2433500  1  2  2   3.5  994  17  0.9 8  4.6  93    0    0 319 -317  0
3844500 2433500  1  2  3   3.8  994  57  0.7 8  4.6  92    0    0 319 -317  0
3844500 2433500  1  2  4   3.3  995  74  1.4 8  4.6  92    0    0 318 -316  0
3844500 2433500  1  2  5   3.2  996  25  1.3 8  4.6  94    0    0 316 -315  0
3844500 2433500  1  2  6   3.0  997  29  1.5 8  4.6  96    0    0 316 -315  0
3844500 2433500  1  2  7   3.1  997  36  1.6 7  4.6  96    0    0 307 -315  0
3844500 2433500  1  2  8   3.2  998  56  1.5 6  4.6  94    0    0 288 -316  0
3844500 2433500  1  2  9   3.4  999  35  2.0 8  4.5  93    0    0 296 -316  0
3844500 2433500  1  2 10   3.4 1000  53  1.9 8  4.6  93    6   54 315 -317  0
3844500 2433500  1  2 11   4.1 1001  44  2.2 8  4.6  91    4   79 316 -318  0
3844500 2433500  1  2 12   4.4 1002  40  2.1 8  4.6  89    0   91 316 -320  0
3844500 2433500  1  2 13   4.7 1002  42  2.4 7  4.7  88    0  100 309 -322  0
3844500 2433500  1  2 14   5.0 1003  27  2.0 7  4.7  87    2   96 303 -327  0
3844500 2433500  1  2 15   5.7 1003   0  2.3 6  4.6  81   23   61 297 -332  0
3844500 2433500  1  2 16   5.1 1004 357  1.8 7  4.5  80    4   36 295 -332  0
3844500 2433500  1  2 17   4.8 1005 354  0.9 6  4.6  85    0    3 293 -330  0
3844500 2433500  1  2 18   4.2 1006   5  0.7 6  4.6  86    0    0 286 -327  0
3844500 2433500  1  2 19   3.8 1006 359  0.4 7  4.5  89    0    0 292 -326  0
3844500 2433500  1  2 20   3.9 1007 359  0.4 7  4.5  89    0    0 299 -325  0
