Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2433500 Meter
Hoehenlage        : 140 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2433500  1  1  1   2.5  997 185  2.1 7  3.9  82    0    0 289 -309  2
3844500 2433500  1  1  2   0.9  997 178  2.0 8  3.4  81    0    0 291 -309  2
3844500 2433500  1  1  3  -0.3  995 175  1.7 8  3.0  81    0    0 292 -309  2
3844500 2433500  1  1  4  -0.2  995 189  1.4 7  3.0  80    0    0 288 -308  2
3844500 2433500  1  1  5  -0.1  994 202  1.0 7  3.1  80    0    0 283 -308  2
3844500 2433500  1  1  6  -0.1  993 216  1.0 7  3.1  81    0    0 285 -308  2
3844500 2433500  1  1  7   0.4  993 218  0.6 6  3.1  80    0    0 282 -310  2
3844500 2433500  1  1  8   0.6  993 203  0.6 8  3.1  78    0    0 291 -311  2
3844500 2433500  1  1  9   0.7  992 211  0.2 8  3.2  78    0    0 303 -313  2
3844500 2433500  1  1 10   0.9  992 174  0.2 8  3.3  81    0   29 304 -314  2
3844500 2433500  1  1 11   1.1  991 173  0.9 8  3.4  81    0   38 304 -315  2
3844500 2433500  1  1 12   1.6  991 185  1.0 7  3.3  78    0   79 301 -316  2
3844500 2433500  1  1 13   1.8  991 200  0.5 7  3.4  78    0   71 300 -317  2
3844500 2433500  1  1 14   2.2  990 208  0.2 8  3.4  76    0   41 306 -320  2
3844500 2433500  1  1 15   2.6  989 197  0.1 7  3.3  72    0   40 308 -323  2
3844500 2433500  1  1 16   2.5  989 170  0.5 8  3.5  76    1   42 309 -325  2
3844500 2433500  1  1 17   2.3  988 163  0.2 8  3.6  78    0    8 318 -328  2
3844500 2433500  1  1 18   3.0  989 180  0.2 8  3.6  76    0    0 318 -332  2
3844500 2433500  1  1 19   3.2  988 203  0.2 8  3.6  74    0    0 320 -335  2
3844500 2433500  1  1 20   3.4  988 190  0.2 8  3.8  76    0    0 322 -337  2
3844500 2433500  1  1 21   2.8  987 201  0.1 8  3.9  81    0    0 321 -339  2
3844500 2433500  1  1 22   2.8  988 207  0.1 8  4.0  84    0    0 320 -341  2
3844500 2433500  1  1 23   2.7  988 194  0.1 8  4.0  84    0    0 321 -343  2
