Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2433500 Meter
Hoehenlage        : 140 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2433500  1  1  1   5.9 1011 276  2.0 8  5.1  86    0    0 291 -317  2
3844500 2433500  1  1  2   3.4 1011 305  1.0 7  4.5  91    0    0 288 -317  2
3844500 2433500  1  1  3   1.6 1010 277  0.1 7  4.0  94    0    0 285 -317  2
3844500 2433500  1  1  4   1.6 1010 218  0.1 6  4.0  94    0    0 280 -315  2
3844500 2433500  1  1  5   1.6 1010 137  0.2 6  4.0  94    0    0 280 -312  2
3844500 2433500  1  1  6   1.5 1010  27  0.3 5  4.0  94    0    0 273 -310  2
3844500 2433500  1  1  7   1.2 1009  19  0.3 7  3.9  94    0    0 272 -309  2
3844500 2433500  1  1  8   1.3 1009  51  0.1 8  4.0  95    0    0 285 -308  2
3844500 2433500  1  1  9   1.4 1009  23  0.9 6  4.0  95    0    7 278 -307  2
3844500 2433500  1  1 10   1.3 1009  38  1.3 5  4.0  95    0   36 262 -307  2
3844500 2433500  1  1 11   1.2 1009  31  1.8 7  4.0  95    0   42 264 -309  2
3844500 2433500  1  1 12   1.2 1009  57  1.5 8  3.9  95    0   51 277 -312  2
3844500 2433500  1  1 13   1.2 1008  50  1.8 8  3.9  94    0   82 280 -315  2
3844500 2433500  1  1 14   1.1 1008  55  2.2 7  3.9  94    5  110 272 -318  2
3844500 2433500  1  1 15   1.1 1007  49  2.4 8  3.9  94    0   64 268 -318  2
3844500 2433500  1  1 16   1.0 1007  55  2.3 7  3.8  93    1   43 263 -317  2
3844500 2433500  1  1 17   0.8 1007  65  2.0 8  3.7  92    0    1 260 -315  2
3844500 2433500  1  1 18   0.8 1007  49  1.3 8  3.6  90    0    0 260 -312  2
3844500 2433500  1  1 19   0.5 1007  68  1.8 6  3.5  88    0    0 254 -310  2
3844500 2433500  1  1 20   0.0 1007  54  1.9 6  3.5  90    0    0 246 -308  2
3844500 2433500  1  1 21  -0.5 1007  54  1.9 5  3.3  89    0    0 242 -306  2
3844500 2433500  1  1 22  -1.0 1007  47  1.3 5  3.2  88    0    0 238 -304  2
3844500 2433500  1  1 23  -1.3 1007  50  1.3 3  3.1  88    0    0 231 -302  2
3844500 2433500  1  1 24  -2.4 1006  41  1.4 0  3.0  89    0    0 211 -301  2
3844500 2433500  1  2  1  -1.5 1006  38  2.6 0  2.8  86    0    0 200 -299  2
3844500 2433500  1  2  2  -2.4 1006  48  2.2 0  2.7  83    0    0 199 -298  2
3844500 2433500  1  2  3  -2.3 1006  38  2.2 0  2.7  83    0    0 197 -297  2
3844500 2433500  1  2  4  -3.4 1006  46  2.5 0  2.6  84    0    0 195 -296  2
3844500 2433500  1  2  5  -3.0 1005  41  2.3 0  2.5  84    0    0 194 -295  2
3844500 2433500  1  2  6  -3.6 1005  27  2.0 1  2.5  83    0    0 198 -293  2
3844500 2433500  1  2  7  -5.2 1005  22  1.6 3  2.4  88    0    0 207 -292  2
3844500 2433500  1  2  8  -5.1 1005  35  1.6 3  2.4  91    0    0 214 -291  2
3844500 2433500  1  2  9  -5.4 1004  22  1.8 0  2.4  92    0   11 201 -290  2
3844500 2433500  1  2 10  -3.7 1004  37  1.3 2  2.5  92   18   60 198 -290  2
3844500 2433500  1  2 11  -0.6 1004  28  2.7 2  2.7  82   58  107 211 -293  2
3844500 2433500  1  2 12   0.6 1003  29  2.7 1  2.6  69  107  134 212 -299  2
3844500 2433500  1  2 13   0.8 1002  37  3.4 2  2.6  63  122  143 213 -304  2
3844500 2433500  1  2 14   1.2 1001  46  2.2 2  2.6  62  116  131 218 -307  2
3844500 2433500  1  2 15   1.0 1000  43  2.4 2  2.6  62   82  104 217 -308  2
3844500 2433500  1  2 16   0.2  999  40  2.2 2  2.5  63   35   59 215 -307  2
3844500 2433500  1  2 17  -1.1  999  36  1.6 2  2.6  69    0   10 214 -303  2
3844500 2433500  1  2 18  -1.1  999  39  2.8 3  2.6  74    0    0 217 -298  2
3844500 2433500  1  2 19  -0.7  998  44  2.9 7  2.7  74    0    0 237 -295  2
3844500 2433500  1  2 20  -0.8  997  19  2.7 7  2.7  74    0    0 255 -293  2
3844500 2433500  1  2 21  -0.4  997   9  3.6 8  2.7  73    0    0 260 -292  2
3844500 2433500  1  2 22  -0.8  996  13  3.0 8  2.7  74    0    0 266 -293  2
3844500 2433500  1  2 23  -0.9  996 357  3.0 7  2.8  77    0    0 264 -293  2
3844500 2433500  1  2 24  -1.2  995 360  2.5 8  2.8  79    0    0 266 -295  2
3844500 2433500  1  3  1  -1.3  994  26  2.3 8  2.9  82    0    0 273 -297  2
3844500 2433500  1  3  2  -1.1  994  27  1.7 8  2.9  81    0    0 276 -299  2
3844500 2433500  1  3  3  -1.1  993  31  1.6 8  2.8  78    0    0 278 -299  2
3844500 2433500  1  3  4  -1.2  993  23  0.8 8  2.8  78    0    0 280 -300  2
3844500 2433500  1  3  5  -1.1  992  24  1.4 8  2.8  79    0    0 282 -301  2
3844500 2433500  1  3  6  -1.1  991  21  1.2 8  2.8  79    0    0 283 -301  2
3844500 2433500  1  3  7  -1.0  991  47  1.2 7  2.8  79    0    0 280 -302  2
3844500 2433500  1  3  8  -1.0  991  44  1.4 8  2.8  78    0    0 280 -302  2
3844500 2433500  1  3  9  -1.0  991  53  1.3 8  2.8  79    0    3 285 -303  2
3844500 2433500  1  3 10  -0.6  991  35  1.6 8  2.8  78    0   42 285 -304  2
3844500 2433500  1  3 11  -0.2  991  37  1.9 8  2.9  76    8   90 287 -307  2
3844500 2433500  1  3 12   0.3  991  22  1.7 8  2.9  75    4  100 289 -310  2
