Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2433500 Meter
Hoehenlage        : 140 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2433500  1  1  1   0.4  986 114  0.6 6  3.6  91    0    0 271 -329  2
3844500 2433500  1  1  2   0.2  986 143  0.5 6  3.7  94    0    0 269 -330  2
3844500 2433500  1  1  3   0.2  986 159  0.3 6  3.8  97    0    0 275 -330  2
3844500 2433500  1  1  4   0.2  986 160  0.4 6  3.8  97    0    0 290 -330  2
3844500 2433500  1  1  5   0.2  987 167  0.3 7  3.8  97    0    0 308 -330  2
3844500 2433500  1  1  6   0.2  987 188  0.5 5  3.8  97    0    0 295 -330  2
3844500 2433500  1  1  7   0.1  987 216  0.4 8  3.8  98    0    0 295 -330  2
3844500 2433500  1  1  8   0.2  987 177  0.1 8  3.8  98    0    0 312 -330  2
3844500 2433500  1  1  9   0.1  987 170  0.4 8  3.9  98    0    6 311 -330  2
3844500 2433500  1  1 10   0.1  987 251  0.4 8  3.8  98    4   58 310 -330  2
3844500 2433500  1  1 11   0.2  987  25  1.0 7  3.8  97    1   82 303 -332  2
3844500 2433500  1  1 12   0.3  987  24  0.9 7  3.9  98    0   81 295 -337  2
3844500 2433500  1  1 13   0.4  987 357  0.1 7  3.9  98    0   85 295 -344  2
3844500 2433500  1  1 14   0.5  986 348  0.8 7  4.0  98    0   77 293 -347  2
3844500 2433500  1  1 15   0.4  986 351  0.7 8  4.0  99    0   66 298 -346  2
3844500 2433500  1  1 16   0.2  986   2  0.9 8  3.9  98    0   41 302 -342  2
3844500 2433500  1  1 17   0.1  986 357  1.4 8  3.9  98    0    8 301 -335  2
3844500 2433500  1  1 18   0.2  986   2  1.6 7  3.9  99    0    0 296 -329  2
3844500 2433500  1  1 19   0.3  987  10  1.2 6  3.9  98    0    0 286 -325  2
3844500 2433500  1  1 20   0.3  987  16  0.8 6  3.9  98    0    0 283 -323  2
3844500 2433500  1  1 21   0.3  987  11  0.4 6  3.9  98    0    0 283 -321  2
3844500 2433500  1  1 22   0.3  987   1  0.9 8  3.9  97    0    0 293 -320  2
3844500 2433500  1  1 23   0.4  987 346  0.9 8  3.9  96    0    0 305 -319  2
3844500 2433500  1  1 24   0.4  987 323  0.7 6  3.9  96    0    0 295 -319  2
3844500 2433500  1  2  1   0.3  987 294  0.1 7  3.9  97    0    0 290 -318  2
3844500 2433500  1  2  2   0.1  988   7  0.1 6  3.9  98    0    0 289 -318  2
3844500 2433500  1  2  3   0.1  988  29  0.2 7  3.8  98    0    0 289 -317  2
3844500 2433500  1  2  4   0.0  988  38  0.8 7  3.8  98    0    0 294 -316  2
3844500 2433500  1  2  5   0.0  988  34  1.0 8  3.8  98    0    0 299 -316  2
3844500 2433500  1  2  6  -0.1  988  52  1.1 8  3.8  98    0    0 303 -316  2
3844500 2433500  1  2  7  -0.2  989   7  1.2 8  3.8  99    0    0 303 -316  2
3844500 2433500  1  2  8  -0.2  989  11  0.8 7  3.7  98    0    0 297 -315  2
3844500 2433500  1  2  9  -0.3  990  13  0.6 8  3.7  98    0    3 297 -315  2
3844500 2433500  1  2 10  -0.3  991 263  0.8 7  3.7  98    0   37 296 -315  2
3844500 2433500  1  2 11  -0.2  991  32  1.1 8  3.7  98    0   51 295 -316  2
