#1
double Intgainconv_Intgainrad_COPMin(8760, 4)
#time_in_s	c_o_n_v	r_a_d	C_O_P_M_i_n
0	37.922546875	22.753528125000003	0
3600	38.104026875	22.862416125	0
7200	45.701595	27.420956999999994	0
10800	122.301195625	73.380717375	0
14400	43.805604375	26.283362625000002	0
18000	38.1184175	22.8710505	0
21600	414.24783187500003	248.54869912499998	0
25200	1073.805899375	644.2835396250001	0
28800	995.85511625	597.51306975	0
32400	703.46767375	422.0806042499999	0
36000	154.23312562499999	92.539875375	0
39600	1987.35426875	1192.41256125	0
43200	1723.6237162500001	1034.17422975	0
46800	741.537015	444.922209	0
50400	565.3791150000001	339.227469	0
54000	89.43091375	53.65854825	0
57600	189.60271375000002	113.76162825	0
61200	262.91028625	157.74617175	0
64800	315.207303125	189.124381875	0
68400	820.362155	492.2172929999999	0
72000	183.88809625	110.33285774999999	0
75600	292.65461500000004	175.59276899999998	0
79200	220.28520999999998	132.171126	0
82800	69.208410625	41.525046375	0
86400	38.100103125	22.860061874999996	0
90000	38.2232975	22.933978500000002	0
93600	37.841251875000005	22.704751124999998	0
97200	88.983585625	53.390151375	0
100800	82.4944775	49.496686499999996	0
104400	225.46930125	135.28158075	0
108000	580.212295625	348.127377375	0
111600	689.951310625	413.97078637500005	0
115200	596.3259268749999	357.795556125	0
118800	607.630726875	364.578436125	0
122400	201.15982000000002	120.695892	0
126000	207.28258624999998	124.36955175	0
129600	131.719631875	79.031779125	0
133200	215.69407437499999	129.41644462500003	0
136800	133.32562687499998	79.995376125	0
140400	121.72953625	73.03772175	0
144000	301.53615562500005	180.921693375	0
147600	359.75270249999994	215.8516215	0
151200	672.185694375	403.31141662500005	0
154800	791.749494375	475.049696625	0
158400	266.013174375	159.60790462500003	0
162000	234.20666625	140.52399975	0
165600	165.9572625	99.57435750000002	0
169200	69.26367125	41.55820275	0
172800	38.254736875	22.952842124999997	0
176400	38.139949375	22.883969625	0
180000	45.874509375	27.524705625	0
183600	110.792649375	66.475589625	0
187200	56.05731624999999	33.63438975	0
190800	40.330364374999995	24.198218625	0
194400	679.6239925000001	407.7743955	0
198000	1025.54360875	615.3261652499999	0
201600	970.499495	582.2996969999999	0
205200	1652.69263	991.615578	0
208800	446.07965125000004	267.64779075	0
212400	825.8502543750001	495.510152625	0
216000	384.57378312500003	230.744269875	0
219600	1118.418356875	671.051014125	0
223200	1381.491215625	828.894729375	0
226800	302.9328275	181.75969650000002	0
230400	298.97400062500003	179.384400375	0
234000	314.01058125	188.40634875	0
237600	360.89763625	216.53858175000002	0
241200	340.885048125	204.53102887500003	0
244800	866.7177537499999	520.03065225	0
248400	227.73769437500002	136.642616625	0
252000	110.66082749999998	66.3964965	0
255600	89.602898125	53.76173887499999	0
259200	72.613641875	43.568185125	0
262800	38.417947500000004	23.0507685	0
266400	39.429075	23.657445	0
270000	75.969164375	45.581498625	0
273600	46.02582937500001	27.615497625000003	0
277200	118.882906875	71.329744125	0
280800	338.375696875	203.025418125	0
284400	628.17171125	376.90302675	0
288000	642.78458875	385.67075325	0
291600	613.53077375	368.11846425	0
295200	792.4684256250001	475.48105537500004	0
298800	610.85049125	366.51029474999996	0
302400	863.483760625	518.090256375	0
306000	291.579825	174.947895	0
309600	1994.1545075	1196.4927045	0
313200	1269.7863575000001	761.8718145	0
316800	1200.197248125	720.118348875	0
320400	489.99035125	293.99421075	0
324000	293.35963875	176.01578325	0
327600	422.82031499999994	253.692189	0
331200	857.7594706250001	514.655682375	0
334800	155.162279375	93.09736762499999	0
338400	63.96267750000001	38.3776065	0
342000	63.141651874999994	37.884991125000006	0
345600	81.823125625	49.093875374999996	0
349200	78.23217874999999	46.93930725	0
352800	39.11760625	23.47056375	0
356400	38.483782500000004	23.0902695	0
360000	37.84648	22.707888	0
363600	90.790174375	54.474104624999995	0
367200	951.919766875	571.151860125	0
370800	990.76529375	594.45917625	0
374400	783.5848175	470.1508905	0
378000	1600.688288125	960.412972875	0
381600	1126.92429125	676.1545747499999	0
385200	1217.00821875	730.2049312500001	0
388800	117.788953125	70.673371875	0
392400	70.42333875	42.25400325	0
396000	117.44827937500001	70.468967625	0
399600	119.23941	71.543646	0
403200	251.49377875000002	150.89626725	0
406800	374.662433125	224.797459875	0
410400	396.562978125	237.937786875	0
414000	455.69757374999995	273.41854425	0
417600	1055.492665625	633.295599375	0
421200	332.52894625	199.51736775	0
424800	132.996263125	79.797757875	0
428400	103.9576125	62.3745675	0
432000	52.375329375	31.425197625	0
435600	92.83938625	55.70363175	0
439200	75.29957000000002	45.179742000000005	0
442800	45.009054375000005	27.005432624999997	0
446400	37.790735625	22.674441375	0
450000	37.860875625	22.716525375	0
453600	898.1213506250001	538.872810375	0
457200	636.76603	382.059618	0
460800	1447.432870625	868.4597223750001	0
464400	166.37598500000001	99.82559099999999	0
468000	125.844330625	75.50659837500001	0
471600	2276.709571875	1366.025743125	0
475200	1678.5932843750002	1007.155970625	0
478800	894.018823125	536.411293875	0
482400	136.735565625	82.04133937499999	0
486000	88.597265	53.158359000000004	0
489600	291.79126	175.074756	0
493200	416.64310625	249.98586375	0
496800	380.600394375	228.360236625	0
500400	921.92367125	553.15420275	0
504000	579.8595881250001	347.915752875	0
507600	337.870048125	202.722028875	0
511200	272.621134375	163.572680625	0
514800	197.66402062499998	118.59841237500001	0
518400	37.97467375	22.784804249999997	0
522000	59.134568124999994	35.480740875	0
525600	74.26800187500001	44.560801125	0
529200	85.295169375	51.177101625	0
532800	38.44944625	23.06966775	0
536400	38.029318124999996	22.817590874999997	0
540000	38.125036875000006	22.875022125	0
543600	853.7135525	512.2281315	0
547200	770.2384187499999	462.14305125	0
550800	120.005414375	72.003248625	0
554400	566.545763125	339.927457875	0
558000	107.65696375	64.59417825	0
561600	1518.0829875	910.8497924999999	0
565200	2074.281651875	1244.568991125	0
568800	314.54150312499996	188.724901875	0
572400	107.57056250000001	64.5423375	0
576000	193.87470249999998	116.32482150000001	0
579600	307.50658125	184.50394875	0
583200	231.29865062500002	138.779190375	0
586800	706.5202199999999	423.912132	0
590400	746.55072	447.93043200000005	0
594000	363.5725025	218.1435015	0
597600	277.61582375	166.56949425	0
601200	159.143000625	95.48580037500001	0
604800	37.98028875	22.788173250000003	0
608400	37.757141874999995	22.654285125	0
612000	38.31612125	22.98967275	0
615600	132.15970562500002	79.295823375	0
619200	65.585714375	39.351428625	0
622800	38.127430625	22.876458375	0
626400	667.634384375	400.580630625	0
630000	718.674011875	431.204407125	0
633600	853.06456125	511.83873675	0
637200	568.6794431249999	341.20766587500003	0
640800	212.58774499999998	127.55264700000002	0
644400	96.655393125	57.99323587500001	0
648000	128.995784375	77.397470625	0
651600	68.67862500000001	41.207175	0
655200	109.106144375	65.46368662500001	0
658800	176.9400375	106.1640225	0
662400	137.28122875000003	82.36873725000001	0
666000	120.65455750000001	72.3927345	0
669600	386.408661875	231.845197125	0
673200	902.943574375	541.7661446249999	0
676800	521.97306875	313.18384125	0
680400	171.54083937499996	102.924503625	0
684000	225.749144375	135.449486625	0
687600	180.12314625	108.07388775000001	0
691200	162.340863125	97.404517875	0
694800	84.03446874999999	50.42068125	0
698400	38.196160625000005	22.917696375000002	0
702000	37.814091874999995	22.688455125	0
705600	37.94832125	22.768992750000002	0
709200	47.181271875	28.308763125	0
712800	258.9433075	155.3659845	0
716400	735.552744375	441.331646625	0
720000	967.85467125	580.7128027499999	0
723600	812.1398237499999	487.28389424999995	0
727200	615.16521	369.099126	0
730800	1154.07120875	692.4427252500001	0
734400	2443.57329125	1466.14397475	0
738000	719.854715625	431.912829375	0
741600	1449.553216875	869.731930125	0
745200	369.39671374999995	221.63802825	0
748800	210.79444062500002	126.476664375	0
752400	165.31317625	99.18790575	0
756000	310.867054375	186.520232625	0
759600	415.95464	249.57278399999998	0
763200	265.87160312500004	159.52296187500002	0
766800	581.52245375	348.91347225000004	0
770400	156.094419375	93.65665162500001	0
774000	137.68634874999998	82.61180925000001	0
777600	101.70090874999998	61.02054525	0
781200	67.59280937499999	40.555685624999995	0
784800	38.341457500000004	23.0048745	0
788400	37.87157125	22.72294275	0
792000	69.75283625	41.85170175	0
795600	58.6077575	35.164654500000005	0
799200	545.71895125	327.43137075	0
802800	669.9365068750001	401.961904125	0
806400	1058.2474625	634.9484775000001	0
810000	886.820451875	532.092271125	0
813600	301.67582375	181.00549425	0
817200	205.441865625	123.26511937500001	0
820800	523.63556	314.181336	0
824400	2427.4063175	1456.4437904999997	0
828000	1192.961831875	715.777099125	0
831600	744.700303125	446.82018187500006	0
835200	460.263553125	276.15813187500004	0
838800	275.52561437500003	165.31536862500002	0
842400	318.831291875	191.298775125	0
846000	411.21698499999997	246.730191	0
849600	806.30444375	483.78266625	0
853200	364.21825687499995	218.53095412500002	0
856800	1559.182419375	935.509451625	0
860400	1061.4886781250002	636.893206875	0
864000	39.31586312499999	23.589517875000002	0
867600	51.46470562499999	30.878823375	0
871200	129.80458687499998	77.882752125	0
874800	40.9266725	24.5560035	0
878400	38.004828125	22.802896875	0
882000	38.056145	22.833686999999998	0
885600	708.030660625	424.818396375	0
889200	1343.029324375	805.8175946249999	0
892800	405.245988125	243.147592875	0
896400	686.480373125	411.88822387499994	0
900000	471.803743125	283.082245875	0
903600	1129.30835125	677.58501075	0
