Time,radCon.Q_flow,radCon.vol[1].T,sou.T,radCon.vol[5].T,sou.T_in
0,-5420.549,325.64865,328.15,317.3089,328.15
21.6,-5420.549,325.64865,328.15,317.3089,328.15
43.2,-5420.549,325.64865,328.15,317.3089,328.15
64.8,-5420.549,325.64865,328.15,317.3089,328.15
86.4,-5420.549,325.64865,328.15,317.3089,328.15
108,-5420.549,325.64865,328.15,317.3089,328.15
129.6,-5420.549,325.64865,328.15,317.3089,328.15
151.2,-5420.549,325.64865,328.15,317.3089,328.15
172.8,-5420.549,325.64865,328.15,317.3089,328.15
194.4,-5420.549,325.64865,328.15,317.3089,328.15
216,-5420.549,325.64865,328.15,317.3089,328.15
237.6,-5420.549,325.64865,328.15,317.3089,328.15
259.2,-5420.549,325.64865,328.15,317.3089,328.15
280.8,-5420.549,325.64865,328.15,317.3089,328.15
302.4,-5420.549,325.64865,328.15,317.3089,328.15
324,-5420.549,325.64865,328.15,317.3089,328.15
345.6,-5420.549,325.64865,328.15,317.3089,328.15
367.2,-5420.549,325.64865,328.15,317.3089,328.15
388.8,-5420.549,325.64865,328.15,317.3089,328.15
410.4,-5420.549,325.64865,328.15,317.3089,328.15
432,-5420.549,325.64865,328.15,317.3089,328.15
453.6,-5420.549,325.64865,328.15,317.3089,328.15
475.2,-5420.549,325.64865,328.15,317.3089,328.15
496.8,-5420.549,325.64865,328.15,317.3089,328.15
518.4,-5420.549,325.64865,328.15,317.3089,328.15
540,-5420.549,325.64865,328.15,317.3089,328.15
561.6,-5420.549,325.64865,328.15,317.3089,328.15
583.2,-5420.549,325.64865,328.15,317.3089,328.15
604.8,-5420.549,325.64865,328.15,317.3089,328.15
626.4,-5420.549,325.64865,328.15,317.3089,328.15
648,-5420.549,325.64865,328.15,317.3089,328.15
669.6,-5420.549,325.64865,328.15,317.3089,328.15
691.2,-5420.549,325.64865,328.15,317.3089,328.15
712.8,-5420.549,325.64865,328.15,317.3089,328.15
734.4,-5420.549,325.64865,328.15,317.3089,328.15
756,-5420.549,325.64865,328.15,317.3089,328.15
777.6,-5420.549,325.64865,328.15,317.3089,328.15
799.2,-5420.549,325.64865,328.15,317.3089,328.15
820.8,-5420.549,325.64865,328.15,317.3089,328.15
842.4,-5420.549,325.64865,328.15,317.3089,328.15
864,-5420.549,325.64865,328.15,317.3089,328.15
885.6,-5420.549,325.64865,328.15,317.3089,328.15
907.2,-5420.549,325.64865,328.15,317.3089,328.15
928.8,-5420.549,325.64865,328.15,317.3089,328.15
950.4,-5420.549,325.64865,328.15,317.3089,328.15
972,-5420.549,325.64865,328.15,317.3089,328.15
993.6,-5420.549,325.64865,328.15,317.3089,328.15
1015.2,-5420.549,325.64865,328.15,317.3089,328.15
1036.8,-5420.549,325.64865,328.15,317.3089,328.15
1058.4,-5420.549,325.64865,328.15,317.3089,328.15
1080,-5420.549,325.64865,328.15,317.3089,328.15
1101.6,-5420.549,325.64865,328.15,317.3089,328.15
1123.2,-5420.549,325.64865,328.15,317.3089,328.15
1144.8,-5420.549,325.64865,328.15,317.3089,328.15
1166.4,-5420.549,325.64865,328.15,317.3089,328.15
1188,-5420.549,325.64865,328.15,317.3089,328.15
1209.6,-5420.549,325.64865,328.15,317.3089,328.15
1231.2,-5420.549,325.64865,328.15,317.3089,328.15
1252.8,-5420.549,325.64865,328.15,317.3089,328.15
1274.4,-5420.549,325.64865,328.15,317.3089,328.15
1296,-5420.549,325.64865,328.15,317.3089,328.15
1317.6,-5420.549,325.64865,328.15,317.3089,328.15
1339.2,-5420.549,325.64865,328.15,317.3089,328.15
1360.8,-5420.549,325.64865,328.15,317.3089,328.15
1382.4,-5420.549,325.64865,328.15,317.3089,328.15
1404,-5420.549,325.64865,328.15,317.3089,328.15
1425.6,-5420.549,325.64865,328.15,317.3089,328.15
1447.2,-5420.549,325.64865,328.15,317.3089,328.15
1468.8,-5420.549,325.64865,328.15,317.3089,328.15
1490.4,-5420.549,325.64865,328.15,317.3089,328.15
1512,-5420.549,325.64865,328.15,317.3089,328.15
1533.6,-5420.549,325.64865,328.15,317.3089,328.15
1555.2,-5420.549,325.64865,328.15,317.3089,328.15
1576.8,-5420.549,325.64865,328.15,317.3089,328.15
1598.4,-5420.549,325.64865,328.15,317.3089,328.15
1620,-5420.549,325.64865,328.15,317.3089,328.15
1641.6,-5420.549,325.64865,328.15,317.3089,328.15
1663.2,-5420.549,325.64865,328.15,317.3089,328.15
1684.8,-5420.549,325.64865,328.15,317.3089,328.15
1706.4,-5420.549,325.64865,328.15,317.3089,328.15
1728,-5420.549,325.64865,328.15,317.3089,328.15
1749.6,-5420.549,325.64865,328.15,317.3089,328.15
1771.2,-5420.549,325.64865,328.15,317.3089,328.15
1792.8,-5420.549,325.64865,328.15,317.3089,328.15
1814.4,-5420.549,325.64865,328.15,317.3089,328.15
1836,-5420.549,325.64865,328.15,317.3089,328.15
1857.6,-5420.549,325.64865,328.15,317.3089,328.15
1879.2,-5420.549,325.64865,328.15,317.3089,328.15
1900.8,-5420.549,325.64865,328.15,317.3089,328.15
1922.4,-5420.549,325.64865,328.15,317.3089,328.15
1944,-5420.549,325.64865,328.15,317.3089,328.15
1965.6,-5420.549,325.64865,328.15,317.3089,328.15
1987.2,-5420.549,325.64865,328.15,317.3089,328.15
2008.8,-5420.549,325.64865,328.15,317.3089,328.15
2030.4,-5420.549,325.64865,328.15,317.3089,328.15
2052,-5420.549,325.64865,328.15,317.3089,328.15
2073.6,-5420.549,325.64865,328.15,317.3089,328.15
2095.2,-5420.549,325.64865,328.15,317.3089,328.15
2116.8,-5420.549,325.64865,328.15,317.3089,328.15
2138.4,-5420.549,325.64865,328.15,317.3089,328.15
2160,-5420.549,325.64865,328.15,317.3089,328.15
2181.6,-5420.549,325.64865,328.15,317.3089,328.15
2203.2,-5420.549,325.64865,328.15,317.3089,328.15
2224.8,-5420.549,325.64865,328.15,317.3089,328.15
2246.4,-5420.549,325.64865,328.15,317.3089,328.15
2268,-5420.549,325.64865,328.15,317.3089,328.15
2289.6,-5420.549,325.64865,328.15,317.3089,328.15
2311.2,-5420.549,325.64865,328.15,317.3089,328.15
2332.8,-5420.549,325.64865,328.15,317.3089,328.15
2354.4,-5420.549,325.64865,328.15,317.3089,328.15
2376,-5420.549,325.64865,328.15,317.3089,328.15
2397.6,-5420.549,325.64865,328.15,317.3089,328.15
2419.2,-5420.549,325.64865,328.15,317.3089,328.15
2440.8,-5420.549,325.64865,328.15,317.3089,328.15
2462.4,-5420.549,325.64865,328.15,317.3089,328.15
2484,-5420.549,325.64865,328.15,317.3089,328.15
2505.6,-5420.549,325.64865,328.15,317.3089,328.15
2527.2,-5420.549,325.64865,328.15,317.3089,328.15
2548.8,-5420.549,325.64865,328.15,317.3089,328.15
2570.4,-5420.549,325.64865,328.15,317.3089,328.15
2592,-5420.549,325.64865,328.15,317.3089,328.15
2613.6,-5420.549,325.64865,328.15,317.3089,328.15
2635.2,-5420.549,325.64865,328.15,317.3089,328.15
2656.8,-5420.549,325.64865,328.15,317.3089,328.15
2678.4,-5420.549,325.64865,328.15,317.3089,328.15
2700,-5420.549,325.64865,328.15,317.3089,328.15
2721.6,-5420.549,325.64865,328.15,317.3089,328.15
2743.2,-5420.549,325.64865,328.15,317.3089,328.15
2764.8,-5420.549,325.64865,328.15,317.3089,328.15
2786.4,-5420.549,325.64865,328.15,317.3089,328.15
2808,-5420.549,325.64865,328.15,317.3089,328.15
2829.6,-5420.549,325.64865,328.15,317.3089,328.15
2851.2,-5420.549,325.64865,328.15,317.3089,328.15
2872.8,-5420.549,325.64865,328.15,317.3089,328.15
2894.4,-5420.549,325.64865,328.15,317.3089,328.15
2916,-5420.549,325.64865,328.15,317.3089,328.15
2937.6,-5420.549,325.64865,328.15,317.3089,328.15
2959.2,-5420.549,325.64865,328.15,317.3089,328.15
2980.8,-5420.549,325.64865,328.15,317.3089,328.15
3002.4,-5420.549,325.64865,328.15,317.3089,328.15
3024,-5420.549,325.64865,328.15,317.3089,328.15
3045.6,-5420.549,325.64865,328.15,317.3089,328.15
3067.2,-5420.549,325.64865,328.15,317.3089,328.15
3088.8,-5420.549,325.64865,328.15,317.3089,328.15
3110.4,-5420.549,325.64865,328.15,317.3089,328.15
3132,-5420.549,325.64865,328.15,317.3089,328.15
3153.6,-5420.549,325.64865,328.15,317.3089,328.15
3175.2,-5420.549,325.64865,328.15,317.3089,328.15
3196.8,-5420.549,325.64865,328.15,317.3089,328.15
3218.4,-5420.549,325.64865,328.15,317.3089,328.15
3240,-5420.549,325.64865,328.15,317.3089,328.15
3261.6,-5420.549,325.64865,328.15,317.3089,328.15
3283.2,-5420.549,325.64865,328.15,317.3089,328.15
3304.8,-5420.549,325.64865,328.15,317.3089,328.15
3326.4,-5420.549,325.64865,328.15,317.3089,328.15
3348,-5420.549,325.64865,328.15,317.3089,328.15
3369.6,-5420.549,325.64865,328.15,317.3089,328.15
3391.2,-5420.549,325.64865,328.15,317.3089,328.15
3412.8,-5420.549,325.64865,328.15,317.3089,328.15
3434.4,-5420.549,325.64865,328.15,317.3089,328.15
3456,-5420.549,325.64865,328.15,317.3089,328.15
3477.6,-5420.549,325.64865,328.15,317.3089,328.15
3499.2,-5420.549,325.64865,328.15,317.3089,328.15
3520.8,-5420.549,325.64865,328.15,317.3089,328.15
3542.4,-5420.549,325.64865,328.15,317.3089,328.15
3564,-5420.549,325.64865,328.15,317.3089,328.15
3585.6,-5420.549,325.64865,328.15,317.3089,328.15
3600,-5420.549,325.64865,328.15,317.3089,328.15
3607.2,-5410.009,325.5855,328.15,317.262,328.082
3628.8,-5378.3896,325.39612,328.15,317.12122,327.878
3650.4,-5346.771,325.2067,328.15,316.98047,327.674
3672,-5315.1523,325.0173,328.15,316.8397,327.47
3693.6,-5283.5337,324.82788,328.15,316.69894,327.266
3715.2,-5251.915,324.6385,328.15,316.55817,327.062
3736.8,-5220.297,324.44907,328.15,316.41742,326.858
3758.4,-5188.6787,324.25964,328.15,316.27664,326.654
3780,-5157.0605,324.07025,328.15,316.13586,326.45
3801.6,-5125.4424,323.88083,328.15,315.99512,326.246
3823.2,-5093.8247,323.69144,328.15,315.85434,326.042
3844.8,-5062.2075,323.502,328.15,315.7136,325.838
3866.4,-5030.59,323.31262,328.15,315.5728,325.634
3888,-4998.9727,323.1232,328.15,315.43207,325.43
3909.6,-4967.3555,322.9338,328.15,315.2913,325.226
3931.2,-4935.739,322.7444,328.15,315.1505,325.022
3952.8,-4904.122,322.555,328.15,315.00977,324.818
3974.4,-4872.5054,322.36557,328.15,314.869,324.614
3996,-4840.8887,322.17618,328.15,314.7282,324.41
4017.6,-4809.2725,321.98676,328.15,314.58746,324.206
4039.2,-4777.6562,321.79736,328.15,314.4467,324.002
4060.8,-4746.0405,321.60794,328.15,314.3059,323.798
