Time,radCon.Q_flow,sou.T_in,radCon.vol[1].T,radCon.vol[5].T
0,-5000,328.15,325.80298,318.15
21.6,-5000,328.15,325.80298,318.15
43.2,-5000,328.15,325.80298,318.15
64.8,-5000,328.15,325.80298,318.15
86.4,-5000,328.15,325.80298,318.15
108,-5000,328.15,325.80298,318.15
129.6,-5000,328.15,325.80298,318.15
151.2,-5000,328.15,325.80298,318.15
172.8,-5000,328.15,325.80298,318.15
194.4,-5000,328.15,325.80298,318.15
216,-5000,328.15,325.80298,318.15
237.6,-5000,328.15,325.80298,318.15
259.2,-5000,328.15,325.80298,318.15
280.8,-5000,328.15,325.80298,318.15
302.4,-5000,328.15,325.80298,318.15
324,-5000,328.15,325.80298,318.15
345.6,-5000,328.15,325.80298,318.15
367.2,-5000,328.15,325.80298,318.15
388.8,-5000,328.15,325.80298,318.15
410.4,-5000,328.15,325.80298,318.15
432,-5000,328.15,325.80298,318.15
453.6,-5000,328.15,325.80298,318.15
475.2,-5000,328.15,325.80298,318.15
496.8,-5000,328.15,325.80298,318.15
518.4,-5000,328.15,325.80298,318.15
540,-5000,328.15,325.80298,318.15
561.6,-5000,328.15,325.80298,318.15
583.2,-5000,328.15,325.80298,318.15
604.8,-5000,328.15,325.80298,318.15
626.4,-5000,328.15,325.80298,318.15
648,-5000,328.15,325.80298,318.15
669.6,-5000,328.15,325.80298,318.15
691.2,-5000,328.15,325.80298,318.15
712.8,-5000,328.15,325.80298,318.15
734.4,-5000,328.15,325.80298,318.15
756,-5000,328.15,325.80298,318.15
777.6,-5000,328.15,325.80298,318.15
799.2,-5000,328.15,325.80298,318.15
820.8,-5000,328.15,325.80298,318.15
842.4,-5000,328.15,325.80298,318.15
864,-5000,328.15,325.80298,318.15
885.6,-5000,328.15,325.80298,318.15
907.2,-5000,328.15,325.80298,318.15
928.8,-5000,328.15,325.80298,318.15
950.4,-5000,328.15,325.80298,318.15
972,-5000,328.15,325.80298,318.15
993.6,-5000,328.15,325.80298,318.15
1015.2,-5000,328.15,325.80298,318.15
1036.8,-5000,328.15,325.80298,318.15
1058.4,-5000,328.15,325.80298,318.15
1080,-5000,328.15,325.80298,318.15
1101.6,-5000,328.15,325.80298,318.15
1123.2,-5000,328.15,325.80298,318.15
1144.8,-5000,328.15,325.80298,318.15
1166.4,-5000,328.15,325.80298,318.15
1188,-5000,328.15,325.80298,318.15
1209.6,-5000,328.15,325.80298,318.15
1231.2,-5000,328.15,325.80298,318.15
1252.8,-5000,328.15,325.80298,318.15
1274.4,-5000,328.15,325.80298,318.15
1296,-5000,328.15,325.80298,318.15
1317.6,-5000,328.15,325.80298,318.15
1339.2,-5000,328.15,325.80298,318.15
1360.8,-5000,328.15,325.80298,318.15
1382.4,-5000,328.15,325.80298,318.15
1404,-5000,328.15,325.80298,318.15
1425.6,-5000,328.15,325.80298,318.15
1447.2,-5000,328.15,325.80298,318.15
1468.8,-5000,328.15,325.80298,318.15
1490.4,-5000,328.15,325.80298,318.15
1512,-5000,328.15,325.80298,318.15
1533.6,-5000,328.15,325.80298,318.15
1555.2,-5000,328.15,325.80298,318.15
1576.8,-5000,328.15,325.80298,318.15
1598.4,-5000,328.15,325.80298,318.15
1620,-5000,328.15,325.80298,318.15
1641.6,-5000,328.15,325.80298,318.15
1663.2,-5000,328.15,325.80298,318.15
1684.8,-5000,328.15,325.80298,318.15
1706.4,-5000,328.15,325.80298,318.15
1728,-5000,328.15,325.80298,318.15
1749.6,-5000,328.15,325.80298,318.15
1771.2,-5000,328.15,325.80298,318.15
1792.8,-5000,328.15,325.80298,318.15
1814.4,-5000,328.15,325.80298,318.15
1836,-5000,328.15,325.80298,318.15
1857.6,-5000,328.15,325.80298,318.15
1879.2,-5000,328.15,325.80298,318.15
1900.8,-5000,328.15,325.80298,318.15
1922.4,-5000,328.15,325.80298,318.15
1944,-5000,328.15,325.80298,318.15
1965.6,-5000,328.15,325.80298,318.15
1987.2,-5000,328.15,325.80298,318.15
2008.8,-5000,328.15,325.80298,318.15
2030.4,-5000,328.15,325.80298,318.15
2052,-5000,328.15,325.80298,318.15
2073.6,-5000,328.15,325.80298,318.15
2095.2,-5000,328.15,325.80298,318.15
2116.8,-5000,328.15,325.80298,318.15
2138.4,-5000,328.15,325.80298,318.15
2160,-5000,328.15,325.80298,318.15
2181.6,-5000,328.15,325.80298,318.15
2203.2,-5000,328.15,325.80298,318.15
2224.8,-5000,328.15,325.80298,318.15
2246.4,-5000,328.15,325.80298,318.15
2268,-5000,328.15,325.80298,318.15
2289.6,-5000,328.15,325.80298,318.15
2311.2,-5000,328.15,325.80298,318.15
2332.8,-5000,328.15,325.80298,318.15
2354.4,-5000,328.15,325.80298,318.15
2376,-5000,328.15,325.80298,318.15
2397.6,-5000,328.15,325.80298,318.15
2419.2,-5000,328.15,325.80298,318.15
2440.8,-5000,328.15,325.80298,318.15
2462.4,-5000,328.15,325.80298,318.15
2484,-5000,328.15,325.80298,318.15
2505.6,-5000,328.15,325.80298,318.15
2527.2,-5000,328.15,325.80298,318.15
2548.8,-5000,328.15,325.80298,318.15
2570.4,-5000,328.15,325.80298,318.15
2592,-5000,328.15,325.80298,318.15
2613.6,-5000,328.15,325.80298,318.15
2635.2,-5000,328.15,325.80298,318.15
2656.8,-5000,328.15,325.80298,318.15
2678.4,-5000,328.15,325.80298,318.15
2700,-5000,328.15,325.80298,318.15
2721.6,-5000,328.15,325.80298,318.15
2743.2,-5000,328.15,325.80298,318.15
2764.8,-5000,328.15,325.80298,318.15
2786.4,-5000,328.15,325.80298,318.15
2808,-5000,328.15,325.80298,318.15
2829.6,-5000,328.15,325.80298,318.15
2851.2,-5000,328.15,325.80298,318.15
2872.8,-5000,328.15,325.80298,318.15
2894.4,-5000,328.15,325.80298,318.15
2916,-5000,328.15,325.80298,318.15
2937.6,-5000,328.15,325.80298,318.15
2959.2,-5000,328.15,325.80298,318.15
2980.8,-5000,328.15,325.80298,318.15
3002.4,-5000,328.15,325.80298,318.15
3024,-5000,328.15,325.80298,318.15
3045.6,-5000,328.15,325.80298,318.15
3067.2,-5000,328.15,325.80298,318.15
3088.8,-5000,328.15,325.80298,318.15
3110.4,-5000,328.15,325.80298,318.15
3132,-5000,328.15,325.80298,318.15
3153.6,-5000,328.15,325.80298,318.15
3175.2,-5000,328.15,325.80298,318.15
3196.8,-5000,328.15,325.80298,318.15
3218.4,-5000,328.15,325.80298,318.15
3240,-5000,328.15,325.80298,318.15
3261.6,-5000,328.15,325.80298,318.15
3283.2,-5000,328.15,325.80298,318.15
3304.8,-5000,328.15,325.80298,318.15
3326.4,-5000,328.15,325.80298,318.15
3348,-5000,328.15,325.80298,318.15
3369.6,-5000,328.15,325.80298,318.15
3391.2,-5000,328.15,325.80298,318.15
3412.8,-5000,328.15,325.80298,318.15
3434.4,-5000,328.15,325.80298,318.15
3456,-5000,328.15,325.80298,318.15
3477.6,-5000,328.15,325.80298,318.15
3499.2,-5000,328.15,325.80298,318.15
3520.8,-5000,328.15,325.80298,318.15
3542.4,-5000,328.15,325.80298,318.15
3564,-5000,328.15,325.80298,318.15
3585.6,-5000,328.15,325.80298,318.15
3600,-5000,328.15,325.80298,318.15
3607.2,-4988.477,328.082,325.74054,318.10504
3628.8,-4953.931,327.878,325.55322,317.97012
3650.4,-4919.422,327.674,325.36588,317.83514
3672,-4884.9487,327.47,325.1785,317.7001
3693.6,-4850.5117,327.266,324.99112,317.56497
3715.2,-4816.1113,327.062,324.8037,317.42978
3736.8,-4781.7476,326.858,324.61627,317.2945
3758.4,-4747.4214,326.654,324.42883,317.15915
3780,-4713.132,326.45,324.24136,317.02374
3801.6,-4678.88,326.246,324.05386,316.88824
3823.2,-4644.6655,326.042,323.86633,316.75266
3844.8,-4610.4893,325.838,323.6788,316.61703
3866.4,-4576.3506,325.634,323.49124,316.4813
3888,-4542.2505,325.43,323.30365,316.3455
3909.6,-4508.1885,325.226,323.11603,316.20963
3931.2,-4474.1655,325.022,322.9284,316.07367
3952.8,-4440.181,324.818,322.74075,315.93765
3974.4,-4406.2363,324.614,322.55307,315.8015
3996,-4372.33,324.41,322.3654,315.66534
4017.6,-4338.464,324.206,322.17767,315.52908
4039.2,-4304.6377,324.002,321.98993,315.39273
4060.8,-4270.851,323.798,321.80215,315.2563
4082.4,-4237.105,323.594,321.61435,315.11978
4104,-4203.399,323.39,321.42654,314.98322
4125.6,-4169.734,323.186,321.2387,314.84653
4147.2,-4136.11,322.982,321.05084,314.70978
4168.8,-4102.5273,322.778,320.86295,314.57294
4190.4,-4068.9858,322.574,320.67505,314.43604
4212,-4035.4863,322.37,320.4871,314.29904
4233.6,-4002.0288,322.166,320.29913,314.16196
4255.2,-3968.6135,321.962,320.11115,314.02478
4276.8,-3935.2407,321.758,319.92316,313.8875
4298.4,-3901.9106,321.554,319.7351,313.75018
4320,-3868.6238,321.35,319.54706,313.61276
4341.6,-3835.3801,321.146,319.35898,313.47525
4363.2,-3802.1802,320.942,319.17087,313.33765
4384.8,-3769.024,320.738,318.98273,313.19995
4406.4,-3735.912,320.534,318.79456,313.06216
4428,-3702.8445,320.33,318.60638,312.92432
4449.6,-3669.8218,320.126,318.41818,312.78635
4471.2,-3636.8442,319.922,318.22992,312.64832
4492.8,-3603.912,319.718,318.04166,312.51016
4514.4,-3571.0254,319.514,317.85336,312.37195
4536,-3538.1848,319.31,317.66507,312.23364
4557.6,-3505.3906,319.106,317.4767,312.0952
4579.2,-3472.6428,318.902,317.28836,311.95673
4600.8,-3439.9421,318.698,317.09995,311.8181
4622.4,-3407.2888,318.494,316.91153,311.6794
4644,-3374.683,318.29,316.72308,311.54062
4665.6,-3342.1252,318.086,316.53458,311.40176
4687.2,-3309.6157,317.882,316.34607,311.26276
4708.8,-3277.1548,317.678,316.15756,311.1237
4730.4,-3244.743,317.474,315.969,310.98453
4752,-3212.3804,317.27,315.7804,310.84525
4773.6,-3180.0676,317.066,315.59177,310.70587
4795.2,-3147.805,316.862,315.40314,310.56638
4816.8,-3115.593,316.658,315.21445,310.42682
4838.4,-3083.4316,316.454,315.02573,310.28714
4860,-3051.3218,316.25,314.837,310.14737
4881.6,-3019.2634,316.046,314.64825,310.00748
4903.2,-2987.257,315.842,314.45944,309.8675
4924.8,-2955.3035,315.638,314.27063,309.7274
4946.4,-2923.4026,315.434,314.08176,309.5872
4968,-2891.555,315.23,313.89288,309.4469
4989.6,-2859.7612,315.026,313.70395,309.3065
5011.2,-2828.0217,314.822,313.515,309.16595
5032.8,-2796.3367,314.618,313.32605,309.02533
5054.4,-2764.707,314.414,313.13702,308.88458
5076,-2733.1328,314.21,312.948,308.74374
5097.6,-2701.6145,314.006,312.7589,308.60278
5119.2,-2670.1528,313.802,312.56982,308.4617
5140.8,-2638.7483,313.598,312.38068,308.3205
5162.4,-2607.4011,313.394,312.1915,308.1792
5184,-2576.112,313.19,312.00232,308.03778
5205.6,-2544.8813,312.986,311.81308,307.89624
5227.2,-2513.7097,312.782,311.6238,307.75458
5248.8,-2482.598,312.578,311.4345,307.6128
5270.4,-2451.5461,312.374,311.24518,307.47092
5292,-2420.555,312.17,311.0558,307.3289
5313.6,-2389.6252,311.966,310.8664,307.18674
5335.2,-2358.7573,311.762,310.67694,307.0445
5356.8,-2327.9517,311.558,310.4875,306.9021
5378.4,-2297.2092,311.354,310.29797,306.75958
5400,-2266.5305,311.15,310.10843,306.61694
