second_of_week,bedroom,livingroom,kitchen,hobby,wcstorage,corridor,children,corridor2,bath,children2
0,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
28800,292.65,291.65,293.65,290.65,290.15,291.65,292.15,291.65,296.15,292.15
32400,292.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,296.15,293.65
34200,292.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,296.15,293.65
36000,291.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,293.15,293.65
43200,291.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,293.15,293.65
50400,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
64800,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,293.15,293.65
68400,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,296.15,293.65
72000,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,296.15,293.65
75600,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
77400,292.65,294.65,292.15,292.65,290.15,291.65,292.15,291.65,293.15,292.15
79200,292.65,294.65,292.15,290.65,290.15,291.65,292.15,291.65,293.15,292.15
82800,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
115200,292.65,291.65,293.65,290.65,290.15,291.65,292.15,291.65,296.15,292.15
118800,292.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,296.15,293.65
120600,292.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,296.15,293.65
122400,291.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,293.15,293.65
129600,291.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,293.15,293.65
136800,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
151200,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,293.15,293.65
154800,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,296.15,293.65
158400,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,296.15,293.65
162000,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
163800,292.65,294.65,292.15,292.65,290.15,291.65,292.15,291.65,293.15,292.15
165600,292.65,294.65,292.15,290.65,290.15,291.65,292.15,291.65,293.15,292.15
169200,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
201600,292.65,291.65,293.65,290.65,290.15,291.65,292.15,291.65,296.15,292.15
205200,292.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,296.15,293.65
207000,292.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,296.15,293.65
208800,291.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,293.15,293.65
216000,291.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,293.15,293.65
223200,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
