second_of_week,bedroom,livingroom,kitchen,hobby,wcstorage,corridor,children,corridor2,bath,children2
0,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
23400,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
82800,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
109800,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
169200,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
196200,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
255600,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
282600,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
342000,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
369000,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
428400,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
455400,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
514800,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
541800,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,294.15,293.65
601200,291.65,291.65,291.65,290.65,289.65,290.15,292.15,290.15,293.15,292.15
