second_of_week,bedroom,livingroom,kitchen,hobby,wcstorage,corridor,children,corridor2,bath,children2
0,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
23400,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
82800,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
109800,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
169200,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
196200,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
255600,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
282600,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
342000,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
369000,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
428400,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
455400,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
514800,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
541800,289.15,297.15,297.15,289.15,297.15,289.15,289.15,289.15,297.15,289.15
601200,297.15,289.15,289.15,289.15,289.15,289.15,297.15,289.15,289.15,297.15
