#1
double Ferienwoche_NormalerWinter_changeonly_K(92, 11)
#time_in_s	livingroom	hobby	corridor	wcstorage	kitchen	bedroom	children	corridor2	bath	children2
0.0	291.65	290.65	290.15	290.15	292.15	291.65	292.15	290.15	293.15	292.15
28800.0	291.65	290.65	291.65	290.15	293.65	292.65	292.15	291.65	296.15	292.15
32400.0	294.65	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
34200.0	294.65	290.65	291.65	290.15	292.15	292.65	293.65	291.65	296.15	293.65
36000.0	294.65	290.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
43200.0	294.65	290.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
50400.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
64800.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
68400.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	296.15	293.65
72000.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	296.15	293.65
75600.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
77400.0	294.65	292.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
79200.0	294.65	290.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
82800.0	291.65	290.65	290.15	290.15	292.15	291.65	292.15	290.15	293.15	292.15
115200.0	291.65	290.65	291.65	290.15	293.65	292.65	292.15	291.65	296.15	292.15
118800.0	294.65	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
120600.0	294.65	290.65	291.65	290.15	292.15	292.65	293.65	291.65	296.15	293.65
122400.0	294.65	290.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
129600.0	294.65	290.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
136800.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
151200.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
154800.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	296.15	293.65
158400.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	296.15	293.65
162000.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
163800.0	294.65	292.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
165600.0	294.65	290.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
169200.0	291.65	290.65	290.15	290.15	292.15	291.65	292.15	290.15	293.15	292.15
201600.0	291.65	290.65	291.65	290.15	293.65	292.65	292.15	291.65	296.15	292.15
205200.0	294.65	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
207000.0	294.65	290.65	291.65	290.15	292.15	292.65	293.65	291.65	296.15	293.65
208800.0	294.65	290.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
216000.0	294.65	290.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
223200.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
237600.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
241200.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	296.15	293.65
244800.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	296.15	293.65
248400.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
250200.0	294.65	292.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
252000.0	294.65	290.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
255600.0	291.65	290.65	290.15	290.15	292.15	291.65	292.15	290.15	293.15	292.15
288000.0	291.65	290.65	291.65	290.15	293.65	292.65	292.15	291.65	296.15	292.15
291600.0	294.65	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
293400.0	294.65	290.65	291.65	290.15	292.15	292.65	293.65	291.65	296.15	293.65
295200.0	294.65	290.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
302400.0	294.65	290.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
309600.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
324000.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
327600.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	296.15	293.65
331200.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	296.15	293.65
334800.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
336600.0	294.65	292.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
338400.0	294.65	290.65	291.65	290.15	292.15	292.65	292.15	291.65	293.15	292.15
342000.0	291.65	290.65	290.15	290.15	292.15	291.65	292.15	290.15	293.15	292.15
374400.0	291.65	290.65	291.65	290.15	293.65	292.65	292.15	291.65	296.15	292.15
378000.0	294.65	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
379800.0	294.65	290.65	291.65	290.15	292.15	292.65	293.65	291.65	296.15	293.65
381600.0	294.65	290.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
388800.0	294.65	290.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
396000.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
410400.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	293.15	293.65
414000.0	294.65	292.65	291.65	290.15	293.65	291.65	293.65	291.65	296.15	293.65
417600.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	296.15	293.65
421200.0	294.65	292.65	291.65	290.15	292.15	291.65	293.65	291.65	293.15	293.65
