#1
double Homeoffice_NormalerWinter_changeonly_K(90, 11)
#time_in_s	livingroom	hobby	corridor	wcstorage	kitchen	bedroom	children	corridor2	bath	children2
0.0	291.65	290.65	290.15	290.15	291.65	291.65	292.15	290.15	293.15	292.15
23400.0	293.15	290.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
25200.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
28800.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
30600.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
43200.0	294.15	293.65	291.65	290.15	293.65	291.65	292.15	291.65	293.15	292.15
46800.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
61200.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
64800.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
68400.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
70200.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
75600.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
82800.0	291.65	290.65	290.15	290.15	291.65	291.65	292.15	290.15	293.15	292.15
109800.0	293.15	290.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
111600.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
115200.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
117000.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
129600.0	294.15	293.65	291.65	290.15	293.65	291.65	292.15	291.65	293.15	292.15
133200.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
147600.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
151200.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
154800.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
156600.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
162000.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
169200.0	291.65	290.65	290.15	290.15	291.65	291.65	292.15	290.15	293.15	292.15
196200.0	293.15	290.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
198000.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
201600.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
203400.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
216000.0	294.15	293.65	291.65	290.15	293.65	291.65	292.15	291.65	293.15	292.15
219600.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
234000.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
237600.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
241200.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
243000.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
248400.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
255600.0	291.65	290.65	290.15	290.15	291.65	291.65	292.15	290.15	293.15	292.15
282600.0	293.15	290.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
284400.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
288000.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
289800.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
302400.0	294.15	293.65	291.65	290.15	293.65	291.65	292.15	291.65	293.15	292.15
306000.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
320400.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
324000.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
327600.0	294.65	292.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
329400.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
334800.0	294.65	292.65	291.65	290.15	291.65	292.65	293.65	291.65	293.15	293.65
342000.0	291.65	290.65	290.15	290.15	291.65	291.65	292.15	290.15	293.15	292.15
369000.0	293.15	290.65	291.65	290.15	291.65	292.65	293.65	291.65	296.15	293.65
370800.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	296.15	293.65
374400.0	293.15	290.65	291.65	290.15	293.65	292.65	293.65	291.65	293.15	293.65
376200.0	294.15	293.65	291.65	290.15	291.65	291.65	292.15	291.65	293.15	292.15
388800.0	294.15	293.65	291.65	290.15	293.65	291.65	292.15	291.65	293.15	292.15
