#1
double KonstantAmTag_Nachtabsenkung_NormalerWinter_changeonly_K(15, 11)
#time_in_s	livingroom	hobby	corridor	wcstorage	kitchen	bedroom	children	corridor2	bath	children2
0.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
23400.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
82800.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
109800.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
169200.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
196200.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
255600.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
282600.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
342000.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
369000.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
428400.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
455400.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
514800.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
541800.0	294.65	292.65	291.15	290.15	293.65	292.65	293.65	291.15	294.15	293.65
601200.0	291.65	290.65	290.15	289.65	291.65	291.65	292.15	290.15	293.15	292.15
