#1
double extreme(15, 11)
#time_in_s	livingroom	hobby	corridor	wcstorage	kitchen	bedroom	children	corridor2	bath	children2
0.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
23400.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
82800.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
109800.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
169200.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
196200.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
255600.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
282600.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
342000.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
369000.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
428400.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
455400.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
514800.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
541800.0	297.15	289.15	289.15	297.15	297.15	289.15	289.15	289.15	297.15	289.15
601200.0	289.15	289.15	289.15	289.15	289.15	297.15	297.15	289.15	289.15	297.15
