time,livingroom__win_net_W,hobby__win_net_W,corridor__win_net_W,wcstorage__win_net_W,kitchen__win_net_W,bedroom__win_net_W,children__win_net_W,corridor2__win_net_W,bath__win_net_W,children2__win_net_W,attic__win_net_W
0.0,-105.73202125153855,-52.92515996110389,0.0,-26.322479814009434,-79.36338724814999,-79.99608762186395,-53.265536827770816,-26.967585698444523,-26.813321436036723,-53.46425229299173,0.0
3600.0,-105.95655691225556,-53.0341909484326,0.0,-26.37402316752001,-79.52730044792501,-80.20751753320891,-53.35663719809095,-26.979325033565676,-26.807716494389243,-53.52331030323763,0.0
7200.0,-106.74945583732672,-53.44648679330922,0.0,-26.582490926227216,-80.11948279267158,-80.81107241949167,-53.78062282598379,-27.185519009986173,-26.98717170770431,-53.89458188920292,0.0
10800.0,-106.32993095417345,-53.249527649680054,0.0,-26.489991213894932,-79.81711897404983,-80.49633500767706,-53.583655097615775,-27.093934640329564,-26.895435468459038,-53.6976242048465,0.0
14400.0,-105.28607214169348,-52.73131168133916,0.0,-26.23156771977191,-79.03754316943359,-79.75735889415675,-53.09010593856854,-26.847261973990477,-26.648205990171657,-53.20395125559697,0.0
18000.0,-104.24872535964681,-52.24892861297972,0.0,-26.008821309584608,-78.29553343621554,-78.95911898912686,-52.599060560577904,-26.62080233950804,-26.422267984703225,-52.71188702000803,0.0
21600.0,-103.47430582043258,-51.88949608131699,0.0,-25.843639080011826,-77.74227899488078,-78.36806251489203,-52.2367284788581,-26.454521316054876,-26.256215130543694,-52.3487276830537,0.0
25200.0,-100.4842735461583,-47.112659074782016,0.0,-21.774215343590708,-72.3935168132922,-76.13007429096676,-47.496092499784375,-22.410523389343503,-22.38307752167688,-47.739923480988594,0.0
28800.0,-94.65964933199297,-42.508514380984835,0.0,-18.564979493902083,-64.79009634117372,-71.72174290874894,-42.90263330881529,-19.206760111133345,-17.5935873948133,-41.51014800450879,0.0
32400.0,-95.86020392648723,-47.27175674354146,0.0,-23.08580720042349,-70.61099295052085,-72.58849083100941,-47.632420720317484,-23.691443790499033,-22.82331334378866,-47.013538006587844,0.0
36000.0,-97.89559978481621,-48.97832244021426,0.0,-24.312449135629,-73.42937622935425,-74.1088156855858,-49.336322551564564,-24.906873265598122,-24.656618432484958,-49.34309703950454,0.0
39600.0,-98.86298527405084,-49.501316382322145,0.0,-24.602696534710102,-74.245878568166,-74.86033508450643,-49.87453367026792,-25.202065986501538,-25.009960392689454,-49.94471105837977,0.0
43200.0,-102.17260876366707,-51.17070964587136,0.0,-25.448882394166546,-76.73404101552286,-77.3789335852202,-51.550589575686,-26.05339966001953,-25.85778593308687,-51.63249994656025,0.0
46800.0,-103.45173330887974,-51.83610501084225,0.0,-25.797552084571834,-77.71020069352596,-78.3724657213496,-52.22518944964479,-26.408443111483404,-26.21081273280416,-52.31634132014248,0.0
50400.0,-103.340983182034,-51.8184796617223,0.0,-25.80899155763476,-77.58285688897253,-78.27538605942132,-52.194796619410795,-26.417817686490125,-26.19945598531194,-52.2720790673551,0.0
54000.0,-102.59608455848733,-51.49278865530221,0.0,-25.670905774118605,-77.14700812833,-77.63400877102094,-51.825064103178256,-26.264965404054802,-26.067422498799456,-51.92520442159473,0.0
57600.0,-101.53718850978507,-50.99973331840312,0.0,-25.444457534362314,-76.38533175677928,-76.65324790904324,-51.23799187299224,-26.00405440042729,-25.80773040923932,-51.337869135372735,0.0
61200.0,-100.71256201544485,-50.54199024593243,0.0,-25.19473328250982,-75.71910929050156,-75.81301997320712,-50.6571710914537,-25.701265726348204,-25.507123213857543,-50.75691759907091,0.0
64800.0,-100.79186525191207,-50.499668830814116,0.0,-25.137178302011304,-75.70380509528323,-75.78490780286224,-50.549600871229586,-25.60589559742724,-25.417795736333947,-50.65918051284457,0.0
68400.0,-101.52731306459147,-50.69029236417504,0.0,-25.18800594473656,-76.20570749616765,-76.44578288485557,-50.79196255966663,-25.67620317169046,-25.554353467564443,-51.03781923803772,0.0
72000.0,-102.36025727751779,-51.101155138689165,0.0,-25.345197363834114,-76.68535298064532,-77.17478535444249,-51.27032629861674,-25.867535264369174,-25.672062559533888,-51.37396266311219,0.0
75600.0,-104.45019354455043,-52.16630881309773,0.0,-25.88807081865029,-78.27161099014211,-78.81954986865932,-52.41122066416516,-26.468194337925343,-26.2694227870799,-52.51790056617156,0.0
79200.0,-105.55104800880447,-52.74302675557507,0.0,-26.18916778332552,-79.1222344753966,-79.70929391816087,-53.04708211453066,-26.814238882928155,-26.612662206967013,-53.156305914153826,0.0
82800.0,-105.77646439181292,-52.88438691612284,0.0,-26.27243924607925,-79.31879788643911,-79.95370769274335,-53.25187528372958,-26.94300446577163,-26.738936129991874,-53.36293630268116,0.0
86400.0,-106.32017714310956,-53.12380915481173,0.0,-26.376045899140408,-79.69335969365139,-80.38466537346655,-53.50342892297752,-27.051205610320384,-26.847696691063433,-53.614878779515806,0.0
90000.0,-106.6947841469658,-53.24580505349414,0.0,-26.405548503282795,-79.90851449936233,-80.61077219824705,-53.56303656828479,-27.031719825552567,-26.83085987959204,-53.67355753709491,0.0
93600.0,-107.80421705184767,-53.812446259421286,0.0,-26.694919363505665,-80.7518379097212,-81.4209915868803,-54.113285538497855,-27.31353884409393,-27.11246210211748,-54.22452255732171,0.0
